Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,-2.4989500000000007,3.324252096838227,-133.02595477453437,
2,Glca-Sp8,4.667525000000001,14.511253900651283,310.89825765585147,
3,Mana-Sp8,6.918149999999997,9.08546264186182,131.32792208700047,
4,GalNAca-Sp8,4.402899999999999,13.370768063453449,303.6809390050524,
5,GalNAca-Sp15,4.903275000000004,6.776450269069099,138.2025333898077,
6,Fuca-Sp8,0.3577499999999958,19.878734728766485,5556.599504896357,
7,Fuca-Sp9,-4.5554999999999986,11.47390488049586,-251.86927627035152,
8,Rhaa-Sp8,-4.334524999999999,8.488749294752829,-195.84035839573727,
9,Neu5Aca-Sp8,-1.7096250000000026,6.8797250663937595,-402.41135140125755,
10,Neu5Aca-Sp11,-7.3012,1.4496923420735515,-19.855535282878865,
11,Neu5Acb-Sp8,-2.292125000000002,5.4309172057612205,-236.93809045148998,
12,Galb-Sp8,-4.158699999999998,6.822140248240769,-164.04502003608755,
13,Glcb-Sp8,-0.9395000000000007,9.117245716040925,-970.4359463587991,
14,Manb-Sp8,-4.939525000000003,5.145417332847421,-104.16826178321634,
15,GalNAcb-Sp8,2.163125,13.050397611407604,603.3122270514929,
16,GlcNAcb-Sp0,5.570099999999998,6.511184513332936,116.89528937241592,
17,GlcNAcb-Sp8,-6.081649999999998,9.443702269237416,-155.28190983100671,
18,GlcN(Gc)b-Sp8,-0.20662499999999895,7.351607350040307,-3557.9466908846193,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,9.82975,18.85137696075985,191.778803741294,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,1.3029249999999983,7.156275721060041,549.2469421540035,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,-0.308600000000002,7.760608187077438,-2514.7790625655825,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,-7.445350000000003,6.1289693997713295,-82.31942621597813,
23,6S(3S)Galb1-4GlcNAcb-Sp0,-9.563600000000001,2.18188005322627,-22.814421904160252,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,16.418400000000005,10.821037604900315,65.90799106429562,
25,(3S)Galb1-4Glcb-Sp8,3.7652750000000026,2.340003201386708,62.14694016736377,
26,(3S)Galb1-4(6S)Glcb-Sp0,-1.9454499999999992,3.659349354279617,-188.09783619623317,
27,(3S)Galb1-4(6S)Glcb-Sp8,4.853774999999999,5.72193457924561,117.88627571829373,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,0.07404999999999706,6.860748469615639,9265.021565990426,
29,(3S)Galb1-3GalNAca-Sp8,-5.756,8.146557073594547,-141.53156833902963,
30,(3S)Galb1-3GlcNAcb-Sp0,-1.8391749999999973,20.36420468949952,-1107.2467105903218,
31,(3S)Galb1-3GlcNAcb-Sp8,-11.858899999999998,6.410181227287307,-54.05375901042515,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,-5.199724999999999,5.437050916550869,-104.56420130970139,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,-3.060225000000001,2.310352511883558,-75.49616488603151,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,-8.6435,3.0487716794363546,-35.27242065640487,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,-1.4523000000000055,10.258645085000257,-706.3723118501837,
36,(3S)Galb1-4GlcNAcb-Sp0,-1.1445000000000025,9.434265254203245,-824.3132594323482,
37,(3S)Galb1-4GlcNAcb-Sp8,-3.838149999999999,3.876174975840661,-100.99071104153465,
38,(3S)Galb-Sp8,0.6785749999999986,7.356948175874283,1084.1761302544744,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,-6.213450000000001,5.407047446003536,-87.02166181434686,
40,(4S)Galb1-4GlcNAcb-Sp8,-4.400324999999999,4.916530550008481,-111.73107781830849,
41,(6P)Mana-Sp8,8.275250000000003,9.911554838840042,119.77347921621748,
42,(6S)Galb1-4Glcb-Sp0,4.748324999999998,8.144860544897828,171.53123564410254,
43,(6S)Galb1-4Glcb-Sp8,1.2100249999999981,9.127843013686203,754.3516054367651,
44,(6S)Galb1-4GlcNAcb-Sp8,-16.366525,11.539859417796222,-70.50891632644208,
45,(6S)Galb1-4(6S)Glcb-Sp8,2.3788500000000017,4.766388171001881,200.36522567635106,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,10.88335,12.389379008516393,113.83791763121091,
47,(6S)GlcNAcb-Sp8,0.22347500000000053,5.167246647474209,2312.225818312651,
48,"Neu5,9Ac2a-Sp8",-17.582349999999963,11.915414389353996,-67.76917982723596,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",-6.47075,6.120292341873877,-94.58397159330644,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,4981.822425,251.6893926068205,5.052155037557776,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,11387.789449999998,285.7361862280064,2.5091453216849424,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,-2.2574749999999995,6.894330469970716,-305.4000806197507,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,19.649450000000005,19.539803778356294,99.4419883424538,
