Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,218.35572499999984,88.3692331718996,44.1846165859498,40.470307417815434
2,Neu5Acα2-8Neu5Acβ-Sp17,274.59595,81.05477527049219,40.52738763524609,29.51783348242834
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,178.43740000000003,57.175688090831294,28.587844045415647,32.04243510095489
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,157.05565,71.79109378144798,35.89554689072399,45.71060880741825
5,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,167.92877499999997,31.012663254588894,15.506331627294447,18.46774815965215
6,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,139.023025,25.19705006006008,12.59852503003004,18.12437188736188
7,α-D-Gal–Sp8,525.262275,230.0758063520563,115.03790317602815,43.80208084657446
8,α-D-Glc–Sp8,514.0819,156.35918370286555,78.17959185143278,30.415228332852323
9,α-D-Man–Sp8,315.18005,119.65830743653628,59.82915371826814,37.96506391712809
10,α-GalNAc–Sp8,89.33692500000002,55.77001273709586,27.88500636854793,62.426608859769736
11,α-L-Fuc–Sp8,283.24454999999995,131.40122548280635,65.70061274140318,46.391440005749935
12,α-L-Fuc–Sp9,222.1602,104.18074054184235,52.09037027092118,46.89442147686325
13,α-L-Rhα–Sp8,5957.085675,919.4880357760806,459.7440178880403,15.435199121524814
14,α-Neu5Ac–Sp8,388.17375,105.73769896413441,52.868849482067205,27.239786040177734
15,α-Neu5Ac–Sp11,241.49702499999998,68.06982878282074,34.03491439141037,28.18661173272041
16,β-Neu5Ac-Sp8,260.847575,49.1079839448655,24.55399197243275,18.826314158705713
17,β-D-Gal–Sp8,420.69370000000004,100.72964513736751,50.364822568683756,23.94370182804437
18,β-D-Glc–Sp8,441.45667499999996,129.6835779158995,64.84178895794975,29.376286566716768
19,β-D-Man–Sp8,228.36227499999995,65.13750713551434,32.56875356775717,28.52375994919229
20,β-GalNAc–Sp8,401.5064,222.1124024948178,111.0562012474089,55.319766383504174
21,β-GlcNAc–Sp0,134.78837500000003,40.12317427965823,20.061587139829115,29.767533201330025
22,β-GlcNAc–Sp8,177.30089999999998,35.606988680782024,17.803494340391012,20.08280199411398
23,β-GlcN(Gc)-Sp8,158.32614999999998,86.80273028634143,43.401365143170715,54.825264358630236
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",165.44325,75.54160747043076,37.77080373521538,45.66013268624181
25,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,230.11882499999996,68.76530477871202,34.38265238935601,29.88252037994372
26,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,1448.31815,426.7167058071852,213.3583529035926,29.462912261866304
27,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,183.326525,35.91731690075358,17.95865845037679,19.591991339362146
28,[3OSO3]Galβ1-4Glcβ-Sp8,7985.106475000003,4471.826118837665,2235.9130594188323,56.00208504217426
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,44439.66067499999,12381.018685399957,6190.509342699978,27.86029077932414
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,34309.926875,2733.87375210249,1366.936876051245,7.9681713168981805
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,289.8274,121.47116033767017,60.735580168835085,41.91155161232864
32,[3OSO3]Galβ1-3GalNAcα–Sp8,5756.84915,1178.3484846800084,589.1742423400042,20.468635775874176
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,5908.671099999998,1092.9921993997643,546.4960996998822,18.498105257538615
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,152.93482500000005,54.62769969630033,27.313849848150166,35.71959473344303
35,[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp8,31205.947425000006,3738.8103498290484,1869.4051749145242,11.981082640784614
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,949.0476749999999,521.3069960230498,260.6534980115249,54.92948455124237
37,[3OSO3]Galβ1-4GlcNAcβ-Sp8,840.8115250000001,114.8927300920973,57.44636504604865,13.664504669116814
38,[3OSO3]Galβ–Sp8,525.0086999999999,191.50420571366084,95.75210285683042,36.47638709866349
39,[4OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,802.2758249999998,118.74638029737719,59.37319014868859,14.801191385441188
40,[4OSO3]Galβ1-4GlcNAcβ-Sp8,858.7033750000002,872.3459718228067,436.1729859114034,101.58874382237133
41,6-H2PO3Manα–Sp8,682.2530750000002,417.35176159911265,208.67588079955632,61.172573183215405
42,[6OSO3]Galβ1-4Glcβ–Sp0,275.4767499999999,105.40685569381472,52.70342784690736,38.26343083175431
43,[6OSO3]Galβ1-4Glcβ–Sp8,324.3232,29.49365044807692,14.74682522403846,9.093907080368263
44,[6OSO3]Galβ1-4GlcNAcβ–Sp8,257.323625,115.78775508315141,57.893877541575705,44.99693919792689
45,[6OSO3]Galβ1-4[6OSO3]Glcβ-Sp8,1179.946425,107.44947979506377,53.72473989753188,9.106301567468519
46,NeuAcα2-3[6OSO3]Galβ1-4GlcNAcβ–Sp8,481.8089499999999,157.46494845267398,78.73247422633699,32.68203059587706
47,[6OSO3]GlcNAcβ–Sp8,547.8059249999999,89.10471296204945,44.552356481024724,16.265744654377272
48,9NAcNeu5Acα-Sp8,362.3261,77.09142248339556,38.54571124169778,21.276806303326083
49,9NAcNeu5Acα2-6Galβ1-4GlcNAcβ-Sp8,206.87060000000002,69.86917576327916,34.93458788163958,33.77433804672058
50,Manα1-3(Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,156.24342499999997,57.8751805118208,28.9375902559104,37.041674241217386
51,GlcNAcβ1-2Manα1-3(GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,126.08772499999996,40.004675360127166,20.002337680063583,31.727652600700964
52,Galβ1-4GlcNAcβ1-2Manα1-3(Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,265.53522499999997,62.8647432870701,31.43237164353505,23.67472838568597
53,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,266.75620000000004,142.63295932205375,71.31647966102688,53.46940739223821
54,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp8,260.2208749999999,210.18876357413282,105.09438178706641,80.77321374548944
55,Fucα1-2Galβ1-3GalNAcβ1-3Galα-Sp9,140.39185,19.156182199575312,9.578091099787656,13.644796474706553
56,Fucα1-2Galβ1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ-Sp9,885.780825,91.68789101389407,45.84394550694704,10.351081037896035
57,Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,132.32072499999998,59.431033434807254,29.715516717403627,44.91438014325214
58,Fucα1-2Galβ1-3GalNAcα–Sp8,174.74615000000003,81.1418967538758,40.5709483769379,46.43415420246786
59,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp0,256.74455,81.90327956178965,40.95163978089482,31.900688665753428
60,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp9,350.589625,43.026618741532026,21.513309370766013,12.27264461734486
61,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp10,2714.0555249999998,352.50337228559573,176.25168614279787,12.988067820963087
62,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp8,2797.66385,445.14838690703124,222.57419345351562,15.911432208234425
63,Fucα1-2Galβ1-3GlcNAcβ–Sp0,1529.340425,384.6368607406319,192.31843037031595,25.15050635247753
64,Fucα1-2Galβ1-3GlcNAcβ–Sp8,950.25385,569.7733300095717,284.88666500478587,59.96011802631178
65,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,227.0326,27.429622696274958,13.714811348137479,12.081799132051941
66,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,257.18245,48.337108083507275,24.168554041753637,18.794870366740525
67,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp0,284.71315,123.70632605824981,61.85316302912491,43.44945994178696
68,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,158.05897500000003,45.06919551159626,22.53459775579813,28.51416410336474
69,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAc–Sp0,1027.796375,322.24903167810544,161.12451583905272,31.35339251202413
70,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0,1935.7162250000003,923.2924132696307,461.64620663481537,47.69771526142116
71,Fucα1-2Galβ1-4GlcNAcβ–Sp0,457.0112250000001,70.67408566433042,35.33704283216521,15.464409143195642
72,Fucα1-2Galβ1-4GlcNAcβ–Sp8,333.0954999999999,65.3147369557086,32.6573684778543,19.608411688452296
73,Fucα1-2Galβ1-4Glcβ–Sp0,1110.0922,586.4429522605988,293.2214761302994,52.82831032058407
74,Fucα1-2Galβ–Sp8,626.525,138.13997797898213,69.06998898949107,22.04859789776659
75,Fucα1-3GlcNAcβ-Sp8,439.06529999999987,121.98670858206981,60.993354291034905,27.78327246131039
76,Fucα1-3GlcNAcβ-Sp8,668.6329749999999,160.3644236994263,80.18221184971316,23.983923870854014
77,Fucα1-4GlcNAcβ–Sp8,1755.25635,1720.103249806388,860.051624903194,97.9972668839163
78,Fucβ1-3GlcNAcβ-Sp8,170.46272499999998,90.91468446473597,45.457342232367985,53.33405556243219
79,GalNAcα1-3(Fucα1-2)Galβ1-3GlcNAcβ-Sp0,49337.42212500001,10475.355356530785,5237.677678265392,21.232068692179936
