Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,83.213375,51.09375614249917,25.546878071249584,61.40089395785133
2,Neu5Acα2-8Neu5Acβ-Sp17,43.4025,26.762300971578174,13.381150485789087,61.66073606722694
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,40.548374999999986,47.59277084224558,23.79638542112279,117.37281911357877
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,52.66244999999999,20.23116519704195,10.115582598520975,38.41668057039115
5,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,65.42932499999998,31.428502263855503,15.714251131927751,48.03427555435657
6,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,61.310875,31.952868833995186,15.976434416997593,52.11615204316556
7,α-D-Gal–Sp8,47.97102500000002,54.14369470648603,27.071847353243015,112.8674959655042
8,α-D-Glc–Sp8,68.77454999999999,25.507139438923108,12.753569719461554,37.08804992387898
9,α-D-Man–Sp8,34.9203,21.578734151474215,10.789367075737108,61.79424046034604
10,α-GalNAc–Sp8,65.54759999999999,64.9438951111394,32.4719475555697,99.07898246638993
11,α-L-Fuc–Sp8,36.395675000000004,40.013141207722825,20.006570603861412,109.93927494880317
12,α-L-Fuc–Sp9,40.031625000000005,57.379374771333715,28.689687385666858,143.335112604931
13,α-L-Rhα–Sp8,46.8927,48.82982214596592,24.41491107298296,104.1309673914403
14,α-Neu5Ac–Sp8,80.49892499999945,59.02427735640399,29.512138678201996,73.32306283146563
15,α-Neu5Ac–Sp11,14.435224999999996,5.59626024554194,2.79813012277097,38.76808463700387
16,β-Neu5Ac-Sp8,59.309250000000006,38.05653350832153,19.028266754160764,64.16627003093367
17,β-D-Gal–Sp8,37.056825,6.3789515012918745,3.1894757506459372,17.21397205856647
18,β-D-Glc–Sp8,0.9323499999999996,15.778307383345439,7.889153691672719,1692.315909620362
19,β-D-Man–Sp8,98.55760000000001,76.35951661436853,38.179758307184265,77.47704551893362
20,β-GalNAc–Sp8,17.702675,6.17780054894137,3.088900274470685,34.89755389477223
21,β-GlcNAc–Sp0,44.078624999999995,31.66109549129922,15.83054774564961,71.82868224972813
22,β-GlcNAc–Sp8,61.44435000000002,24.841692147610733,12.420846073805366,40.42957920070881
23,β-GlcN(Gc)-Sp8,44.207425,22.983964295768622,11.491982147884311,51.99118540781016
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",95.855575,80.98080056784546,40.49040028392273,84.4820977474137
25,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,15.353475000000003,18.316334222286407,9.158167111143204,119.29764579215065
26,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,60.69144999999998,21.407115139520055,10.703557569760028,35.27204431517135
27,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,32.28015000000001,36.238053367190304,18.119026683595152,112.26110587215452
28,[3OSO3]Galβ1-4Glcβ-Sp8,16.337575000000008,19.378742105784372,9.689371052892186,118.61455635725842
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,25.37740000000001,10.624826238892917,5.312413119446458,41.8672765487911
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,75.56195000000002,47.39383910858031,23.696919554290155,62.7218317004528
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,36.20502499999999,23.533813390718624,11.766906695359312,65.00151122867234
32,[3OSO3]Galβ1-3GalNAcα–Sp8,21.489325000000015,9.669472977494697,4.834736488747349,44.99663427071204
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,21.307049999999997,22.47210717941984,11.23605358970992,105.46794220419929
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,33.837950000000006,16.821196555437613,8.410598277718806,49.71103910088409
35,[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp8,15.445350000000005,8.475163904609756,4.237581952304878,54.87194466043018
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,37.02077500000001,18.70656656958992,9.35328328479496,50.52991616083109
37,[3OSO3]Galβ1-4GlcNAcβ-Sp8,39.21467500000001,9.856805475533148,4.928402737766574,25.135502144371074
38,[3OSO3]Galβ–Sp8,18.63125,14.921524780553309,7.460762390276654,80.08869389092685
39,[4OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,29.446050000000003,25.89116469692573,12.945582348462866,87.92746292601463
40,[4OSO3]Galβ1-4GlcNAcβ-Sp8,49.71132499999999,28.75183832434312,14.37591916217156,57.83760204408779
41,6-H2PO3Manα–Sp8,252.50757499999995,83.71012184677602,41.85506092338801,33.15152895780494
42,[6OSO3]Galβ1-4Glcβ–Sp0,174.56417499999998,116.17662039347317,58.088310196736586,66.55238418391012
43,[6OSO3]Galβ1-4Glcβ–Sp8,231.05082499999997,100.15469942977806,50.07734971488903,43.347475357328015
44,[6OSO3]Galβ1-4GlcNAcβ–Sp8,71.34257500000001,12.92624497869217,6.463122489346085,18.118556806636384
45,[6OSO3]Galβ1-4[6OSO3]Glcβ-Sp8,138.23210000000003,26.533742236003228,13.266871118001614,19.19506557160256
