Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,52.48517500000001,33.166280564992995,63.191711878626656,
2,Glca-Sp8,44.46117500000001,27.606302741387967,62.090807859639256,
3,Mana-Sp8,53.08892500000002,17.97742764642645,33.86285867801325,
4,GalNAca-Sp8,7.977300000000002,2.6919938348121497,33.74567629162936,
5,GalNAca-Sp15,41.15207499999999,34.473506259384656,83.77100367207404,
6,Fuca-Sp8,14.607175000000002,13.794640050728633,94.4374257906038,
7,Fuca-Sp9,69.05554999999998,14.526369298279675,21.035773805696543,
8,Rhaa-Sp8,25.466324999999998,13.89730996137382,54.57132099497599,
9,Neu5Aca-Sp8,20.50925,5.013572420606558,24.445420581476935,
10,Neu5Aca-Sp11,12.400599999999997,5.811092966617095,46.86138547019577,
11,Neu5Acb-Sp8,32.156549999999996,16.097581522183216,50.060039158999395,
12,Galb-Sp8,62.11615,41.72544349582561,67.17326089241786,
13,Glcb-Sp8,17.812224999999998,14.611406224675989,82.03021365761992,
14,Manb-Sp8,51.624475000000004,14.120971223060382,27.353249060761158,
15,GalNAcb-Sp8,37.416499999999985,15.933521915132285,42.58421262045432,
16,GlcNAcb-Sp0,28.958399999999997,19.348885955354984,66.81614300291102,
17,GlcNAcb-Sp8,34.361500000000014,22.91393268603188,66.68490224824839,
18,GlcN(Gc)b-Sp8,47.71282500000001,28.719678066599506,60.19278478396427,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,29.656399999999998,22.39929300253322,75.52937309495833,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,30.052025000000015,15.735345307592054,52.36034945263105,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,20.913424999999997,17.095910314921326,81.74610478638161,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,17.35105,6.96091463458645,40.11811754669861,
23,6S(3S)Galb1-4GlcNAcb-Sp0,10.204125,6.708062474552543,65.73873286100027,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,65.8673,10.928531220006995,16.591740089554293,
25,(3S)Galb1-4Glcb-Sp8,16.365550000000006,7.123444785354901,43.52707232787715,
26,(3S)Galb1-4(6S)Glcb-Sp0,12.92415,8.847371300938304,68.45611743084308,
27,(3S)Galb1-4(6S)Glcb-Sp8,26.060875000000003,6.829921866500347,26.207569264272003,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,19.872624999999996,9.907523811519914,49.85513394189201,
29,(3S)Galb1-3GalNAca-Sp8,22.770449999999997,15.455136872574117,67.87365586790828,
30,(3S)Galb1-3GlcNAcb-Sp0,23.403499999999994,11.094506442379485,47.405330153094575,
31,(3S)Galb1-3GlcNAcb-Sp8,59.426750000000006,30.64676136500125,51.57065019541073,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,47.63,55.97802161700012,117.5268142284277,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,66.879125,58.086201919926715,86.85251477187644,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,46.15535,9.308638474915039,20.16805955304215,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,14.40125,8.153660693823355,56.61772897368878,
36,(3S)Galb1-4GlcNAcb-Sp0,17.58625,10.891292585822866,61.93072761858194,
37,(3S)Galb1-4GlcNAcb-Sp8,22.082475,6.837585237677135,30.963853633603726,
38,(3S)Galb-Sp8,31.92875,27.64647085862257,86.58801506047863,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,41.256299999999996,9.123828089495486,22.114993563396347,
40,(4S)Galb1-4GlcNAcb-Sp8,8.881799999999998,3.6792788324162786,41.424923240967814,
41,(6P)Mana-Sp8,19.151324999999996,15.51296963712945,81.00206976347305,
42,(6S)Galb1-4Glcb-Sp0,30.055950000000003,20.771812390272192,69.11048358235954,
43,(6S)Galb1-4Glcb-Sp8,7.609325000000002,2.5791382906893294,33.89444255159727,
44,(6S)Galb1-4GlcNAcb-Sp8,28.0077,14.700049157740928,52.48574198431477,
45,(6S)Galb1-4(6S)Glcb-Sp8,29.854375,23.759840274207033,79.58579027096374,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,15.109725000000001,12.119511555992394,80.21000750174072,
47,(6S)GlcNAcb-Sp8,19.156,9.817910501731028,51.25240395558065,
48,"Neu5,9Ac2a-Sp8",33.038725,33.62730981750547,101.78149979306244,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",4.498025000000002,3.8294039678736747,85.13523085962557,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,43.1619,22.4886205047501,52.10294381097703,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,121.50992499999998,89.48681558827067,73.64568415976777,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,73.010825,48.407960697277495,66.30244309289411,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,18.463025000000002,3.8110439964004996,20.64149291029232,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,59.300675,45.88333278692639,77.37404808111609,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,65.77015,38.85735478091631,59.0805324009696,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,15.236499999999998,7.769383792382353,50.991919354066574,
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,43.64465000000001,39.822910675598095,91.2435102025061,
58,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,124.46209999999999,38.78534619543838,31.162374887968614,
59,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,9.358925,5.304784835331847,56.68156156109646,
60,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,16.806749999999994,7.242542550099404,43.093058146871975,
61,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,17.3744,9.670553408156119,55.65978340636867,
62,Fuca1-2Galb1-3GalNAca-Sp8,39.87287499999999,24.04726262167553,60.309828728616964,
63,Fuca1-2Galb1-3GalNAca-Sp14,22.430424999999993,4.480037901160403,19.973040640827822,
64,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,31.036125,12.617808029494148,40.65523008911115,
65,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,25.877975,5.88525654913757,22.742338027367172,
66,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,34.02485,31.82140095873637,93.52400071928713,
67,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,42.265225,19.683581531041717,46.57157635157915,
68,Fuca1-2Galb1-3GlcNAcb-Sp0,22.113824999999995,4.541894705498339,20.53871144181678,
69,Fuca1-2Galb1-3GlcNAcb-Sp8,31.532075000000006,17.479920636619017,55.43536426517765,
70,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,30.907849999999996,26.30070718041628,85.09393950215328,
71,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,31.60739999999999,24.321253874749175,76.94797381230086,
72,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,14.621749999999999,9.854364738699978,67.39524843948213,
73,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,24.335274999999996,13.381394457323935,54.987644303686466,
74,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,50.62587500000001,26.159405067314385,51.6720058020022,
75,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,8134.112174999999,2918.360321572741,35.878043710071424,
76,Fuca1-2Galb1-4GlcNAcb-Sp0,14.469774999999998,8.79082925074949,60.75304730550054,
77,Fuca1-2Galb1-4GlcNAcb-Sp8,27.075,3.1952112334972305,11.80133419574231,
78,Fuca1-2Galb1-4Glcb-Sp0,8.335700000000001,8.638094006202993,103.62769780825836,
79,Fuca1-2Galb-Sp8,49.280300000000004,33.29789102040349,67.5683610294651,
80,Fuca1-3GlcNAcb-Sp8,19.691125,5.970688385981972,30.321723040110566,
81,Fuca1-4GlcNAcb-Sp8,83.46375,30.339916716046883,36.35101072746777,
82,Fucb1-3GlcNAcb-Sp8,28.988,7.773459912205571,26.816130509885372,
83,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,19.981700000000004,7.766269067362196,38.866908558141674,
84,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,90.62182499999999,52.31974671819268,57.73415699605773,
85,(3S)Galb1-4(Fuca1-3)Glcb-Sp0,28.139174999999994,31.381229177580583,111.52149690806709,
86,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,21.025675,4.668510645716327,22.20385621729779,
87,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,28.128,12.567587195904673,44.679988608876116,
88,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,15.040375000000001,7.984471864970161,53.08692013975822,
89,GlcNAcb1-3Galb1-3GalNAca-Sp8,18.529225,5.42847557016085,29.296830116536714,
90,GalNAca1-3(Fuca1-2)Galb-Sp8,135.68317500000003,184.26520677453595,135.805494509202,
91,GalNAca1-3(Fuca1-2)Galb-Sp18,28.087149999999998,21.994518058901267,78.30811619869324,
92,GalNAca1-3GalNAcb-Sp8,12.455374999999998,5.102015796640248,40.96236200548156,
93,GalNAca1-3Galb-Sp8,8.581999999999994,5.5158269806068185,64.27204591711515,
94,GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,25.580799999999993,23.26422062853886,90.94406988264193,
95,GalNAcb1-3GalNAca-Sp8,24.110174999999998,5.091915322269904,21.119362768084034,
96,GalNAcb1-3(Fuca1-2)Galb-Sp8,24.42450000000001,18.12913844707831,74.22521831389918,
97,GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,36.617425,14.664269116091887,40.04724285252687,
98,GalNAcb1-4(Fuca1-3)GlcNAcb-Sp0,46.078275,39.18598670880317,85.0422172027993,
99,GalNAcb1-4GlcNAcb-Sp0,85.055,34.274666483959805,40.2970624701191,
100,GalNAcb1-4GlcNAcb-Sp8,43.910950000000014,15.764105644680967,35.90016987717406,
101,Gala1-2Galb-Sp8,29.16405,6.385933555610074,21.896593770789977,
102,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,44.11565,10.056584960611595,22.795957807743044,
103,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp8,100.071525,31.84196675650706,31.819208067936472,
104,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,84.76827500000002,18.606979840618777,21.950405196541716,
105,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp8,66.28609999999998,31.443666856035275,47.43629034750164,
106,Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,268.1481,26.655979442019014,9.940767598957075,
107,Gala1-3(Fuca1-2)Galb1-4Glcb-Sp0,53.30877500000001,16.468097357896635,30.891907303997574,
108,Gala1-3(Fuca1-2)Galb-Sp8,8.144525,11.308451286353643,138.84727821884817,
109,Gala1-3(Fuca1-2)Galb-Sp18,13.419375,2.5155743139821434,18.745838118259183,
110,Gala1-4(Gala1-3)Galb1-4GlcNAcb-Sp8,58.028000000000006,24.17769138041651,41.66556038535966,
111,Gala1-3GalNAca-Sp8,48.592449999999985,32.20930061876532,66.28457840418692,
112,Gala1-3GalNAca-Sp16,15.368824999999998,9.075334194902505,59.05027999799923,
113,Gala1-3GalNAcb-Sp8,68.69262499999999,22.16126935825584,32.26149729793532,
114,Gala1-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,28.1724,7.397260242819629,26.257117756455354,
115,Gala1-3Galb1-3GlcNAcb-Sp0,19.601975000000003,12.024510839773615,61.343363818052076,
116,Gala1-3Galb1-4GlcNAcb-Sp8,7.930800000000002,5.006571416981215,63.12820165659472,
117,Gala1-3Galb1-4Glcb-Sp0,24.212174999999995,5.004698729777205,20.67017411602719,
118,Gala1-3Galb1-4Glc-Sp10,22.808349999999997,20.041786341624668,87.87039107004527,
119,Gala1-3Galb-Sp8,54.80355,32.07420628422989,58.525782151393265,
120,Gala1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,17.422774999999994,5.640928367077527,32.37675035737722,
121,Gala1-4Galb1-4GlcNAcb-Sp0,56.288624999999996,33.287803913883636,59.137710174806436,
122,Gala1-4Galb1-4GlcNAcb-Sp8,34.8262,49.78501358755759,142.95275851961338,
123,Gala1-4Galb1-4Glcb-Sp0,38.78209999999999,28.34065600946221,73.07664105208902,
124,Gala1-4GlcNAcb-Sp8,29.231025000000002,15.007824958195423,51.3421098240497,
125,Gala1-6Glcb-Sp8,29.888224999999995,19.093425330442088,63.88276764659692,
126,Galb1-2Galb-Sp8,41.27527499999999,33.43183043312416,80.9972324427255,
127,Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,9.65435,14.294227899983493,148.05997192958088,
128,Galb1-3GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,36.459624999999996,48.99072631885719,134.36980308727036,
129,Galb1-3(Fuca1-4)GlcNAc-Sp0 ,34.704475,7.600856454100123,21.901660964760662,
130,Galb1-3(Fuca1-4)GlcNAc-Sp8 ,28.06875,10.209693663540202,36.37388078749571,
131,Fuca1-4(Galb1-3)GlcNAcb-Sp8,40.01462499999999,31.552563837652958,78.85257911989171,
132,Galb1-4GlcNAcb1-6GalNAca-Sp8,12.981749999999998,20.553677847285616,158.32748163603227,
133,Galb1-4GlcNAcb1-6GalNAc-Sp14,33.39387500000001,8.624137769993762,25.825507731563828,
134,GlcNAcb1-6(Galb1-3)GalNAca-Sp8 ,7.676549999999999,7.761143799509626,101.1019767930858,
135,GlcNAcb1-6(Galb1-3)GalNAca-Sp14,15.627599999999997,19.41915296419148,124.26190179036757,
136,Neu5Aca2-6(Galb1-3)GalNAca-Sp8,24.152299999999997,13.827803448125783,57.25253267028724,
137,Neu5Aca2-6(Galb1-3)GalNAca-Sp14,36.49165,23.411728304491596,64.15639825683847,
138,Neu5Acb2-6(Galb1-3)GalNAca-Sp8,23.617025000000005,16.71877128706432,70.79118257724805,
139,Neu5Aca2-6(Galb1-3)GlcNAcb1-4Galb1-4Glcb-Sp10,23.261750000000003,10.586293147115589,45.50944424695299,
140,Galb1-3GalNAca-Sp8,6.218949999999998,2.8791982419879827,46.297176243384875,
