Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,-15.892074999999977,23.58476978481049,11.792384892405245,-148.40585502403258
2,Glca-Sp8,26.812275,19.86740169832229,9.933700849161145,74.09815727431668
3,Mana-Sp8,14.29287500000001,12.847384260716268,6.423692130358134,89.8866341496463
4,GalNAca-Sp8,26.32969999999999,37.22529194253105,18.612645971265525,141.38137518669438
5,Fuca-Sp8,35.821299999999994,20.221380740031908,10.110690370015954,56.45071714324134
6,Fuca-Sp9,74.83325,28.465097895317328,14.232548947658664,38.03803509177715
7,Rha-Sp8,-27.030600000000007,14.62786717536084,7.31393358768042,-54.11595441966082
8,Neu5Aca-Sp8,53.937175,19.392144929218997,9.696072464609498,35.9532083933187
9,Neu5Aca-Sp11,-16.25287499999999,36.1216316345552,18.0608158172776,-222.24764316808702
10,Neu5Acb-Sp8,30.65795,31.782149339369727,15.891074669684864,103.66690969020996
11,Galb-Sp8,19.251725000000008,26.56755830875633,13.283779154378164,138.00092359908695
12,Glcb-Sp8,168.859175,78.38483259412615,39.192416297063076,46.42023899153017
13,Manb-Sp8,45.834424999999996,15.896737431597877,7.948368715798939,34.682964674691306
14,GalNAcb-Sp8,26.093774999999994,18.633749465664895,9.316874732832447,71.41070797791772
15,GlcNAcb-Sp0,42.30235,30.403031487611003,15.201515743805501,71.87078610907196
16,GlcNAcb-Sp8,165.901475,97.51239167761791,48.75619583880896,58.77729036322185
17,GlcN(Gc)b-Sp8,125.47522500000001,139.2583427145719,69.62917135728595,110.98473241595853
18,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,148.40785,49.35715529603258,24.67857764801629,33.25777935333783
19,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,11.714875000000013,16.749161019461027,8.374580509730514,142.9734505870614
20,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,13.127574999999979,63.00945946048502,31.50472973024251,479.97790498614654
21,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,-9.284824999999998,17.25914066446627,8.629570332233135,-185.88547080280213
22,[3OSO3]Galb1-4(Fuca1-3)[6OSO3]Glc-Sp0,161.192975,92.91629864092283,46.458149320461416,57.642895815356
23,[3OSO3]Galb1-4Glcb-Sp8,-16.21779999999999,22.93693918071897,11.468469590359485,-141.4306452214171
24,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,113.89734999999997,49.08894688287785,24.544473441438925,43.09928798420495
25,[3OSO3]Galb1-4[6OSO3]Glcb-Sp8,73.10780000000001,139.78007678599977,69.89003839299988,191.1972139580178
26,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb-Sp8,21.784375,34.777477769515805,17.388738884757903,159.64413837677603
27,[3OSO3]Galb1-3GalNAca-Sp8,-44.054975,21.36801872836676,10.68400936418338,-48.503077639623584
28,[3OSO3]Galb1-3GlcNAcb-Sp8,430.93835,82.26550983676799,41.132754918383995,19.089855854501693
29,[3OSO3]Galb1-4(Fuca1-3)GlcNAc-Sp0 ,112.42237499999996,90.16283023542749,45.081415117713746,80.20007603951396
30,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb-Sp8,47.00815,79.8760966559458,39.9380483279729,169.9196770261025
31,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,870.267575,31.10382632671277,15.551913163356385,3.574053224574381
32,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,908.72295,120.00248592565428,60.00124296282714,13.205618491934676
33,[3OSO3]Galb1-4GlcNAcb-Sp0,373.01539999999994,71.0346062664768,35.5173031332384,19.043344126402506
34,[3OSO3]Galb1-4GlcNAcb-Sp8,300.93367499999994,49.49993552772797,24.749967763863985,16.4487857757122
35,[3OSO3]Galb-Sp8,87.1654,38.67149078179773,19.335745390898865,44.36564368636836
36,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,22.855075000000006,16.470472228076314,8.235236114038157,72.06483561343076
37,[4OSO3]Galb1-4GlcNAcb-Sp8,-0.8835749999999791,8.103540226911104,4.051770113455552,-917.130999282607
38,6-H2PO3Mana-Sp8,69.75952499999997,11.439704366336167,5.719852183168084,16.398770442224446
39,[6OSO3]Galb1-4Glcb-Sp0,-6.506674999999987,5.7070527784341705,2.8535263892170852,-87.71073979312294
40,[6OSO3]Galb1-4Glcb-Sp8,-47.033500000000004,26.57087965260716,13.28543982630358,-56.493519837152576
41,[6OSO3]Galb1-4GlcNAcb-Sp8,-10.449699999999993,29.01839221424924,14.50919610712462,-277.6959359048514
42,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,26.59447500000001,23.92718575767948,11.96359287883974,89.97051364119605
43,Neu5Aca2-3[6OSO3]Galb1-4GlcNAcb-Sp8,109.38337499999994,137.69302786249804,68.84651393124902,125.88112943351594
44,[6OSO3]GlcNAcb-Sp8,-6.029500000000006,11.991042540163047,5.9955212700815235,-198.87291716001383
45,Neu5Ac(9Ac)a-Sp8,-28.83887500000003,15.338161580270945,7.669080790135473,-53.1857140067736
46,Neu5Ac(9Ac)a2-6Galb1-4GlcNAcb-Sp8,-2.5522499999998445,50.20804437952958,25.10402218976479,-1967.2071458333878
47,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,60.33852500000003,40.623958246694194,20.311979123347097,67.32673403384351
48,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,-3.3209250000000026,13.72294856080501,6.861474280402505,-413.2266931895481
49,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,11.189724999999996,7.982114342025338,3.991057171012669,71.33432092410976
50,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,357.462,112.30578941897865,56.152894709489324,31.417546317924327
51,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-N(LT)AVL,575.1612,96.41991716075306,48.20995858037653,16.76398149957839
