Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,11.616000000000007,36.59811153570635,18.299055767853176,315.0663871875545
2,Glca-Sp8,31.972949999999983,32.77460390256457,16.387301951282286,102.50728788730657
3,Mana-Sp8,-21.343550000000008,17.730257414280988,8.865128707140494,-83.07079850484564
4,GalNAca-Sp8,90.35494999999997,48.466532036619554,24.233266018309777,53.64015146554734
5,Fuca-Sp8,23.498950000000008,22.37080785972352,11.18540392986176,95.19918064306495
6,Fuca-Sp9,-19.567599999999985,54.978993751492624,27.489496875746312,-280.96952999597636
7,Rha-Sp8,-30.6605,32.62011364552043,16.310056822760217,-106.39132970930166
8,Neu5Aca-Sp8,-42.36902499999999,18.482813911013853,9.241406955506926,-43.6234109966275
9,Neu5Aca-Sp11,-11.230400000000003,14.74671321165048,7.37335660582524,-131.31066757773968
10,Neu5Acb-Sp8,71.94932500000002,35.58297640730048,17.79148820365024,49.45560838451295
11,Galb-Sp8,10.71967500000001,112.85044379420562,56.42522189710281,1052.7412798821374
12,Glcb-Sp8,675.3222250000001,696.1630460092588,348.0815230046294,103.08605584678614
13,Manb-Sp8,427.58375,253.11087862001645,126.55543931000823,59.195626265033795
14,GalNAcb-Sp8,37.419175,23.356170914111026,11.678085457055513,62.4176532863459
15,GlcNAcb-Sp0,47.788275,49.86988950635277,24.934944753176385,104.35591053737089
16,GlcNAcb-Sp8,71.326425,37.25688964342702,18.62844482171351,52.234343223324345
17,GlcN(Gc)b-Sp8,144.6164,94.65087812323777,47.32543906161889,65.44961575812825
18,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,37554.2043,3028.8010055466516,1514.4005027733258,8.065144933843404
19,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,40.89680000000002,26.073461321683634,13.036730660841817,63.754282295151754
20,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,3869.353225,780.9824424890579,390.49122124452896,20.183798094294115
21,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,5.442824999999999,14.16395644594051,7.081978222970255,260.23170772421514
22,[3OSO3]Galb1-4(Fuca1-3)[6OSO3]Glc-Sp0,405.3002750000001,176.97569946515912,88.48784973257956,43.66532923402509
23,[3OSO3]Galb1-4Glcb-Sp8,39478.060475,1583.0976800675958,791.5488400337979,4.010069545007443
24,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,41685.58095,2164.483840655155,1082.2419203275774,5.192404163087847
25,[3OSO3]Galb1-4[6OSO3]Glcb-Sp8,61898.34012499999,1080.7902684254097,540.3951342127049,1.7460731034835806
26,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb-Sp8,266.5084499999999,298.4376860696887,149.21884303484435,111.98057174910919
27,[3OSO3]Galb1-3GalNAca-Sp8,-4.958275,40.83010192601981,20.415050963009904,-823.4739284533392
28,[3OSO3]Galb1-3GlcNAcb-Sp8,61825.200049999985,595.6168067387287,297.8084033693643,0.9633884019089862
29,[3OSO3]Galb1-4(Fuca1-3)GlcNAc-Sp0 ,65.03162500000002,76.77273760549701,38.38636880274851,118.05446597020602
30,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb-Sp8,22.370374999999996,28.05192793759163,14.025963968795814,125.39766516024712
31,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,61790.95985,1178.2741579792107,589.1370789896054,1.9068714272112262
32,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,60477.2959,2428.27666569016,1214.13833284508,4.015187236058549
33,[3OSO3]Galb1-4GlcNAcb-Sp0,61308.742549999995,979.3686018938678,489.6843009469339,1.5974371046595015
34,[3OSO3]Galb1-4GlcNAcb-Sp8,56212.453400000006,7963.477096062743,3981.7385480313715,14.166748850820914
35,[3OSO3]Galb-Sp8,83.84875,80.22791258751529,40.113956293757646,95.68170376721811
36,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,80.71014999999998,74.44054831521593,37.22027415760797,92.23195386852329
37,[4OSO3]Galb1-4GlcNAcb-Sp8,25.745,10.141187867634935,5.0705939338174675,39.39090257383933
38,6-H2PO3Mana-Sp8,302.90082499999994,145.95600621441568,72.97800310720784,48.18607087465533
39,[6OSO3]Galb1-4Glcb-Sp0,113.668425,18.07239067848623,9.036195339243115,15.899217991703702
40,[6OSO3]Galb1-4Glcb-Sp8,-59.57199999999999,42.0553379146255,21.02766895731275,-70.59581332610203
41,[6OSO3]Galb1-4GlcNAcb-Sp8,1057.1004249999999,306.74958504978724,153.37479252489362,29.018017379927482
42,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,117.82227500000005,129.33617031089622,64.66808515544811,109.77225682571158
43,Neu5Aca2-3[6OSO3]Galb1-4GlcNAcb-Sp8,19.680774999999997,12.782739738771442,6.391369869385721,64.95038807552774
44,[6OSO3]GlcNAcb-Sp8,-4.3787750000000045,9.357055698375436,4.678527849187718,-213.69117386427544
45,Neu5Ac(9Ac)a-Sp8,-11.960625,21.656317368591687,10.828158684295843,-181.06342577074096
46,Neu5Ac(9Ac)a2-6Galb1-4GlcNAcb-Sp8,114.88837500000001,103.7519438881147,51.87597194405735,90.30673807346886
47,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,23.653999999999996,29.561469776833952,14.780734888416976,124.97450653941809
48,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,2410.4633750000003,1692.5282883254213,846.2641441627106,70.21588902280753
49,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,3922.4793999999993,1868.9229789177655,934.4614894588827,47.646470212635556
50,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,37996.662775,3142.492477486437,1571.2462387432186,8.270443370500548
51,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-N(LT)AVL,635.8757,47.20628007860778,23.60314003930389,7.423821995180469
52,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp8,983.4925,590.4046189294824,295.2023094647412,60.03143073581979
53,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,4586.0117,5861.782050781253,2930.8910253906265,127.81873301329026
54,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,30486.830875,5585.727342223947,2792.8636711119734,18.32177101360965
55,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,178.93485000000004,217.79660992670074,108.89830496335037,121.71838517018942
56,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,-19.326575000000034,23.40892975260725,11.704464876303625,-121.12301198017346
57,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,185.67255,99.58474096916989,49.79237048458494,53.634606175856305
58,Fuca1-2Galb1-3GalNAca-Sp8,116.54012499999993,109.7529477450569,54.87647387252845,94.17610264709856
59,Fuca1-2Galb1-3GalNAca-Sp14,165.92107500000003,176.6917463059395,88.34587315296974,106.49144257650178
60,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,374.2122499999999,266.013324305037,133.0066621525185,71.08621492349249
61,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,37.32495,25.025334309122307,12.512667154561154,67.04720115933794
62,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,32516.001800000002,3093.7627253502533,1546.8813626751266,9.514585293663789
63,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,29134.869799999997,7524.602694912372,3762.301347456186,25.82679362072307
64,Fuca1-2Galb1-3GlcNAcb-Sp0,37351.916525,3170.552401870229,1585.2762009351145,8.48832589285786
65,Fuca1-2Galb1-3GlcNAcb-Sp8,27138.849275,957.3885296019455,478.69426480097275,3.527741798853207
66,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,85.19515000000007,22.094981872287267,11.047490936143634,25.934553636312923
67,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,46.59477499999999,10.771925016874606,5.385962508437303,23.11831104855557
68,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,26.78125,22.80927806215415,11.404639031077075,85.16883290419285
69,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,28.241375000000005,15.21608178898781,7.608040894493905,53.878686108547505
70,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,42883.73712500001,8998.233554921295,4499.116777460647,20.982857740902386
71,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,39447.748649999994,4107.9116506626715,2053.9558253313357,10.413551574540039
72,Fuca1-2Galb1-4GlcNAcb-Sp0,7206.755775,3607.146638087339,1803.5733190436695,50.05229468994097
73,Fuca1-2Galb1-4GlcNAcb-Sp8,36394.41215,1394.5396534265235,697.2698267132618,3.8317411136602835
74,Fuca1-2Galb1-4Glcb-Sp0,25391.184274999996,1357.0630110684342,678.5315055342171,5.344622749261011
75,Fuca1-2Galb-Sp8,10.917000000000002,28.626388861445083,14.313194430722541,262.2184561825143
76,Fuca1-3GlcNAcb-Sp8,-35.928500000000014,11.416173088795274,5.708086544397637,-31.77469999803852
77,Fuca1-4GlcNAcb-Sp8,-40.341825,13.018412552323738,6.509206276161869,-32.27026182460446
78,Fucb1-3GlcNAcb-Sp8,5.359499999999997,42.709522271034665,21.354761135517332,796.8937824616977
79,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,30918.486549999998,3893.6185441248213,1946.8092720624106,12.593173141991393
80,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,189.02210000000002,14.737487881588958,7.368743940794479,7.796700958030281
81,[3OSO3]Galb1-4(Fuca1-3)Glc-Sp0,22.269724999999998,11.263906595367638,5.631953297683819,50.57945976148174
82,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,33902.41725,1152.311824436648,576.155912218324,3.398907564435241
83,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,26082.001525000003,6500.388727406017,3250.1943637030085,24.922890680668402
84,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,24629.87485,2018.3656836061377,1009.1828418030689,8.194786599194343
85,GlcNAcb1-3Galb1-3GalNAca-Sp8,165.771725,37.95946514861863,18.979732574309313,22.898636754017385
86,GalNAca1-3(Fuca1-2)Galb-Sp8,43.37017500000002,36.33740804601362,18.16870402300681,83.78432424128702
87,GalNAca1-3(Fuca1-2)Galb-Sp18,48.76967499999999,23.147491717444613,11.573745858722306,47.462878761124855
88,GalNAca1-3GalNAcb-Sp8,58.541875,82.44430318440747,41.22215159220374,140.8296252629549
89,GalNAca1-3Galb-Sp8,-2.138024999999999,21.31889993759452,10.65944996879726,-997.1305264248327
90,GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,125.68205,95.33286810848615,47.666434054243076,75.85241337843084
91,GalNAcb1-3GalNAca-Sp8,66.15745,87.2834757362278,43.6417378681139,131.93295046321737
92,GalNAcb1-3(Fuca1-2)Galb-Sp8,102.83517499999999,25.186145998064884,12.593072999032442,24.491761693471993
93,GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,143.505875,128.2403787880758,64.1201893940379,89.36245905477793
94,GalNAcb1-4(Fuca1-3)GlcNAcb-Sp0,-26.275450000000006,29.94681992093093,14.973409960465466,-113.97262433538121
95,GalNAcb1-4GlcNAcb-Sp0,14857.705175000003,10299.006447834534,5149.503223917267,69.31761215159885
96,GalNAcb1-4GlcNAcb-Sp8,7453.756749999999,2869.9703195477086,1434.9851597738543,38.50367560690398
97,Gala1-2Galb-Sp8,44.63865000000004,64.53381222638247,32.26690611319123,144.56936360392262
98,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,28033.587600000006,3073.466109970143,1536.7330549850715,10.963513317753673
99,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,431.91887500000007,144.63090578126474,72.31545289063237,33.48566458950531
100,Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,33625.09465,1564.5783615416642,782.2891807708321,4.653008051954032
101,Gala1-3(Fuca1-2)Galb1-4Glcb-Sp0,24244.589874999998,913.2806030136267,456.64030150681333,3.7669459773182767
102,Gala1-3(Fuca1-2)Galb-Sp8,112.99884999999998,59.82389078278008,29.91194539139004,52.94203505856926
103,Gala1-3(Gala1-4)Galb1-4GlcNAcb-Sp8,55.786,49.9356760925489,24.96783804627445,89.51291738527391
104,Gala1-3GalNAca-Sp8,155.81162499999996,146.19868140400303,73.09934070200151,93.83040668756459
105,Gala1-3GalNAca-Sp16,47.397349999999996,22.56897067768045,11.284485338840225,47.616524294460454
106,Gala1-3GalNAcb-Sp8,350.599775,442.70298486835287,221.35149243417644,126.27018510446929
107,Gala1-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,75.46412499999997,66.041277352495,33.0206386762475,87.5134739222048
108,Gala1-3Galb1-3GlcNAcb-Sp0,25789.228525000002,2061.883729559257,1030.9418647796285,7.995135362659155
109,Gala1-3Galb1-4GlcNAcb-Sp8,34682.285650000005,5707.141836747251,2853.5709183736253,16.455495160675056
110,Gala1-3Galb1-4Glcb-Sp0,27898.7539,1263.1047145433954,631.5523572716977,4.527459251659965
111,Gala1-3Galb-Sp8,140.59009999999998,77.35376457553083,38.676882287765416,55.020776409954074
