Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,10275.64735,1798.4284681166973,899.2142340583487,17.501850801805663
2,Neu5Acα2-8Neu5Acβ-Sp17,4535.781824999999,2114.8757356287097,1057.4378678143548,46.62648727882122
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,3003.6564750000002,1234.505774131948,617.252887065974,41.10009864333597
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,4430.7044750000005,1387.5792084651555,693.7896042325777,31.31734956132806
5,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,752.1569749999999,486.014335680862,243.007167840431,64.61607773840853
6,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,4691.486575,1436.988656367141,718.4943281835705,30.629708374837268
7,α-D-Gal–Sp8,2089.54835,431.77897492104796,215.88948746052398,20.66374654221559
8,α-D-Glc–Sp8,1875.3578999999997,687.8439788518281,343.92198942591403,36.678011106670795
9,α-D-Man–Sp8,1889.4726499999995,775.1444041526439,387.57220207632196,41.02437810638032
10,α-GalNAc–Sp8,3633.5331250000004,3129.3578517098417,1564.6789258549209,86.1243793314762
11,α-L-Fuc–Sp8,4609.4406,1555.168349618923,777.5841748094615,33.73876538552038
12,α-L-Fuc–Sp9,3284.4041749999997,1773.9354919532223,886.9677459766111,54.01087678112035
13,α-L-Rhα–Sp8,3731.9193999999998,2663.9120554031474,1331.9560277015737,71.38182178862564
14,α-Neu5Ac–Sp8,2169.6476249999996,609.9109093178449,304.95545465892246,28.11105832532806
15,α-Neu5Ac–Sp11,5067.818824999999,1679.2470854045312,839.6235427022656,33.13549957864824
16,β-Neu5Ac-Sp8,3855.4202,337.95042588497995,168.97521294248997,8.765592551623296
17,β-D-Gal–Sp8,2634.1802000000002,367.6261049955251,183.81305249776256,13.955996821915415
18,β-D-Glc–Sp8,4024.179725,684.7639087596541,342.38195437982705,17.01623574378637
19,β-D-Man–Sp8,3983.7273000000005,1595.5156207100954,797.7578103550477,40.05082427981693
20,β-GalNAc–Sp8,1070.51375,784.6520498283787,392.32602491418936,73.29677454664909
21,β-GlcNAc–Sp0,2061.0744750000003,968.1063045339339,484.05315226696695,46.97095210661583
22,β-GlcNAc–Sp8,1630.3173999999997,704.363620735517,352.1818103677585,43.20407920172582
23,β-GlcN(Gc)-Sp8,4121.801399999999,1893.2602725550319,946.6301362775159,45.9328358846943
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",1983.0913250000003,465.46866226013054,232.73433113006527,23.471872242703217
25,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,2614.06185,1487.0473044892797,743.5236522446398,56.88646213513577
26,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,47802.19224999999,11766.336318180009,5883.168159090004,24.61463745562843
27,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,7698.275150000001,4183.301136137305,2091.6505680686523,54.3407588664495
28,[3OSO3]Galβ1-4Glcβ-Sp8,1179.2288250000001,654.44722128941,327.223610644705,55.49789891621839
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,13667.404699999996,2568.780255565096,1284.390127782548,18.794938117001077
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,8096.184025000002,1777.431864894944,888.715932447472,21.953945950418827
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,4613.838924999999,1731.531432725913,865.7657163629565,37.529082849937446
32,[3OSO3]Galβ1-3GalNAcα–Sp8,2469.4057000000003,936.8406593161728,468.4203296580864,37.937899767388274
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,3140.303,1971.1196084449093,985.5598042224547,62.76845286728413
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,2785.761850000001,1050.7010084713474,525.3505042356737,37.716828108308945
35,[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp8,6453.5633499999985,1934.3847827556183,967.1923913778091,29.97390244500534
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,5626.94785,5823.225322505308,2911.612661252654,103.48816939018386
37,[3OSO3]Galβ1-4GlcNAcβ-Sp8,2350.6214,1578.3352601384397,789.1676300692199,67.14544758838832
38,[3OSO3]Galβ–Sp8,7366.6107999999995,1894.196795099353,947.0983975496765,25.71327366852818
39,[4OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,5440.9184000000005,3584.159194052883,1792.0795970264414,65.87415819455926
40,[4OSO3]Galβ1-4GlcNAcβ-Sp8,2641.8185750000002,963.4251846381128,481.7125923190564,36.468256895275736
41,6-H2PO3Manα–Sp8,57543.587799999994,7914.607402259262,3957.303701129631,13.754108328746339
42,[6OSO3]Galβ1-4Glcβ–Sp0,2298.566425,788.9223196407895,394.46115982039476,34.322363324383346
43,[6OSO3]Galβ1-4Glcβ–Sp8,1992.5539750000003,282.2429661787062,141.1214830893531,14.164884350433024
44,[6OSO3]Galβ1-4GlcNAcβ–Sp8,2930.5275750000005,735.8368147607135,367.91840738035677,25.10936327772699
45,[6OSO3]Galβ1-4[6OSO3]Glcβ-Sp8,12541.891574999998,1625.2316892744038,812.6158446372019,12.958425605544308
46,NeuAcα2-3[6OSO3]Galβ1-4GlcNAcβ–Sp8,4316.6971,579.922848171354,289.961424085677,13.434411420049694
47,[6OSO3]GlcNAcβ–Sp8,4741.56155,2595.0293016284522,1297.5146508142261,54.729423508769
48,9NAcNeu5Acα-Sp8,2014.996725,630.0272923840329,315.01364619201644,31.266913964042935
49,9NAcNeu5Acα2-6Galβ1-4GlcNAcβ-Sp8,3711.1424249999995,4174.962312992411,2087.4811564962056,112.49803523755656
50,Manα1-3(Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,3670.379525,1073.5253576921982,536.7626788460991,29.248347490500954
51,GlcNAcβ1-2Manα1-3(GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,3425.9756500000003,1280.1505916696267,640.0752958348133,37.366015478528766
52,Galβ1-4GlcNAcβ1-2Manα1-3(Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,7096.722599999999,4909.900141921748,2454.950070960874,69.18545952355174
53,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,4358.546374999999,2187.934621664005,1093.9673108320026,50.19872300117504
54,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp8,1486.881775,267.00724408183095,133.50362204091547,17.957530220035885
55,Fucα1-2Galβ1-3GalNAcβ1-3Galα-Sp9,5256.843425000001,731.1541261204902,365.5770630602451,13.908615247000439
56,Fucα1-2Galβ1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ-Sp9,2673.940124999999,537.4777071864363,268.73885359321815,20.100588721538276
57,Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,2009.108325,724.6114790933877,362.30573954669387,36.06632206321617
58,Fucα1-2Galβ1-3GalNAcα–Sp8,2003.1996749999994,760.788006005944,380.394003002972,37.97864064679145
59,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp0,3280.0832,2062.9343408260934,1031.4671704130467,62.89274433118322
60,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp9,7864.612200000001,1731.8324534569106,865.9162267284553,22.02057023812198
61,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp10,4195.958125,2428.866768515248,1214.433384257624,57.885867688807025
62,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp8,1958.1219999999998,879.7515087537728,439.8757543768864,44.92832973398863
63,Fucα1-2Galβ1-3GlcNAcβ–Sp0,6631.333074999999,2731.323037402927,1365.6615187014636,41.18814432199106
64,Fucα1-2Galβ1-3GlcNAcβ–Sp8,1387.91665,657.8155229610329,328.90776148051646,47.3958953486892
65,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,2514.2164749999997,789.9106303937051,394.95531519685255,31.417765265964427
66,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,2162.4656499999996,481.1713069857553,240.58565349287764,22.251049721217786
67,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp0,3171.4542000000006,3243.1522040649934,1621.5761020324967,102.26072960678394
68,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,2346.2082499999997,600.3896089391667,300.19480446958335,25.589783385135007
69,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAc–Sp0,3881.1652750000007,3905.6091502475097,1952.8045751237548,100.62980763547897
70,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0,2898.5802249999997,592.2346761107884,296.1173380553942,20.431888377724253
71,Fucα1-2Galβ1-4GlcNAcβ–Sp0,2051.0614,1224.1271797484783,612.0635898742391,59.68261992295688
72,Fucα1-2Galβ1-4GlcNAcβ–Sp8,7617.0291499999985,2116.9749960445833,1058.4874980222917,27.792659767418428
73,Fucα1-2Galβ1-4Glcβ–Sp0,12860.11515,4600.330553239459,2300.1652766197294,35.77207901781081
74,Fucα1-2Galβ–Sp8,4988.725525,3482.9778414223047,1741.4889207111523,69.81698680290303
75,Fucα1-3GlcNAcβ-Sp8,1429.644525,636.7146178502794,318.3573089251397,44.536568826455614
76,Fucα1-3GlcNAcβ-Sp8,6787.1507999999985,1669.9135319371753,834.9567659685877,24.604043451298825
77,Fucα1-4GlcNAcβ–Sp8,1954.987325,773.123157496987,386.5615787484935,39.546197952817266
78,Fucβ1-3GlcNAcβ-Sp8,1516.2057,761.5758542538096,380.7879271269048,50.22905891026591
79,GalNAcα1-3(Fucα1-2)Galβ1-3GlcNAcβ-Sp0,3229.1929249999994,3767.5283880514125,1883.7641940257063,116.67089813320501
80,GalNAcα1-3(Fucα1-2)Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,8180.01705,5285.283810443249,2642.6419052216247,64.61213684686939
81,GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ-Sp0,2237.4109,1472.6436848344347,736.3218424172173,65.8190985318984
82,GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ–Sp8,4688.10155,4483.019624324536,2241.509812162268,95.62548030395239
83,GalNAcα1-3(Fucα1-2)Galβ1-4Glcβ-Sp0,3219.85435,610.4769598796506,305.2384799398253,18.95976940322318
84,GalNAcα1-3(Fucα1-2)Galβ–Sp8,1841.4091999999998,1247.5094761446378,623.7547380723189,67.74754227059569
85,GalNAcα1-3GalNAcβ–Sp8,1925.735475,816.111755739653,408.0558778698265,42.37922426701169
86,GalNAcα1-3Galβ–Sp8,1411.6774500000001,814.2604417623577,407.13022088117884,57.68034629740367
87,GalNAcα1-4(Fucα1-2)Galβ1-4GlcNAcβ-Sp8,3015.5806000000007,2055.3644434928324,1027.6822217464162,68.15816640725278
88,GalNAcβ1-3GalNAcα–Sp8,4875.4385,4738.9150706414375,2369.4575353207188,97.19977127475687
89,GalNAcβ1-3(Fucα1-2)Galβ-Sp8,1985.246,1392.9779872820634,696.4889936410317,70.16651776566044
90,GalNAcβ1-3Galα1-4Galβ1-4GlcNAcβ-Sp0,4625.396025000002,3159.6459310724217,1579.8229655362109,68.3108195275543
91,GalNAcβ1-4(Fucα1-3)GlcNAcβ-Sp0,4926.822825,2228.0735069422417,1114.0367534711208,45.22333329374883
92,GalNAcβ1-4GlcNAcβ–Sp0,853.6706750000001,223.3249507180415,111.66247535902075,26.160550814052673
93,GalNAcβ1-4GlcNAcβ–Sp8,1917.6896250000004,1230.3321107877632,615.1660553938816,64.15699885677604
94,Galα1-2Galβ–Sp8,5958.551075,5078.246496904075,2539.1232484520374,85.22619732522935
95,Galα1-3(Fucα1-2)Galβ1-3GlcNAcβ-Sp0,1422.1927750000004,273.7841027496446,136.8920513748223,19.250843314799184
96,Galα1-3(Fucα1-2)Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,2429.48515,268.4106360609132,134.2053180304566,11.04804596401477
97,Galα1-3(Fucα1-2)Galβ1-4GlcNAc-Sp0,1940.8440999999998,534.1070100631207,267.05350503156035,27.519315439252473
