Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,17.437549999999998,12.0581775047752,6.0290887523876,69.15064045565576
2,Glca-Sp8,16.239150000000002,18.838088643755764,9.419044321877882,116.00415442776107
3,Mana-Sp8,18.061025000000004,6.8669935796169135,3.4334967898084567,38.02106236837008
4,GalNAca-Sp8,21.197200000000006,18.64950367293098,9.32475183646549,87.9809770768355
5,Fuca-Sp8,32.811825000000006,28.984888496637335,14.492444248318668,88.33671548789904
6,Fuca-Sp9,57.60970000000002,60.820446522037315,30.410223261018658,105.57327415702095
7,Rha-Sp8,42.947599999999994,35.1267734207589,17.56338671037945,81.7898402256678
8,Neu5Aca-Sp8,56.008225,22.150030149923023,11.075015074961511,39.54781668214449
9,Neu5Aca-Sp11,151.73470000000003,29.09582068762894,14.54791034381447,19.175456034531937
10,Neu5Acb-Sp8,39.064475,26.9230100676447,13.46150503382235,68.9194212072342
11,Galb-Sp8,50.762525,37.06217870843314,18.53108935421657,73.01090461601967
12,Glcb-Sp8,47.5903,22.70129223517173,11.350646117585866,47.70151109610936
13,Manb-Sp8,62.85019999999999,80.7151389681432,40.3575694840716,128.42463344292176
14,GalNAcb-Sp8,18.140200000000004,11.707263238121309,5.853631619060654,64.5376745467046
15,GlcNAcb-Sp0,20.888174999999997,24.13361946460788,12.06680973230394,115.53723321739635
16,GlcNAcb-Sp8,18.2693,15.001475709409382,7.500737854704691,82.11302956002355
17,GlcN(Gc)b-Sp8,7.9320749999999975,7.211949044641127,3.6059745223205635,90.92134207809595
18,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,7.878775000000001,3.1921883469651307,1.5960941734825653,40.51630294005261
19,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,13.749399999999996,28.308152020222018,14.154076010111009,205.8864533741256
20,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,81.19925000000003,42.2461872063818,21.1230936031909,52.02780469817367
21,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,43.17054999999999,51.49768665305916,25.74884332652958,119.28892880229502
22,[3OSO3]Galb1-4(Fuca1-3)[6OSO3]Glc-Sp0,115.74455,47.054083185521684,23.527041592760842,40.65338988792274
23,[3OSO3]Galb1-4Glcb-Sp8,12.75592499999999,9.135114074957347,4.567557037478673,71.61467376891409
24,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,35.75925,17.47698384475995,8.738491922379975,48.87402237116257
25,[3OSO3]Galb1-4[6OSO3]Glcb-Sp8,99.66762499999999,51.82269112588781,25.911345562943904,51.995511206259614
26,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb-Sp8,40.41997500000001,43.80878435210415,21.904392176052074,108.3839966553768
27,[3OSO3]Galb1-3GalNAca-Sp8,18.853924999999997,11.178608968434608,5.589304484217304,59.2906196902481
28,[3OSO3]Galb1-3GlcNAcb-Sp8,79.3973,14.306746803984957,7.153373401992479,18.01918554407386
29,[3OSO3]Galb1-4(Fuca1-3)GlcNAc-Sp0 ,37.678850000000004,24.36979352839632,12.18489676419816,64.6776468188289
30,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb-Sp8,68.0737,43.05108620666071,21.525543103330357,63.24187785688263
31,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,148.97355,147.21724694103162,73.60862347051581,98.82106383383604
32,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,193.03167499999995,105.51427275569178,52.75713637784589,54.66163662294896
33,[3OSO3]Galb1-4GlcNAcb-Sp0,62.842050000000015,30.358367876913256,15.179183938456628,48.309003090945076
34,[3OSO3]Galb1-4GlcNAcb-Sp8,66.822475,30.186022451058925,15.093011225529462,45.173457659356266
35,[3OSO3]Galb-Sp8,47.98450000000001,12.260871125658216,6.130435562829108,25.551732592104145
36,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,299.08515,384.56517694042026,192.28258847021013,128.58049854378268
37,[4OSO3]Galb1-4GlcNAcb-Sp8,20.306574999999995,4.420632703113215,2.2103163515566076,21.769464831529767
38,6-H2PO3Mana-Sp8,5.276049999999999,13.438601818765717,6.719300909382858,254.70952357854304
39,[6OSO3]Galb1-4Glcb-Sp0,17.522125,5.699937598123333,2.8499687990616667,32.52994484472251
40,[6OSO3]Galb1-4Glcb-Sp8,23.196550000000002,30.29559710238437,15.147798551192185,130.60389196835033
41,[6OSO3]Galb1-4GlcNAcb-Sp8,12.952950000000001,7.780640580526336,3.890320290263168,60.06848309092783
42,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,45.64340000000001,46.76239183924048,23.38119591962024,102.4515961546258
43,Neu5Aca2-3[6OSO3]Galb1-4GlcNAcb-Sp8,80.02407499999998,45.482262110510405,22.741131055255202,56.83572363755584
44,[6OSO3]GlcNAcb-Sp8,21.682074999999998,16.98014003012053,8.490070015060265,78.31418362919847
45,Neu5Ac(9Ac)a-Sp8,0.23985000000000056,4.474358221763956,2.237179110881978,1865.48185189241
46,Neu5Ac(9Ac)a2-6Galb1-4GlcNAcb-Sp8,17.767275000000005,11.181037545289188,5.590518772644594,62.930514360188525
47,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,7.8960500000000025,4.384753960790362,2.192376980395181,55.530980183640686
48,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,41.753724999999996,32.69266207671839,16.346331038359196,78.29879148918664
49,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,24.501725000000008,39.30815433616582,19.65407716808291,160.43015067782292
50,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,13.825475,10.733823194114008,5.366911597057004,77.63800660819253
51,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-N(LT)AVL,47.945375000000006,16.208623737047105,8.104311868523553,33.806438550219085
52,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp8,74.3098,44.058117254901724,22.029058627450862,59.289780425868095
53,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,32.55495,10.592798164948343,5.296399082474172,32.53821051775027
54,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,45.4319,68.33767671292316,34.16883835646158,150.41782692980738
55,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,8.158874999999995,4.490869082464614,2.245434541232307,55.0427489386051
56,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,33.151799999999994,15.616712306799197,7.808356153399599,47.10667989912825
57,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,37.71695000000001,11.212244578287262,5.606122289143631,29.72733632567654
58,Fuca1-2Galb1-3GalNAca-Sp8,29.580875,4.401942186031874,2.200971093015937,14.881041166063799
59,Fuca1-2Galb1-3GalNAca-Sp14,54.182950000000005,36.67054307474416,18.33527153737208,67.67911875367464
60,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,-3.2178000000000013,2.89013470043641,1.445067350218205,-89.81710176009723
61,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,9.391449999999999,9.111101620367684,4.555550810183842,97.01485521796619
62,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,1.3713750000000005,2.6801890957853445,1.3400945478926722,195.43808920137408
63,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,22.7495,17.55434446986462,8.77717223493231,77.16364961807784
64,Fuca1-2Galb1-3GlcNAcb-Sp0,12.562250000000006,24.120469135915805,12.060234567957902,192.00755546112993
65,Fuca1-2Galb1-3GlcNAcb-Sp8,15.686324999999997,17.01378871687609,8.506894358438045,108.46255395623953
66,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,27.85034999999999,10.08330298976242,5.04165149488121,36.205300794289556
67,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,28.222700000000003,24.783639123018222,12.391819561509111,87.8145575122799
68,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,11.346424999999996,8.615078721008107,4.3075393605040535,75.9276928284293
69,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,45.20875,25.492608121113573,12.746304060556787,56.38865954292824
70,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,32.97334999999998,44.49570605788829,22.247853028944146,134.9444507697529
71,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,52.116400000000006,30.794695153224037,15.397347576612018,59.08830071383295
72,Fuca1-2Galb1-4GlcNAcb-Sp0,60.593525,57.86227085176056,28.93113542588028,95.4924983350293
73,Fuca1-2Galb1-4GlcNAcb-Sp8,15.918925000000007,11.549269934321956,5.774634967160978,72.55056440257084
74,Fuca1-2Galb1-4Glcb-Sp0,7.028725,11.050786856260508,5.525393428130254,157.22320700070793
75,Fuca1-2Galb-Sp8,37.653775000000024,27.234997127515932,13.617498563757966,72.33005755071281
76,Fuca1-3GlcNAcb-Sp8,49.1217,15.627008916829425,7.813504458414712,31.812842220097078
77,Fuca1-4GlcNAcb-Sp8,41.199225000000006,38.004593207521225,19.002296603760612,92.2458934786303
78,Fucb1-3GlcNAcb-Sp8,75.06245000000001,30.163536747592023,15.081768373796011,40.18458862932401
79,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,25.00545,22.789376531547937,11.394688265773969,91.13763812108135
80,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,36.29545,25.46437912463867,12.732189562319334,70.1585987352097
81,[3OSO3]Galb1-4(Fuca1-3)Glc-Sp0,19.685325000000002,5.061257342054445,2.5306286710272223,25.710814233722044
82,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,25.323724999999968,6.546989357651686,3.273494678825843,25.853184543947204
83,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,5.289350000000001,2.8952953027282065,1.4476476513641032,54.73820606933188
84,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,12.501424999999998,15.671461312499437,7.835730656249718,125.35739975642329
85,GlcNAcb1-3Galb1-3GalNAca-Sp8,7.633450000000003,5.584816743934695,2.7924083719673476,73.16241992722416
86,GalNAca1-3(Fuca1-2)Galb-Sp8,26.01537499999999,14.804874074298496,7.402437037149248,56.9081709346819
87,GalNAca1-3(Fuca1-2)Galb-Sp18,12.334774999999999,4.6638101622135775,2.3319050811067887,37.81025727841471
88,GalNAca1-3GalNAcb-Sp8,62.833925,20.707732281666292,10.353866140833146,32.95629276965634
89,GalNAca1-3Galb-Sp8,19.867224999999998,29.542582012339988,14.771291006169994,148.70009280279453
90,GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,78.97832500000004,43.955791380763024,21.977895690381512,55.655512295003724
91,GalNAcb1-3GalNAca-Sp8,52.58975000000001,16.631993574333276,8.315996787166638,31.625922493134638
92,GalNAcb1-3(Fuca1-2)Galb-Sp8,22.183424999999993,6.9675141054157015,3.4837570527078507,31.408649049530016
93,GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,25.873275000000007,18.268500849344488,9.134250424672244,70.6076090071492
94,GalNAcb1-4(Fuca1-3)GlcNAcb-Sp0,44.2166,19.890995056892788,9.945497528446394,44.98535630711721
95,GalNAcb1-4GlcNAcb-Sp0,4.7664500000000025,17.95567377785268,8.97783688892634,376.7095800407572
96,GalNAcb1-4GlcNAcb-Sp8,13.710799999999995,21.299593924298172,10.649796962149086,155.34902357483284
97,Gala1-2Galb-Sp8,1.335775,16.668191395864355,8.334095697932177,1247.829267344003
98,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,37.820750000000004,17.289676139727614,8.644838069863807,45.71478920890679
99,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,38.190825000000004,37.305571582930696,18.652785791465348,97.68202593929483
