Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,12.9074,6.702495229887659,51.927539472609965,
2,Glca-Sp8,9.536825,2.725539030938028,28.57910290833719,
3,Mana-Sp8,16.645199999999996,4.265545320354736,25.626278568925198,
4,GalNAca-Sp8,8.004349999999999,6.828175610170944,85.3058100928988,
5,GalNAca-Sp15,8.05,12.559091544375327,156.01355955745746,
6,Fuca-Sp8,16.209199999999996,0.6264832905461399,3.864985875590036,
7,Fuca-Sp9,12.005825,4.070794420728379,33.906827900026684,
8,Rhaa-Sp8,6.353874999999999,4.657817598672152,73.3067238287211,
9,Neu5Aca-Sp8,4.8972999999999995,6.40301091102199,130.74573563028588,
10,Neu5Aca-Sp11,12.544500000000003,6.281275999879854,50.071951850451214,
11,Neu5Acb-Sp8,1.6137249999999996,4.012906439124474,248.67350007742797,
12,Galb-Sp8,4.260250000000001,1.5200581863862905,35.68002315324899,
13,Glcb-Sp8,6.858949999999998,4.016554852523904,58.55932544374729,
14,Manb-Sp8,10.352775,2.867578510840329,27.698646119908233,
15,GalNAcb-Sp8,3.6548999999999996,5.756817424584526,157.50957412198764,
16,GlcNAcb-Sp0,0.81125,5.670840895023124,699.025071805624,
17,GlcNAcb-Sp8,9.29075,15.474941881097108,166.5628919204274,
18,GlcN(Gc)b-Sp8,2.6738500000000003,2.9392520981818935,109.92584094776794,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,6.901074999999999,4.751134513899462,68.84629588722719,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,11.351049999999999,3.7935366669287967,33.4201388147246,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,7.807574999999998,6.249089750982403,80.0388052754204,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,7.642475000000001,10.11642466136958,132.37105337432675,
23,6S(3S)Galb1-4GlcNAcb-Sp0,4.2357499999999995,3.258610408850173,76.93113164965291,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,13.261624999999997,4.675317559535416,35.254484722162005,
25,(3S)Galb1-4Glcb-Sp8,1.7670499999999993,1.6615319547534053,94.02857614404833,
26,(3S)Galb1-4(6S)Glcb-Sp0,5.7551,1.704535678711359,29.617829033576466,
27,(3S)Galb1-4(6S)Glcb-Sp8,9.949724999999999,6.621868257209104,66.55327918318451,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,9.130875000000003,3.522720132109083,38.58031275325838,
29,(3S)Galb1-3GalNAca-Sp8,3.1168249999999986,4.482386698605259,143.8125880858008,
30,(3S)Galb1-3GlcNAcb-Sp0,-0.7344750000000007,7.5190401995534,-1023.7299022503685,
31,(3S)Galb1-3GlcNAcb-Sp8,10.561074999999999,6.7345054410723675,63.76723431158635,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,3.0632249999999988,4.159210080752516,135.77879786018062,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,9.582124999999998,3.339492572607409,34.8512733094946,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,4.40285,9.673402344056617,219.7077425771175,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,7.343800000000002,4.302540287628527,58.587383747222496,
36,(3S)Galb1-4GlcNAcb-Sp0,3.2886250000000006,6.146962717404968,186.9158909089655,
37,(3S)Galb1-4GlcNAcb-Sp8,8.583275,7.119994563375737,82.95195672253,
38,(3S)Galb-Sp8,6.110625,4.862017517708056,79.56661581602629,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,9.084600000000002,5.311350719606704,58.465432926124464,
40,(4S)Galb1-4GlcNAcb-Sp8,3.0932499999999994,4.872631516610574,157.52465906766588,
41,(6P)Mana-Sp8,4.421974999999999,5.093527063751275,115.18669969303934,
42,(6S)Galb1-4Glcb-Sp0,7.2296499999999995,3.494519194872644,48.33593873662825,
43,(6S)Galb1-4Glcb-Sp8,12.275549999999999,5.397249352833966,43.96747480018383,
