Chart Number,Structure,RFU,StDev,SEM,CV
1,Alpha1-acid glycoprotein (AGP),432.91139999999996,192.57604640898623,78.61884173075818,
2,AGP-A (AGP ConA flowthrough),175.12448333333336,50.422048703455744,20.58471518487145,
3,AGP-B (AGP ConA bound),103.98973333333333,23.293315405984313,9.50945619372866,
4,Ceruloplasmin,223.3515166666667,116.19199319576919,47.43518258776158,
5,Fibrinogen,63.98923333333334,52.5093325915943,21.43684526391678,
6,Transferrin,2450.8337333333334,5326.353947061982,2174.4748932935036,
7,α-D-Gal–Sp8,75.2975,38.99359712291236,15.91906936446558,
8,α-D-Glc–Sp8,41.49548333333334,57.48345219488532,23.467521088523128,
9,α-D-Man–Sp8,83.6996594017094,173.51193777681112,11.34283021237509,
10,α-GalNAc–Sp8,90.54010000000001,44.50393154915641,18.168653973863886,
11,α-L-Fuc–Sp8,55.90533333333334,34.60662364211027,14.128094940617824,
12,α-L-Fuc–Sp9,48.97343333333333,27.839782040286636,11.365543424833577,
13,α-L-Rhα–Sp8,330.67310000000003,696.7265679483164,284.43743028565467,
14,α-Neu5Ac–Sp8,39.24375,39.68583748405721,16.20167530849305,
15,Neu5Acα1-2–Sp82,102.18218333333334,95.47602929603673,38.9779257403847,
16,b-Neu5Ac-Sp8,73.33380000000001,81.48794352010607,33.26731363549913,
17,β-D-Gal–Sp8,49.86688333333333,41.12584999123626,16.78955795279548,
18,β-D-Glc–Sp8,79.06628333333335,76.7226637326785,31.321896308699824,
19,β-D-Man–Sp8,67.11644999999999,36.81816635883703,15.030953474009332,
20,β-GalNAc–Sp8,49.199216666666665,37.00772471035833,15.10834034696105,
21,β-GlcNAc–Sp0,20.25685,37.542678920969394,15.326734488919461,
22,β-GlcNAc–Sp8,78.99241666666666,40.34805950686685,16.47202631721261,
23,b-GlcN(Gc)-Sp8,52.18506666666667,45.936115261509286,18.753340526062136,
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",39.41633333333333,73.55732387828331,30.029651724405856,
25,(GlcNAcb1-3(GlcNAcb1-6)GlcNAcb1-4)GlcNAc-Sp8,80.43200000000002,30.68838561840616,12.528480965810115,
26,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,121.33511666666668,146.87307069607303,59.960680026849914,
27,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,59.169716666666666,42.025079457220144,17.156666845018133,
28,[3OSO3]Galb1-4Glcb-Sp8,55.604616666666665,33.92193175079606,13.848570646494329,
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,63.65880000000001,37.51005835148754,15.313417197194536,
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,116.00925000000002,54.55651973877176,22.27260591701157,
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,90.098,53.49652875363036,21.839866409420488,
32,[3OSO3]Galβ1-3GalNAcα–Sp8,62.34813333333333,75.38714078670623,30.77667134913138,
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,86.05703333333332,65.85238403473838,26.88412320515173,
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,36.60445000000001,33.36374771315416,13.620692967362807,
35,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,40.48763333333334,51.663088064368225,21.091367382362336,
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,93.07028333333335,46.60670722741163,19.02710854974057,
37,[3OSO3]Galb1-4GlcNAcb-Sp8,80.14445,48.953210900358705,19.98506466278839,
38,[3OSO3]Galβ–Sp8,70.91846666666667,42.44305659505056,17.327305296990378,
39,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,146.39501666666663,164.291793862608,67.0718439816511,
40,[4OSO3]Galb1-4GlcNAcb-Sp8,88.86008333333335,29.455128919454157,12.025006026759854,
41,6-H2PO3Manα–Sp8,26.998450000000002,31.83898009049598,12.998209192057956,
42,[6OSO3]Galβ1-4Glcβ–Sp0,31.168783333333334,20.42793659725981,8.3396701935355,
43,[6OSO3]Galβ1-4Glcβ–Sp8,70.14223333333334,43.34171328647112,17.694180354976734,
44,[6OSO3]Galβ1-4GlcNAcβ–Sp8,99.23964999999998,45.92339857361387,18.74814895996847,
45,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,43.763799999999996,35.10798183313875,14.332773565015255,
46,NeuAcα2-3[6OSO3]Galβ1-4GlcNAcβ–Sp8,76.22078333333334,67.11364373778008,27.399030322749464,
47,[6OSO3]GlcNAcβ–Sp8,79.98418333333332,48.691659878439836,19.878286905220932,
48,9NAcNeu5Aca-Sp8,90.15740000000001,75.02746245302447,30.629833284288914,
49,9NAcNeu5Aca2-6Galb1-4GlcNAcb-Sp8,65.07526666666666,48.364341194589485,19.744659612102147,
50,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,51.494383333333325,27.811312941924673,11.353920964096258,
51,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,47.187749999999994,38.770904560288514,15.828155506475378,
52,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,39.14796666666667,36.458811673704716,14.884247538133884,
53,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,700.9549166666667,255.6098053687097,104.3522660675765,
54,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp8,1008.7532666666666,244.19378419556674,99.69169493974162,
55,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,46.9667,45.79006909149625,18.69371742682552,
56,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,28.781016666666662,29.349154352888377,11.981742091126725,
57,Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,65.83996666666667,37.16568682942194,15.172828112026815,
58,Fucα1-2Galβ1-3GalNAcα–Sp8,104.91478333333332,146.30104758388322,59.727152569192604,
59,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,54.304100000000005,33.160123660263984,13.53756379587307,
60,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp9,135.71054999999998,224.5779794461402,91.6835761847153,
61,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp10,76.43560000000001,71.85382192938663,29.334199965966924,
62,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp8,62.52145000000001,44.04934690247972,17.983070568987007,
63,Fucα1-2Galβ1-3GlcNAcβ–Sp0,60.68235000000001,35.26758789385799,14.397932466451557,
64,Fucα1-2Galβ1-3GlcNAcβ–Sp8,55.62491666666668,42.93010622579062,17.526142476111062,
65,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,39.119200000000006,13.530622244080261,5.523853400058085,
66,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,49.11315,53.01360019243176,21.642711649894988,
67,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp0,34.766133333333336,28.19137430503639,11.509080365857981,
68,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,52.64775000000001,37.92327804421712,15.48211343033739,
69,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAc–Sp0,36.36508333333334,27.97653380377324,11.421372098494901,
70,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,18.32005,34.16736369196488,13.948767816901727,
71,Fucα1-2Galβ1-4GlcNAcβ–Sp0,57.28086666666667,29.6148342842344,12.090205468909296,
72,Fucα1-2Galβ1-4GlcNAcβ–Sp8,54.3768,36.14462592236916,14.755981742263039,
73,Fucα1-2Galβ1-4Glcβ–Sp0,40.8559,23.41313424358216,9.558372029343348,
74,Fucα1-2Galβ–Sp8,89.22710000000001,76.33828557650479,31.164974583550254,
75,Fuca1-2GlcNAcb-Sp8,42.37630000000001,24.44174005106838,9.978298591810798,
76,Fucα1-3GlcNAcβ–Sp8,77.71463333333334,45.77233152600671,18.686476096037424,
77,Fucα1-4GlcNAcβ–Sp8,33.09154999999999,26.45247797615566,10.799178912298537,
78,Fucb1-3GlcNAcb-Sp8,84.80918333333334,40.73173486849861,16.62866112769188,
79,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,199.02618333333336,395.64363461678704,161.52083746521257,
80,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,65.66058333333335,55.496307122525415,22.656272509828508,
81,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,31.371633333333335,22.6913042835062,9.26368618213674,
82,GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ–Sp8,61.18256666666667,49.79036199107882,20.32683016443483,
83,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,43.778316666666676,35.52611354479498,14.503475121487641,
84,GalNAcα1-3(Fucα1-2)Galβ–Sp8,43.76626666666667,32.43264817394144,13.240573172227522,
85,GalNAcα1-3GalNAcb–Sp8,43.27,21.139478978915275,8.63015615443893,
86,GalNAcα1-3Galb–Sp8,52.80471666666667,71.70363697379419,29.27288721459292,
87,GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,94.50181666666668,23.11117136740723,9.435096201361382,
88,GalNAcb1-3GalNAca–Sp8,64.51181666666666,76.77161366131149,31.34188003338257,
89,GalNAcb1-3(Fuca1-2)Galb-Sp8,25.063800000000004,24.25453283969823,9.901871567806428,
90,GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,69.25665000000002,48.608230774910936,19.844227116330327,
91,GalNAcb1-4(Fuca1-3)GlcNAcb-Sp0,51.8006,54.469548989504226,22.23710025730274,
92,GalNAcβ1-4GlcNAcβ–Sp0,22.01685,24.18663286476644,9.874151519117985,
93,GalNAcβ1-4GlcNAcβ–Sp8,75.06133333333334,43.999979957616645,17.962916598141234,
94,Galα1-2Galβ–Sp8,77.5444,57.991195699554275,23.67480650629836,
95,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,66.79386666666666,34.17685810958443,13.952643896663858,
96,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,102.32373333333334,91.37085639466594,37.3019959213415,
97,Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,38.851216666666666,39.55475558005215,16.14816134527224,
98,Gala1-3(Fuca1-2)Galb1-4Glcb-Sp0,73.31438333333334,81.59774504213745,33.31213991915877,
99,Galα1-3(Fucα1-2)Galβ–Sp8,54.03811666666666,42.29735191405802,17.267821610062594,
100,Gala1-3(Gala1-4)Galb1-4GlcNAcb-Sp8,39.55088333333334,39.19919434123188,16.00300407736865,
101,Gala1-3GalNAca-Sp8,78.29723333333334,66.9612356436966,27.33680997888703,
102,Galα1-3GalNAcβ–Sp8,46.637983333333345,53.06934248164062,21.665468344171046,
103,Galα1-3Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,53.10835000000001,32.52531447366804,13.278404030674519,
104,Gala1-3Galb1-3GlcNAcb-Sp0,48.2772,40.509538426893975,16.537949810259633,
105,Galα1-3Galβ1-4GlcNAcβ–Sp8,44.96455,18.24233940543264,7.44740387632944,
106,Galα1-3Galβ1-4Glcβ–Sp0,62.16166666666667,37.43866826176735,15.284272315110206,
107,Galα1-3Galβ–Sp8,50.20008333333334,13.880439507222631,5.6666656997107046,
108,Gala1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,20.77063333333334,29.359337951504745,11.985899527852627,
109,Galα1-4Galβ1-4GlcNAcβ–Sp0,382.31943333333334,819.2140736686564,334.44274509916613,
110,Galα1-4Galβ1-4GlcNAcβ–Sp8,57.54776666666666,55.70754874437275,22.742511540822495,
111,Galα1-4Galβ1-4Glcβ–Sp0,32.89848333333334,25.856774854371647,10.555984131206227,
112,Galα1-4GlcNAcb–Sp8,52.984433333333335,42.81055196521842,17.477334653614793,
