Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,157.34089999999998,63.634253943768435,40.44355532717078,
2,Glca-Sp8,128.43995,43.626367449246395,33.96635349768229,
3,Mana-Sp8,135.4962,49.87979698060801,36.81269067369271,
4,GalNAca-Sp8,54.45677500000001,55.90489314203633,102.6592065762916,
5,GalNAca-Sp15,160.95432499999998,110.30610504949023,68.53255111317465,
6,Fuca-Sp8,111.1063,108.19885889179545,97.3831896947297,
7,Fuca-Sp9,40.575849999999974,45.21089429510697,111.4231600696153,
8,Rhaa-Sp8,310.04292499999997,176.44429038315707,56.90963287846581,
9,Neu5Aca-Sp8,267.52855,243.97251727835388,91.19494621353643,
10,Neu5Aca-Sp11,374.28897500000005,171.90804478835716,45.9292301592258,
11,Neu5Acb-Sp8,4138.967,972.5430381084572,23.49724069093707,
12,Galb-Sp8,435.24637499999994,197.25576163298535,45.32048351533896,
13,Glcb-Sp8,999.093975,801.9360459230292,80.2663278920313,
14,Manb-Sp8,208.65097500000002,163.9873504895906,78.59409738660008,
15,GalNAcb-Sp8,209.899425,430.75310966133395,205.2188135633692,
16,GlcNAcb-Sp0,78.098225,57.18346972440989,73.21993518343074,
17,GlcNAcb-Sp8,72.63582500000001,55.0678669720903,75.81364563848527,
18,GlcN(Gc)b-Sp8,449.114275,519.7388575383305,115.7253034404953,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,235.2773,145.55219754143187,61.864105692062886,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,383.544625,99.0165042101023,25.816162646029078,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,300.871975,184.03578656209552,61.16747382739636,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,690.511375,159.8948964803101,23.15601194553965,
23,6S(3S)Galb1-4GlcNAcb-Sp0,547.8384249999999,206.1584754403333,37.63125513518577,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,638.8625,311.50173188320025,48.75880676721521,
25,(3S)Galb1-4Glcb-Sp8,207.55780000000001,79.78992625137587,38.442268250759966,
26,(3S)Galb1-4(6S)Glcb-Sp0,239.67835000000002,87.88367848713422,36.66734124593824,
27,(3S)Galb1-4(6S)Glcb-Sp8,102.5473,40.3511496600365,39.348817238519686,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,150.43222500000002,90.26130289621626,60.00130816134393,
29,(3S)Galb1-3GalNAca-Sp8,377.977525,139.51861634664562,36.91188155873702,
30,(3S)Galb1-3GlcNAcb-Sp0,344.49422500000003,113.25730905565955,32.87640280636331,
