Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,54.006825000000006,14.411640643446265,26.684850745153533,
2,Glca-Sp8,-27.169375,15.452656555077096,-56.87527429349073,
3,Mana-Sp8,-26.917175,20.210057325726872,-75.08238634153425,
4,GalNAca-Sp8,25.231600000000007,25.08066409168625,99.40179810906261,
5,GalNAca-Sp15,250.26165,25.883102359969723,10.342416570804884,
6,Fuca-Sp8,345.83007499999997,228.82001090024707,66.16544581909109,
7,Fuca-Sp9,-5.329375,21.409436103016976,-401.72508226606266,
8,Rhaa-Sp8,140.54667500000002,74.0219106502201,52.66713755428229,
9,Neu5Aca-Sp8,8.319675,17.776389473938934,213.66687369325047,
10,Neu5Aca-Sp11,155.41202499999997,14.285556796376802,9.192053701363717,
11,Neu5Acb-Sp8,1079.889875,431.8873046119506,39.99364329737332,
12,Galb-Sp8,106.57917499999999,5.66896922810201,5.319021495617704,
13,Glcb-Sp8,-14.610174999999995,28.356313438853444,-194.08606289009856,
14,Manb-Sp8,210.94755000000004,36.45118191686849,17.279737032673992,
15,GalNAcb-Sp8,71.574725,41.69525717171959,58.25416328420345,
16,GlcNAcb-Sp0,40.652325000000005,45.252345492241254,111.31551637511814,
17,GlcNAcb-Sp8,68.528,23.12922454860949,33.75149508027301,
18,GlcN(Gc)b-Sp8,60.34504999999999,20.615729046935723,34.16308221956188,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,10.5583,14.54477391871962,137.75677825710218,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,12.250349999999994,3.9036500094996445,31.86562024350036,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,66.34809999999999,14.447586765269852,21.775434059558382,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,114.77532500000001,40.4527453656217,35.24515863110969,
23,6S(3S)Galb1-4GlcNAcb-Sp0,94.61992499999995,17.052597239985946,18.02220540756712,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,92.395025,23.255515526483123,25.16966203156839,
25,(3S)Galb1-4Glcb-Sp8,33.71537500000001,17.939741004703276,53.209377041493,
26,(3S)Galb1-4(6S)Glcb-Sp0,7.382350000000002,12.890439093245305,174.61159513224518,
27,(3S)Galb1-4(6S)Glcb-Sp8,13.478125,14.403322353858727,106.86443666206335,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,40.35625,24.523546466270574,60.7676542450564,
29,(3S)Galb1-3GalNAca-Sp8,16.991150000000005,16.982185090755163,99.94723777234124,
30,(3S)Galb1-3GlcNAcb-Sp0,48.661,12.644747341353499,25.985383246035838,
31,(3S)Galb1-3GlcNAcb-Sp8,4.305949999999999,10.72373976076753,249.0446884141138,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,85.26094999999998,45.39130055634747,53.2380891326539,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,-23.623975000000005,7.682019530208162,-32.51789561328337,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,176.6955,32.535950566411806,18.413570558623057,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,157.647525,40.75109072563785,25.849496035943382,
36,(3S)Galb1-4GlcNAcb-Sp0,82.828075,26.09268344272979,31.502221248930134,
37,(3S)Galb1-4GlcNAcb-Sp8,48.320899999999995,9.893586164109943,20.47475556976369,
38,(3S)Galb-Sp8,-131.546175,30.018628559432496,-22.819841443076925,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,-29.743675,52.06373721509531,-175.04137338474587,
40,(4S)Galb1-4GlcNAcb-Sp8,41.773225,24.060302468779717,57.59742626713575,
41,(6P)Mana-Sp8,103.04609999999998,21.601205493058345,20.96266185043233,
42,(6S)Galb1-4Glcb-Sp0,87.05799999999999,39.98673995405642,45.93114929593652,
43,(6S)Galb1-4Glcb-Sp8,-0.01872499999999988,11.092962849294745,-59241.457139091144,
44,(6S)Galb1-4GlcNAcb-Sp8,15.155100000000004,15.279965998653262,100.82392065148535,
45,(6S)Galb1-4(6S)Glcb-Sp8,23.012875,4.9304104726855345,21.42457416852755,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,17301.251375,1328.6981859664322,7.679780827220263,
47,(6S)GlcNAcb-Sp8,215.91694999999999,183.7673364614162,85.11019466578061,
48,"Neu5,9Ac2a-Sp8",78.81055000000002,24.466976071227087,31.045305572955755,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",32.35535,12.764574469079086,39.45120194675405,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,42.610299999999995,21.81940432321655,51.20687796898062,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,31.6512,15.993751628057783,50.53126462206103,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,77.82547500000001,8.959193521508084,11.511903424306864,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,42.487674999999996,9.239705243630127,21.746789495142128,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,70.56427500000001,18.324477952250078,25.96849177894916,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,7760.945175,1913.1009748082013,24.65036064126302,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,673.5045999999999,65.30385006388758,9.696125321770273,
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,9086.1544,3884.992394988977,42.75727908595717,
58,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,88.006875,31.603925395576486,35.91074605884653,
59,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,96.79139999999998,32.525807389210186,33.604026172996974,
60,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,64.3563,59.3575995748368,92.23277219920473,
61,Fuca1-2Galb1-3GalNAca-Sp8,-0.26917499999999706,16.801910704515134,-6242.002676517253,
62,Fuca1-2Galb1-3GalNAca-Sp14,98.395875,24.568828307752774,24.969368185152856,
63,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,88.56115,30.044466968423155,33.92510933792431,
64,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,1102.260025,672.872218276597,61.044780996806715,
65,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,2.161299999999997,15.219670588419447,704.1905607004796,
66,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,77.54765000000002,27.5646006530719,35.54537197848277,
67,Fuca1-2Galb1-3GlcNAcb-Sp0,25.556500000000007,19.164158223795443,74.98741308002049,
68,Fuca1-2Galb1-3GlcNAcb-Sp8,48.420399999999994,6.861186882262659,14.170033461645628,
69,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,7.655799999999999,8.344106524967184,108.99065447069131,
70,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,68.8754,8.841061074327923,12.836311766360591,
71,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,33.28365,18.49179802732373,55.558203584413754,
72,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,-16.701974999999997,20.769033885310282,-124.35076621363812,
73,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,39.227825,4.426778172572738,11.284791273981511,
74,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,35.71545000000003,5.343076189174926,14.960125629594256,
75,Fuca1-2Galb1-4GlcNAcb-Sp0,44.316925,13.850057765553448,31.252298677206163,
76,Fuca1-2Galb1-4GlcNAcb-Sp8,1.9376250000000041,5.404699434365735,278.93423311351387,
77,Fuca1-2Galb1-4Glcb-Sp0,82.29547499999998,15.505169355707277,18.840852860630893,
78,Fuca1-2Galb-Sp8,7.959800000000001,17.88706811917481,224.7175572146889,
79,Fuca1-3GlcNAcb-Sp8,54.509175,13.208486037235062,24.231674827650686,
80,Fuca1-4GlcNAcb-Sp8,498.01982499999986,59.15073293044799,11.877184393301613,
81,Fucb1-3GlcNAcb-Sp8,46.366150000000005,24.693807502624356,53.25826600359175,
82,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,31.3758,17.28472172314808,55.08934185948432,
83,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,95.48174999999999,15.620939148356841,16.360130756251163,
84,(3S)Galb1-4(Fuca1-3)Glcb-Sp0,145.70690000000002,98.29055116595215,67.45771900023414,
85,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,10.086025,11.51692954028257,114.18700172052489,
86,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,73.47852499999999,34.61902359766714,47.11447813856789,
87,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,20.586324999999995,13.878285769113083,67.41507174842079,
88,GlcNAcb1-3Galb1-3GalNAca-Sp8,63.99379999999998,20.886850401787896,32.63886564290275,
89,GalNAca1-3(Fuca1-2)Galb-Sp8,-16.175024999999998,17.14249742372739,-105.98127312772247,
90,GalNAca1-3(Fuca1-2)Galb-Sp18,56.202849999999984,27.771358762881352,49.41272331008367,
91,GalNAca1-3GalNAcb-Sp8,23.190349999999995,7.463097285756558,32.18190879290981,
92,GalNAca1-3Galb-Sp8,114.32605000000001,20.70520523032796,18.110662644539854,
93,GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,17.731875,21.921105980367404,123.62542585241214,
94,GalNAcb1-3GalNAca-Sp8,31.350799999999992,42.214518354708254,134.65212484117873,
95,GalNAcb1-3(Fuca1-2)Galb-Sp8,7.565200000000001,18.250465870400856,241.24234482103387,
96,GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,23.936449999999997,13.68120210178916,57.15635401986995,
97,GalNAcb1-4(Fuca1-3)GlcNAcb-Sp0,25.46055000000001,17.578521826460086,69.04219204400565,
98,GalNAcb1-4GlcNAcb-Sp0,11.792124999999995,8.155707122571698,69.16231911187934,
99,GalNAcb1-4GlcNAcb-Sp8,7.014625000000002,12.89617437133328,183.84695363377622,
100,Gala1-2Galb-Sp8,32.92479999999999,11.883563986447854,36.09304836004427,
101,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,156.318225,169.92235145921555,108.70284092543625,
102,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp8,63.815574999999995,33.43927619684925,52.39986664203723,
103,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,143.783075,113.0771937144231,78.64430059965201,
104,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp8,51.800700000000006,20.31966798334396,39.226628179433796,
105,Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,70.76405000000001,40.16986952849937,56.765927795963286,
106,Gala1-3(Fuca1-2)Galb1-4Glcb-Sp0,19.378624999999996,6.748427787455388,34.82407955907805,
107,Gala1-3(Fuca1-2)Galb-Sp8,51.11852499999999,17.68050536652824,34.58727607365088,
108,Gala1-3(Fuca1-2)Galb-Sp18,56.076775,35.02919568021081,62.46649469448058,
109,Gala1-4(Gala1-3)Galb1-4GlcNAcb-Sp8,-15.0673,71.78372404661103,-476.4206197965862,
110,Gala1-3GalNAca-Sp8,41.390475,13.346853963731174,32.246196652082816,
111,Gala1-3GalNAca-Sp16,109.66712500000001,46.03270469404513,41.97493523610209,
112,Gala1-3GalNAcb-Sp8,39.51182500000001,11.639282283535907,29.45771875517242,
113,Gala1-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,59.805525,41.29678435143791,69.05178802700571,
