Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,443.88309999999996,36.64489173177342,8.255527577367424,
2,Glca-Sp8,114.86309999999999,20.69028870025756,18.01299869171001,
3,Mana-Sp8,107.95087500000001,14.518187043239857,13.448883154712602,
4,GalNAca-Sp8,135.233925,37.988531128519604,28.090977266628624,
5,GalNAca-Sp15,793.2884500000001,110.50188442062893,13.929597036314965,
6,Fuca-Sp8,746.0225249999999,274.98304160775007,36.85988457355897,
7,Fuca-Sp9,178.31675,115.08040161251033,64.53706766891518,
8,Rhaa-Sp8,493.70935000000003,99.11836644720984,20.076258723317643,
9,Neu5Aca-Sp8,105.78614999999999,22.350860104926717,21.128342514522664,
10,Neu5Aca-Sp11,37.09760000000001,9.764418194307927,26.320889206600768,
11,Neu5Acb-Sp8,1773.1853250000004,284.4581554703377,16.042212365497534,
12,Galb-Sp8,341.8932250000001,53.547262644406324,15.66198413098309,
13,Glcb-Sp8,147.67422499999998,32.28220758667478,21.8604211985367,
14,Manb-Sp8,273.5036,11.592723323992011,4.23859990288684,
15,GalNAcb-Sp8,187.31330000000003,119.96132749104319,64.04314455569529,
16,GlcNAcb-Sp0,28.510475000000007,43.69233359338723,153.25010752499642,
17,GlcNAcb-Sp8,0.16445000000000043,1.2047308454588552,732.5818458247809,
18,GlcN(Gc)b-Sp8,13.692350000000001,11.679074159224564,85.29634547192092,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,-6.5581000000000005,10.3547466870674,-157.89247933193153,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,9.865850000000002,15.853632060088525,160.69200383229548,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,-33.489450000000005,52.096298545834,-155.56032883739206,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,36.809200000000004,5.945506589013308,16.1522298474656,
23,6S(3S)Galb1-4GlcNAcb-Sp0,94.934,7.907021325800749,8.328966783029,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,123.99885000000002,23.51013253819169,18.959960143333333,
25,(3S)Galb1-4Glcb-Sp8,357.61349999999993,41.96184643212688,11.733854128025618,
26,(3S)Galb1-4(6S)Glcb-Sp0,228.97032500000003,160.07606464562136,69.91127109839293,
27,(3S)Galb1-4(6S)Glcb-Sp8,90.23804999999999,15.107493463509979,16.74182172986892,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,163.87654999999998,39.47594964958628,24.088833728551332,
29,(3S)Galb1-3GalNAca-Sp8,152.68880000000001,32.85342487240348,21.51659117918503,
30,(3S)Galb1-3GlcNAcb-Sp0,129.173675,22.72192840149135,17.590215964275497,
31,(3S)Galb1-3GlcNAcb-Sp8,34.45365,25.789113313760883,74.85161460037145,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,207.33030000000008,42.127999289466736,20.319267993856528,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,89.803575,27.12777083843234,30.207896332002754,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,267.36007500000005,35.11524883317515,13.13406604676302,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,406.7931,83.69666278743381,20.574749863612194,
36,(3S)Galb1-4GlcNAcb-Sp0,131.94254999999998,35.50802153753422,26.911729034745974,
37,(3S)Galb1-4GlcNAcb-Sp8,143.94705000000002,84.43647514206558,58.65801011001307,
38,(3S)Galb-Sp8,19.897874999999996,19.368073607249464,97.33739712029283,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,51.332875,8.809036163839487,17.160613279188993,
40,(4S)Galb1-4GlcNAcb-Sp8,13.115224999999999,6.868428172624353,52.3698844100986,
41,(6P)Mana-Sp8,93.31285000000003,2.423748767919688,2.5974437260459706,
42,(6S)Galb1-4Glcb-Sp0,17.9071,6.535498907250059,36.49669073859005,
43,(6S)Galb1-4Glcb-Sp8,40.07919999999999,26.59229978809654,66.34937770239063,
44,(6S)Galb1-4GlcNAcb-Sp8,12.6114,10.200508158910514,80.88323389084887,
45,(6S)Galb1-4(6S)Glcb-Sp8,73.91239999999999,21.779611813345007,29.466790164228208,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,1045.1162499999998,103.77193400261679,9.929224045900808,
47,(6S)GlcNAcb-Sp8,89.25644999999997,22.863299479077885,25.615291084373055,
48,"Neu5,9Ac2a-Sp8",59.143150000000006,20.18116829216449,34.12257935562189,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",26.1249,25.123139727749003,96.16549624208706,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,16.693199999999997,6.6252731601547294,39.68845494066285,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,19.460124999999998,9.330166208014008,47.94504767062909,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,23.164975,7.67594307229849,33.13598686076066,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,18.8154,8.19669586967825,43.563760906907376,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,20.624200000000002,59.08802617947791,286.49851232764377,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,211.09612499999997,63.980858767258134,30.30887410522488,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,70.9499,18.6565403965115,26.295372363472673,
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,281.262275,37.1005385024151,13.190726876690128,
58,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,131.62082499999997,13.169778500383782,10.005847099335371,
59,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,56.36087500000001,34.26546909415511,60.796552740096935,
60,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,37.092225,11.293732802274313,30.44770919586062,
61,Fuca1-2Galb1-3GalNAca-Sp8,5.7082,8.363311260898202,146.51398445916757,
62,Fuca1-2Galb1-3GalNAca-Sp14,34.81025000000001,6.850859606161268,19.68058145563811,
63,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,17.0488,8.82268995072743,51.749624318001445,
64,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,17.534175,4.7947638804393975,27.345249379793447,
65,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,9.166049999999998,4.129340109105409,45.05037730653236,
66,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,7.552324999999999,7.672486734375412,101.59105618965567,
67,Fuca1-2Galb1-3GlcNAcb-Sp0,26.481425,14.709902915241582,55.548003610989895,
68,Fuca1-2Galb1-3GlcNAcb-Sp8,97.21607499999999,38.02955189966308,39.118583937546425,
69,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,-1.6323749999999997,8.64292213871173,-529.4691562117608,
70,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,7.1122,6.028406133741601,84.76148215378647,
71,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,51.4378,7.097687081953748,13.79858213600455,
72,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,-20.414975000000002,16.421887020350827,-80.44039740607482,
73,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,15.407874999999999,15.623149053541251,101.39716900313154,
74,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,8.503174999999985,12.763370248063982,150.10122981197028,
75,Fuca1-2Galb1-4GlcNAcb-Sp0,109.78787499999999,15.158975718558192,13.807513551526702,
76,Fuca1-2Galb1-4GlcNAcb-Sp8,87.91845,14.84116153057659,16.88059961313762,
77,Fuca1-2Galb1-4Glcb-Sp0,188.50685000000004,49.344170937642915,26.176327776758722,
78,Fuca1-2Galb-Sp8,67.81242500000002,5.614931738008569,8.280092826659079,
79,Fuca1-3GlcNAcb-Sp8,80.75524999999999,48.9784813455528,60.650522839756924,
80,Fuca1-4GlcNAcb-Sp8,1750.4442,152.5872418880659,8.717058326570246,
81,Fucb1-3GlcNAcb-Sp8,56.409900000000015,15.533885460931229,27.53751639504985,
82,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,117.29405,19.564735481728306,16.680074975438487,
83,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,53.40265,42.03298858448367,78.70955577014188,
84,(3S)Galb1-4(Fuca1-3)Glcb-Sp0,78.8588,8.791161545931597,11.147977836248582,
85,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,-3.0072750000000004,5.992034372606685,-199.25129469724868,
86,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,24.065225000000005,7.50117595286446,31.1701883230448,
87,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,7.2822499999999994,6.136513199149278,84.26671975212714,
88,GlcNAcb1-3Galb1-3GalNAca-Sp8,57.16052500000001,13.690433880968351,23.9508539870275,
89,GalNAca1-3(Fuca1-2)Galb-Sp8,15.60390000000001,14.794999789793838,94.81603823270996,
90,GalNAca1-3(Fuca1-2)Galb-Sp18,11.537774999999996,15.50482221576565,134.3831216657081,
91,GalNAca1-3GalNAcb-Sp8,55.636849999999995,14.637187670337084,26.3084406653811,
92,GalNAca1-3Galb-Sp8,333.2135,77.43014401497693,23.2373970487321,
93,GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,36.3449,14.579450629110358,40.11415804998874,
94,GalNAcb1-3GalNAca-Sp8,93.72894999999998,23.990602927188064,25.595723548794762,
95,GalNAcb1-3(Fuca1-2)Galb-Sp8,73.79615,51.626006255665345,69.95758756475148,
96,GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,11.7702,9.184153433314732,78.02886470335875,
97,GalNAcb1-4(Fuca1-3)GlcNAcb-Sp0,36.011525000000006,17.548504165004093,48.73024445647356,
98,GalNAcb1-4GlcNAcb-Sp0,9.672624999999996,4.70152892321565,48.606546032908874,
99,GalNAcb1-4GlcNAcb-Sp8,112.9826,33.30112800281692,29.474563342334942,
100,Gala1-2Galb-Sp8,22.529399999999995,11.949784475322843,53.04084651754084,
101,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,197.01547500000004,153.06353325240192,77.69112210723644,
102,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp8,5.565625,10.827637271160928,194.5448583251823,
103,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,32.43855,12.535288956781148,38.643185212597814,
104,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp8,21.614975,17.77305527108851,82.22565730975174,
105,Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,4.615650000000002,6.3445077967745656,137.4564318519507,
106,Gala1-3(Fuca1-2)Galb1-4Glcb-Sp0,74.50285,31.992428745407935,42.94121465877874,
