Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Aca2-8Neu5Acb-Sp17,483.2829499999999,66.37360049927074,33.18680024963537,13.733900709567914
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,97.62095000000002,34.60231810091153,17.301159050455766,35.4455863223125
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8,101.858525,23.272287344017357,11.636143672008679,22.847657909848348
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,132.6379,40.8413147751962,20.4206573875981,30.79158730287211
5,Gala-Sp8,4115.873475,957.6351697488253,478.81758487441266,23.266875805720076
6,Glca-Sp8,3468.745824999999,1466.009529394893,733.0047646974465,42.263388652724174
7,Mana-Sp8,2925.3871249999997,1458.0467803227712,729.0233901613856,49.8411566750425
8,GalNAca-Sp8,3161.57345,1175.642768950557,587.8213844752785,37.18536948589814
9,Fuca-Sp8,3880.778774999999,1188.5160949339083,594.2580474669542,30.62571107094113
10,Fuca-Sp9,1883.1935000000003,3440.170896561641,1720.0854482808204,182.67750481093103
11,Rha-Sp8,4288.411599999999,2078.0825384215805,1039.0412692107902,48.45809433081425
12,Neu5Aca-Sp8,3864.4725750000002,891.1081048735471,445.55405243677353,23.058983796088835
13,Neu5Aca-Sp11,4023.2344000000003,1784.857965991259,892.4289829956296,44.36375782607295
14,Neu5Acb-Sp8,2369.0131499999998,745.7430849810262,372.8715424905131,31.479060594536012
15,Galb-Sp8,4784.6054,2405.7736237316926,1202.8868118658463,50.28154722501655
16,Glcb-Sp8,11819.453925000002,4745.464309133606,2372.732154566803,40.14960707360772
17,Manb-Sp8,584.824725,43.704176144877444,21.852088072438722,7.473038378272643
18,GalNAcb-Sp8,253.579375,108.57320153900405,54.28660076950202,42.816258829805875
19,GlcNAcb-Sp0,398.30584999999996,131.28883194109315,65.64441597054658,32.96181362666232
20,GlcNAcb-Sp8,367.8049,202.27949944505002,101.13974972252501,54.99641234933249
21,GlcN(Gc)b-Sp8,448.7649,171.02359421964763,85.51179710982382,38.10984197285653
22,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,142.717625,29.226553424283587,14.613276712141793,20.478587297317755
23,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,289.631225,196.79444497934693,98.39722248967347,67.94655686014067
24,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,560.00765,196.72626064408257,98.36313032204129,35.12920951063482
25,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,543.7962249999998,142.1412797264847,71.07063986324235,26.138702916976804
26,[3OSO3]Galb1-4Glcb-Sp8,488.58927499999993,103.605085092718,51.802542546359,21.20494460151996
27,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,783.760325,170.58631344447357,85.29315672223679,21.76511211440482
