Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,32.7229,5.252231365810181,16.05062927127541,
2,Glca-Sp8,25.362,13.144732316787607,51.828453263889315,
3,Mana-Sp8,52.15955,17.519810885109447,33.58888426972519,
4,GalNAca-Sp8,26.85635,9.907933195004237,36.8923297283668,
5,GalNAca-Sp15,25.488600000000005,8.378551115397768,32.8717588074581,
6,Fuca-Sp8,23.214549999999996,4.773266513615227,20.561529358162137,
7,Fuca-Sp9,28.15875,19.016551773038838,67.53336626462054,
8,Rhaa-Sp8,43.93115,36.73541812061854,83.62043361172775,
9,Neu5Aca-Sp8,38.305825,20.684862160748555,53.99926032332826,
10,Neu5Aca-Sp11,45.305025000000015,42.916092865914905,94.72700404848004,
11,Neu5Acb-Sp8,22.68797500000005,6.820768227200987,30.06336276023299,
12,Galb-Sp8,74.43790000000001,23.481871870161154,31.545586146520993,
13,Glcb-Sp8,49.246449999999996,38.66890403838723,78.52120109853043,
14,Manb-Sp8,25.032200000000003,4.585072549044339,18.316698288781406,
15,GalNAcb-Sp8,29.31615,11.198339521107547,38.198533985900426,
16,GlcNAcb-Sp0,19.789125000000002,8.666808855772688,43.795816418223076,
17,GlcNAcb-Sp8,34.10294999999999,26.5190033043602,77.76161095846608,
18,GlcN(Gc)b-Sp8,24.551375000000004,15.567290191375635,63.406999369182515,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,72.7408,75.78425663135232,104.18397464882476,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,14.444274999999996,4.5963264022296535,31.82109453212193,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,84.097425,55.55608758041281,66.06157986455923,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,74.20930000000001,16.761558467914995,22.586870470298187,
23,6S(3S)Galb1-4GlcNAcb-Sp0,37.848075,21.0477942038867,55.61126742611533,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,92.43285,52.01532123419665,56.273631327170634,
25,(3S)Galb1-4Glcb-Sp8,41.435175,30.195563117492924,72.87422610739046,
26,(3S)Galb1-4(6S)Glcb-Sp0,19.591625,9.893219708930296,50.4971880021708,
27,(3S)Galb1-4(6S)Glcb-Sp8,30.063549999999992,13.360008253615227,44.439223756393474,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,10.956525000000003,5.20149764611116,47.47397232344341,
29,(3S)Galb1-3GalNAca-Sp8,18.591599999999993,2.2965013375423196,12.352359869738594,
30,(3S)Galb1-3GlcNAcb-Sp0,19.285600000000006,28.321778186053212,146.85453491751983,
31,(3S)Galb1-3GlcNAcb-Sp8,35.154725,15.062260167136287,42.845620801005516,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,38.56445000000001,22.552442979789692,58.47987714018919,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,17.814125,8.648417860077066,48.54809237095319,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,64.01275000000001,20.020005183232744,31.275027526911032,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,86.109675,34.11182981609904,39.61439851689028,
36,(3S)Galb1-4GlcNAcb-Sp0,41.910499999999985,22.993476926728622,54.86328468218855,
37,(3S)Galb1-4GlcNAcb-Sp8,5.880824999999994,3.307206608176573,56.237119930903845,
38,(3S)Galb-Sp8,24.355625,14.062735794852763,57.739170293732,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,29.740100000000005,12.539750012925559,42.16445140710878,
40,(4S)Galb1-4GlcNAcb-Sp8,14.88945,11.555122502019028,77.6061070222139,
41,(6P)Mana-Sp8,60.552775000000025,26.60102756628954,43.93031957047308,
42,(6S)Galb1-4Glcb-Sp0,45.928599999999996,18.50762880850308,40.296522882263076,
43,(6S)Galb1-4Glcb-Sp8,68.50394999999999,31.943160680861546,46.629662495172255,
44,(6S)Galb1-4GlcNAcb-Sp8,1.9398750000000007,1.3960322330925337,71.96506131026655,
45,(6S)Galb1-4(6S)Glcb-Sp8,101.80815,20.026766714658063,19.67108400914668,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,262.264975,31.767121871034597,12.112605532261636,
47,(6S)GlcNAcb-Sp8,97.80739999999997,11.964515175300727,12.232730013578452,
48,"Neu5,9Ac2a-Sp8",11.629224999999998,2.1322312325746235,18.335110315387514,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",3.5420749999999996,6.992274197224152,197.4061587409683,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,7.396974999999999,3.123443857213807,42.225962061705054,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,14.301625000000001,4.115136013446781,28.773905157258568,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,17.0081,14.636920267369543,86.05852662772176,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,2.5343999999999998,2.2236493803355506,87.73869082763379,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,19.992999999999995,13.913820184741969,69.59345863423184,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,22.927975000000007,6.370403271575508,27.784413021976455,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,38.265625,8.984556694081602,23.479445831817987,
