Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,191.990675,70.00015024099953,35.000075120499766,36.460182371357114
2,Neu5Acα2-8Neu5Acβ-Sp17,174.14597499999996,18.25768899931877,9.128844499659385,10.484129190650988
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,145.59955,62.68301640553572,31.34150820276786,43.05165531454988
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,128.59152500000002,41.32957535755511,20.664787678777554,32.14020158603384
5,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,91.45012499999997,44.564648342483004,22.282324171241502,48.73109614938527
6,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,213.05765000000002,129.0441453587236,64.5220726793618,60.567712710021716
7,α-D-Gal–Sp8,663.78175,261.9715735984279,130.98578679921394,39.466522482491854
8,α-D-Glc–Sp8,1105.509825,233.17766524834516,116.58883262417258,21.092319577380973
9,α-D-Man–Sp8,533.1866500000001,465.73848307637553,232.86924153818777,87.34998955363483
10,α-GalNAc–Sp8,1042.8004749999998,784.8665233729506,392.4332616864753,75.26526331635502
11,α-L-Fuc–Sp8,338.08857500000005,98.01680248244395,49.008401241221975,28.991456597562916
12,α-L-Fuc–Sp9,206.32085,23.15520206584312,11.57760103292156,11.222909398562054
13,α-L-Rhα–Sp8,291.76502500000004,171.13391418684125,85.56695709342063,58.65470482174525
14,α-Neu5Ac–Sp8,128.132275,61.259208490717334,30.629604245358667,47.809350525242245
15,α-Neu5Ac–Sp11,245.70527499999997,70.04561670565714,35.02280835282857,28.507982462182447
16,β-Neu5Ac-Sp8,448.3970500000001,53.203610268883104,26.601805134441552,11.865289985490113
17,β-D-Gal–Sp8,1927.229825,142.39296342449515,71.19648171224758,7.3884786120147945
18,β-D-Glc–Sp8,1349.728525,227.11782266031614,113.55891133015807,16.826926189495488
19,β-D-Man–Sp8,583.0085000000001,218.06299152533865,109.03149576266932,37.40305527712522
20,β-GalNAc–Sp8,1198.7190000000003,84.80852114148917,42.40426057074458,7.074929248763818
21,β-GlcNAc–Sp0,378.40215,154.11010013806205,77.05505006903103,40.72653924880238
22,β-GlcNAc–Sp8,1082.9658499999998,834.9749775406544,417.4874887703272,77.10076707780348
23,β-GlcN(Gc)-Sp8,360.547575,219.49660889464604,109.74830444732302,60.878681237738476
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",152.82585000000003,51.60389935566863,25.801949677834315,33.766472985865036
25,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,219.535875,125.89494672986643,62.94747336493322,57.34595620413585
26,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,122.60905000000004,96.7361335934848,48.3680667967424,78.89803696667151
27,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,152.22722499999998,72.3252381753597,36.16261908767985,47.51136872879323
28,[3OSO3]Galβ1-4Glcβ-Sp8,760.0757,330.47675742344313,165.23837871172157,43.47945308913877
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,917.1608250000002,234.3233878536149,117.16169392680744,25.548778520235516
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,377.8879750000001,110.33413454987108,55.16706727493554,29.19757754923825
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,448.167425,564.1746072553684,282.0873036276842,125.88478675248842
32,[3OSO3]Galβ1-3GalNAcα–Sp8,217.81275,61.8332270942565,30.91661354712825,28.38824958330332
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,1037.174424999999,1377.1614678552617,688.5807339276308,132.78012209520716
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,101.05625,24.239356324306016,12.119678162153008,23.98600415541445
35,[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp8,1368.8614500000003,1075.709108621571,537.8545543107855,78.58422111467678
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,78.03444999999999,41.25036885891638,20.62518442945819,52.86174101171519
37,[3OSO3]Galβ1-4GlcNAcβ-Sp8,133.87112500000006,34.18862009298545,17.094310046492726,25.538457298379647
38,[3OSO3]Galβ–Sp8,2659.8032249999997,772.6115951453253,386.30579757266264,29.047697509477434
39,[4OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,428.78535,266.335759921801,133.1678799609005,62.11400644210466
40,[4OSO3]Galβ1-4GlcNAcβ-Sp8,509.10845,102.07339512208867,51.036697561044335,20.049440374067384
41,6-H2PO3Manα–Sp8,383.84192500000006,149.7257110831087,74.86285554155435,39.00712802102289
42,[6OSO3]Galβ1-4Glcβ–Sp0,753.1801000000002,435.96209916399056,217.98104958199528,57.88284889151883
43,[6OSO3]Galβ1-4Glcβ–Sp8,590.6917500000001,339.59547761961835,169.79773880980918,57.491149591918
44,[6OSO3]Galβ1-4GlcNAcβ–Sp8,588.1267250000001,575.8485183418023,287.92425917090117,97.91231955014496
45,[6OSO3]Galβ1-4[6OSO3]Glcβ-Sp8,387.948025,114.9202181590743,57.46010907953715,29.62258105556132
46,NeuAcα2-3[6OSO3]Galβ1-4GlcNAcβ–Sp8,243.84110000000007,143.28505723796417,71.64252861898208,58.761651435284755
47,[6OSO3]GlcNAcβ–Sp8,934.7454250000003,226.08759580425323,113.04379790212661,24.18707701128927
48,9NAcNeu5Acα-Sp8,193.604,67.92085570927394,33.96042785463697,35.08236178450545
49,9NAcNeu5Acα2-6Galβ1-4GlcNAcβ-Sp8,270.3201250000001,74.49376500998196,37.24688250499098,27.557609708112533
50,Manα1-3(Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,38862.738600000004,1399.6781766325032,699.8390883162516,3.601594295859796
51,GlcNAcβ1-2Manα1-3(GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,849.2483500000001,98.19896957736448,49.09948478868224,11.563045083027182
52,Galβ1-4GlcNAcβ1-2Manα1-3(Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,85.79547499999998,38.937815881254835,19.468907940627417,45.384463319603796
53,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,1068.5603250000004,284.283536220152,142.141768110076,26.604350692147577
54,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp8,153.09295000000003,39.01097261117696,19.50548630558848,25.48188705696569
55,Fucα1-2Galβ1-3GalNAcβ1-3Galα-Sp9,428.83417499999996,126.38982640197972,63.19491320098986,29.472890401512363
56,Fucα1-2Galβ1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ-Sp9,610.2498249999999,400.3767124470203,200.18835622351014,65.60865665910192
57,Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,159.09472500000004,43.21880852278487,21.609404261392434,27.16545663144071
58,Fucα1-2Galβ1-3GalNAcα–Sp8,290.1014,99.47060921079486,49.73530460539743,34.28822101885577
59,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp0,237.379275,65.0173129986345,32.50865649931725,27.389633319351276
60,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp9,159.420625,51.58399529669227,25.791997648346136,32.357165389793366
61,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp10,2397.5031,193.82007803694145,96.91003901847073,8.084247233588206
62,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp8,2544.8114000000005,188.47993834022657,94.23996917011328,7.406440349183698
63,Fucα1-2Galβ1-3GlcNAcβ–Sp0,179.64665000000014,67.71334254608723,33.85667127304362,37.692516139926454
64,Fucα1-2Galβ1-3GlcNAcβ–Sp8,171.30560000000003,79.77359353850532,39.88679676925266,46.56800101018607
65,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,580.675675,406.3700150874026,203.1850075437013,69.98226937737707
66,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,311.93537499999996,127.77785523400577,63.888927617002885,40.96292548865475
67,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp0,162.79952499999996,56.645934110836,28.322967055418,34.79490134313108
68,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,327.3895500000003,158.22255626453148,79.11127813226574,48.32852980937581
69,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAc–Sp0,242.950375,95.16992132406739,47.584960662033694,39.1725764259748
70,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0,366.078925,107.74092015068258,53.87046007534129,29.431063301631628
71,Fucα1-2Galβ1-4GlcNAcβ–Sp0,353.24625,207.8873581223982,103.9436790611991,58.850549191222335
72,Fucα1-2Galβ1-4GlcNAcβ–Sp8,220.60527499999998,67.02926346347408,33.51463173173704,30.38425235456137
73,Fucα1-2Galβ1-4Glcβ–Sp0,1551.8144499999999,444.3677620051337,222.18388100256686,28.6353669412689
74,Fucα1-2Galβ–Sp8,1403.9649249999998,121.17991311485126,60.58995655742563,8.6312635705519
75,Fucα1-3GlcNAcβ-Sp8,996.5592000000001,433.5919120346447,216.79595601732234,43.508896614937136
76,Fucα1-3GlcNAcβ-Sp8,337.465075,77.14408598617585,38.572042993087926,22.859872532343044
77,Fucα1-4GlcNAcβ–Sp8,313.22827499999994,102.62054030519023,51.310270152595116,32.762221196407076
78,Fucβ1-3GlcNAcβ-Sp8,476.8384249999999,478.81382979603825,239.40691489801912,100.4142713113018
79,GalNAcα1-3(Fucα1-2)Galβ1-3GlcNAcβ-Sp0,354.4821250000001,152.76505274842518,76.38252637421259,43.09527673600611
80,GalNAcα1-3(Fucα1-2)Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,285.323425,75.00395539322685,37.50197769661342,26.287345805282847
81,GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ-Sp0,256.80795,66.21715234985008,33.10857617492504,25.78469722212653
82,GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ–Sp8,172.97354999999993,18.027829602312668,9.013914801156334,10.422304220681529
83,GalNAcα1-3(Fucα1-2)Galβ1-4Glcβ-Sp0,158.28482499999998,55.01338410340874,27.50669205170437,34.75594334669084
84,GalNAcα1-3(Fucα1-2)Galβ–Sp8,326.62732500000004,160.29568692008624,80.14784346004312,49.076018646047515
85,GalNAcα1-3GalNAcβ–Sp8,639.2717749999999,265.19953841958835,132.59976920979418,41.48463123052608
86,GalNAcα1-3Galβ–Sp8,651.0334499999999,74.63513154993913,37.317565774969566,11.464100892195193
87,GalNAcα1-4(Fucα1-2)Galβ1-4GlcNAcβ-Sp8,451.975225,20.6074579742975,10.30372898714875,4.559422029005572
88,GalNAcβ1-3GalNAcα–Sp8,258.77282500000007,70.97719277671169,35.488596388355845,27.428379613165205
89,GalNAcβ1-3(Fucα1-2)Galβ-Sp8,1339.6112750000002,18.585398497094392,9.292699248547196,1.3873725045419902
90,GalNAcβ1-3Galα1-4Galβ1-4GlcNAcβ-Sp0,704.01285,153.5371940048077,76.76859700240385,21.808862438350054
91,GalNAcβ1-4(Fucα1-3)GlcNAcβ-Sp0,239.710875,48.29948140579951,24.149740702899756,20.149057236472697
92,GalNAcβ1-4GlcNAcβ–Sp0,1324.47415,282.9655010051288,141.4827505025644,21.364365699785743
93,GalNAcβ1-4GlcNAcβ–Sp8,604.5232500000001,102.84056211762702,51.42028105881351,17.011845634990383
94,Galα1-2Galβ–Sp8,1674.7961499999997,206.1007842449397,103.05039212246984,12.306022093789727
95,Galα1-3(Fucα1-2)Galβ1-3GlcNAcβ-Sp0,580.978275,490.31577522509815,245.15788761254908,84.39485542296708
96,Galα1-3(Fucα1-2)Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,223.50254999999999,46.510874377898645,23.255437188949323,20.80999719148558
97,Galα1-3(Fucα1-2)Galβ1-4GlcNAc-Sp0,196.48782500000002,65.75514247181853,32.877571235909265,33.4652503135085
98,Galα1-3(Fucα1-2)Galβ1-4Glcβ-Sp0,3895.974475,1102.640147658845,551.3200738294225,28.302037262675984
99,Galα1-3(Fucα1-2)Galβ–Sp8,1059.9385249999998,218.8849317248448,109.4424658624224,20.650719505156662
100,Galα1-3(Galα1-4)Galβ1-4GlcNAcβ-Sp8,196.0817,27.67571223546035,13.837856117730174,14.114377953404295
101,Galα1-3GalNAcα-Sp8,161.49705,65.78550040196286,32.89275020098143,40.734800048646626
102,Galα1-3GalNAcβ–Sp8,276.226975,214.24303998568817,107.12151999284409,77.56050616913434
103,Galα1-3Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,351.702775,188.47799481993252,94.23899740996626,53.590135824186355
104,Galα1-3Galβ1-3GlcNAcβ-Sp0,144.19002500000002,61.52008699638264,30.76004349819132,42.66597983902328
105,Galα1-3Galβ1-4GlcNAcβ–Sp8,193.89735000000002,61.93945717001937,30.969728585009683,31.944457812352447
106,Galα1-3Galβ1-4Glcβ–Sp0,239.06797500000005,121.96713854052034,60.98356927026017,51.01776536172204
107,Galα1-3Galβ–Sp8,1543.8038000000004,515.0870089465196,257.5435044732598,33.36479732376093
108,Galα1-4(Fucα1-2)Galβ1-4GlcNAcβ-Sp8,240.86542500000002,84.642039315436,42.321019657718,35.14080084986709
109,Galα1-4Galβ1-4GlcNAcβ–Sp0,221.24444999999994,26.79207776358549,13.396038881792744,12.109717447640152
110,Galα1-4Galβ1-4GlcNAcβ–Sp8,268.27600000000007,91.80204716900349,45.90102358450174,34.21925448754397
111,Galα1-4Galβ1-4Glcβ–Sp0,638.680425,234.0719367569346,117.0359683784673,36.649304972347416
112,Galα1-4GlcNAcβ–Sp8,334.42955000000006,169.4267041968196,84.7133520984098,50.66140363398497
113,Galα1-6Glcβ-Sp8,503.43525,244.2355641292578,122.1177820646289,48.51379877139271
114,Galβ1-2Galβ–Sp8,2563.174525,570.8361957520117,285.41809787600585,22.27067217563001
115,Galβ1-3(Fucα1-4)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,292.76575,245.17330287150628,122.58665143575314,83.74384738361856
116,Galβ1-3(Fucα1-4)GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0,203.7876,40.31970877052558,20.15985438526279,19.785162968956687
117,Galβ1-3(Fucα1-4)GlcNAc–Sp0,255.8435999999999,113.07323690909381,56.536618454546904,44.1962343045102
118,Galβ1-3(Fucα1-4)GlcNAc–Sp8,127.178875,33.74319215648045,16.871596078240223,26.532073157967815
119,Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,1226.3063249999998,1111.496466172428,555.748233086214,90.6377504146387
120,Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcα-Sp8,264.25534999999996,47.03653616572999,23.518268082864996,17.799653314769216
121,Galβ1-3(GlcNAcβ1-6)GalNAcα-Sp8,919.9648750000001,68.99119947217196,34.49559973608598,7.499329740406877
122,Galβ1-3(Neu5Acα2-6)GalNAcα-Sp8,156.007425,58.11083194433295,29.055415972166475,37.24876039991875
123,Galβ1-3(Neu5Acβ2-6)GalNAcα-Sp8,285.12652499999996,230.09990447921203,115.04995223960601,80.70098160078655
124,Galβ1-3(Neu5Acα2-6)GlcNAcβ1-4Galβ1-4Glcβ-Sp10,229.8831,83.74456010539919,41.872280052699594,36.4291938404342
125,Galβ1-3GalNAcα-Sp8,1311.8429250000002,204.0828118916314,102.0414059458157,15.556954876410328
126,Galβ1-3GalNAcβ–Sp8,1456.8318749999999,123.64604343548623,61.82302171774312,8.487324142017846
127,Galβ1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ-Sp0,322.45669999999996,72.37660836683848,36.18830418341924,22.445372779302925
128,Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp0,220.42572499999994,63.13987762375296,31.56993881187648,28.644513984814147
129,Galβ1-3GalNAcβ1-4Galβ1-4Glcβ–Sp8,1253.5985749999998,124.58640295833003,62.29320147916501,9.938301258704769
130,Galβ1-3Galβ–Sp8,464.41595000000007,187.5948140733907,93.79740703669535,40.393706132054824
131,Galβ1-3GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0,162.14660000000006,57.35108741856638,28.67554370928319,35.36989823935029
132,Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp10,1277.620425,402.3260856357727,201.16304281788635,31.490267200117177
133,Galβ1-3GlcNAcβ–Sp0,235.3258749999999,33.01209267903475,16.506046339517376,14.028246013760604
134,Galβ1-3GlcNAcβ–Sp8,619.357525,245.17320636823914,122.58660318411957,39.58508558820515
135,Galβ1-4(Fucα1-3)GlcNAcβ–Sp0,375.4043749999999,181.83955825256865,90.91977912628433,48.43831621636501
136,Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,184.46137500000003,63.09754601347456,31.54877300673728,34.20637302170959
137,Galβ1-4(Fucα1-3)GlcNAcβ1-4Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,597.8750249999999,79.57307942654137,39.786539713270685,13.309316512517208
