Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,56.526325000000014,31.00828559932273,15.504142799661365,54.8563622335659
2,Neu5Acα2-8Neu5Acβ-Sp17,218.485375,197.1411405345481,98.57057026727405,90.23081775361307
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,128.73015,123.07435706001742,61.53717853000871,95.60647374373245
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,155.49617499999997,65.24004808951715,32.62002404475857,41.95604688637336
5,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,124.228625,25.128238003406768,12.564119001703384,20.227413773119334
6,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,101.12914999999998,73.76593157370594,36.88296578685297,72.94230355313573
7,α-D-Gal–Sp8,118.22625,81.15011251355928,40.57505625677964,68.63967394175091
8,α-D-Glc–Sp8,678.390475,178.57845253294767,89.28922626647383,26.323844321804142
9,α-D-Man–Sp8,748.8054999999999,349.632242226057,174.8161211130285,46.691997084163646
10,α-GalNAc–Sp8,988.268075,548.6822731664732,274.3411365832366,55.51957885176785
11,α-L-Fuc–Sp8,495.20697499999994,137.13753436557482,68.56876718278741,27.692973097879896
12,α-L-Fuc–Sp9,819.7684999999999,120.45062305074757,60.22531152537378,14.693248526961892
13,α-L-Rhα–Sp8,280.38905,131.8530307180563,65.92651535902814,47.02502851593395
14,α-Neu5Ac–Sp8,464.65427500000004,66.50640097606508,33.25320048803254,14.313093530897799
15,α-Neu5Ac–Sp11,183.043675,95.01976907497988,47.50988453748994,51.910981941867085
16,β-Neu5Ac-Sp8,75.43882499999998,9.031184365067167,4.515592182533584,11.971533709687511
17,β-D-Gal–Sp8,253.41547499999996,187.36216757211847,93.68108378605923,73.93477749222636
18,β-D-Glc–Sp8,170.42487500000004,49.09950109538607,24.549750547693034,28.810055512956108
19,β-D-Man–Sp8,493.8442749999999,45.15583716186948,22.57791858093474,9.14374013181979
20,β-GalNAc–Sp8,1173.8595000000003,643.3021302394699,321.65106511973494,54.80231068875532
21,β-GlcNAc–Sp0,1264.4954,712.8790860992113,356.4395430496057,56.376566185943524
22,β-GlcNAc–Sp8,1075.4364750000002,129.33951906982952,64.66975953491476,12.02670004937572
