Chart Number,Structure,RFU,StDev,SEM,CV
1,Alpha1-acid glycoprotein (AGP),306.7003833333334,306.4047541297974,125.08921706349008,
2,AGP-A (AGP ConA flowthrough),259.15768333333335,240.14785482922315,98.03995119259432,
3,AGP-B (AGP ConA bound),292.9566833333334,278.9627476422571,113.8860648280535,
4,Ceruloplasmin,215.2135166666666,206.27537333679382,84.2115685295412,
5,Fibrinogen,140.16911666666667,297.4315842796888,121.42593581214136,
6,Transferrin,257.83073333333334,254.77802799915588,104.01269437840962,
7,α-D-Gal–Sp8,66.45298333333336,243.22843304641353,99.2975919834025,
8,α-D-Glc–Sp8,327.7477833333333,367.6915927431761,150.1094641553366,
9,α-D-Man–Sp8,114.26653632478632,198.26464994370636,12.960965627161555,
10,α-GalNAc–Sp8,214.58781666666664,202.49458642710837,82.66806873705396,
11,α-L-Fuc–Sp8,51.4194166666667,128.36827791632038,52.40613000912786,
12,α-L-Fuc–Sp9,58.99921666666663,193.5073976427508,78.99906427976397,
13,α-L-Rhα–Sp8,163.9614666666667,198.7937928927426,81.15722610328942,
14,α-Neu5Ac–Sp8,-23.526800000000037,116.30268272928188,47.48037140059038,
15,Neu5Acα1-2–Sp82,139.03261666666666,156.27488281970864,63.798953753586574,
16,b-Neu5Ac-Sp8,84.84025000000001,203.52616042836118,83.08920705955238,
17,β-D-Gal–Sp8,141.8240333333334,252.02209773036705,102.88759055753897,
18,β-D-Glc–Sp8,41.98651666666666,51.08509111462622,20.855401115736836,
19,β-D-Man–Sp8,32.691700000000026,272.2439868472764,111.14314221946701,
20,β-GalNAc–Sp8,262.37504999999993,160.80772853736548,65.64948026875642,
21,β-GlcNAc–Sp0,22.711850000000016,188.37445882253516,76.90355078135535,
22,β-GlcNAc–Sp8,102.64144999999996,181.77046695508872,74.20748239123309,
23,b-GlcN(Gc)-Sp8,36.14071666666666,202.39529150840852,82.627531756243,
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",637.3812,1201.3031874632281,490.4299726106525,
25,(GlcNAcb1-3(GlcNAcb1-6)GlcNAcb1-4)GlcNAc-Sp8,41.8627,99.81337096187063,40.74863806061907,
26,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,102.78221666666668,241.48575403645174,98.58614625675834,
27,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,191.48558333333335,298.89875452687596,122.02490555737496,
28,[3OSO3]Galb1-4Glcb-Sp8,95.89576666666666,111.54015745647246,45.53607859967499,
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,175.17533333333327,149.66596180738853,61.10087304849618,
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,111.40801666666668,276.4964965716667,112.8792220446303,
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,137.99474999999998,165.7670573086432,67.6741177614788,
32,[3OSO3]Galβ1-3GalNAcα–Sp8,119.13718333333333,178.62446023633402,72.92313052651365,
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,105.10481666666668,255.6743856115619,104.37863084131864,
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,147.46984999999998,213.6463739883338,87.22076694454042,
35,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,2782.50195,236.6117816392165,96.596355357819,
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,1930.6694,582.9953605451592,238.00685929092472,
37,[3OSO3]Galb1-4GlcNAcb-Sp8,1258.5835333333332,933.8755873007315,381.25311202145974,
38,[3OSO3]Galβ–Sp8,202.65810000000002,302.47145328299,123.4834537169009,
39,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,137.7785,177.00068084962837,72.2602253678006,
40,[4OSO3]Galb1-4GlcNAcb-Sp8,496.28836666666666,636.9887474880719,260.0495672067227,
41,6-H2PO3Manα–Sp8,94.67136666666666,179.0296933715931,73.08856626122248,
42,[6OSO3]Galβ1-4Glcβ–Sp0,960.4723833333334,2043.8565727973942,834.4009517978662,
43,[6OSO3]Galβ1-4Glcβ–Sp8,7.731100000000008,77.46319261644202,31.62421595953539,
44,[6OSO3]Galβ1-4GlcNAcβ–Sp8,77.45061666666668,241.33770115734026,98.52570392196283,
45,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,275.43468333333334,294.2794007969665,120.13906229409156,
46,NeuAcα2-3[6OSO3]Galβ1-4GlcNAcβ–Sp8,84.46181666666665,108.46348007934131,44.280030320152356,
47,[6OSO3]GlcNAcβ–Sp8,90.24858333333333,252.61085627443975,103.12795022665264,
48,9NAcNeu5Aca-Sp8,197.38708333333338,140.29979662769884,57.27715212568571,
49,9NAcNeu5Aca2-6Galb1-4GlcNAcb-Sp8,-38.598433333333304,104.64098323952554,42.719502519994045,
50,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,51690.48145,9166.355906193214,3742.149128486714,
51,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,14538.2454,2078.5339131776786,848.5579167259508,
52,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,15105.8412,2606.213636070824,1063.9822615095225,
53,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,77.40406666666667,146.56935169387447,59.83668726342096,
54,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp8,146.66503333333335,217.027439238495,88.6010810528655,
55,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,31.30858333333333,68.69264972703895,28.0436568184966,
56,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,200.5327166666667,281.70634398046076,115.00613334284806,
57,Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,216.3207166666666,262.4642141810302,107.15056674734677,
58,Fucα1-2Galβ1-3GalNAcα–Sp8,44.45586666666666,147.30665329736698,60.13768938260304,
59,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,319.6416500000001,204.81655927703437,83.61601018353976,
60,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp9,105.81486666666665,151.3018298438676,61.76871337781325,
61,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp10,53.413549999999994,81.10175769288237,33.10965393173368,
62,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp8,157.21275,289.2757502918815,118.09633052931194,
63,Fucα1-2Galβ1-3GlcNAcβ–Sp0,131.84556666666668,145.9782803497516,59.595383397640624,
64,Fucα1-2Galβ1-3GlcNAcβ–Sp8,67.65511666666667,162.80498545068474,66.46485698923614,
65,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,219.62075000000004,237.28190759933423,96.86993313543252,
