Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,1420.13165,185.69789880014818,92.84894940007409,13.076104514686943
2,Neu5Acα2-8Neu5Acβ-Sp17,1013.2252250000001,299.98728481065484,149.99364240532742,29.607167035409603
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,1240.730275,412.1030076026579,206.05150380132895,33.214552421770954
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,447.0841499999999,202.1855031380429,101.09275156902144,45.22314269876105
5,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,877.194725,310.4495763097913,155.22478815489566,35.391181394734375
6,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,1304.1594,299.0801403041227,149.54007015206136,22.932790294201975
7,α-D-Gal–Sp8,148.799375,243.4240051774871,121.71200258874354,163.59208845970429
8,α-D-Glc–Sp8,658.9658249999999,417.6081260872634,208.8040630436317,63.37326007570475
9,α-D-Man–Sp8,89.96985000000018,54.65059550017132,27.32529775008566,60.743232872091276
10,α-GalNAc–Sp8,785.1243250000002,554.623078071918,277.311539035959,70.64143351715893
11,α-L-Fuc–Sp8,175.6312750000002,257.22573473286536,128.61286736643268,146.4578189350758
12,α-L-Fuc–Sp9,628.0894000000001,157.94399918859597,78.97199959429798,25.146738535723728
13,α-L-Rhα–Sp8,283.92397500000015,168.12684989795264,84.06342494897632,59.21544663424515
14,α-Neu5Ac–Sp8,1140.129725,419.420562601941,209.7102813009705,36.787091276121316
15,α-Neu5Ac–Sp11,635.9249,43.0969394395929,21.54846971979645,6.777048585390021
16,β-Neu5Ac-Sp8,991.5602749999998,405.79391037759854,202.89695518879927,40.9247849685788
17,β-D-Gal–Sp8,426.1017000000005,178.44564794310938,89.22282397155469,41.87865196104807
18,β-D-Glc–Sp8,503.73917500000016,93.75812160011728,46.87906080005864,18.61243402403977
19,β-D-Man–Sp8,171.21787500000005,369.42307830999044,184.71153915499522,215.76198064015824
20,β-GalNAc–Sp8,144.4733000000001,173.41362405872277,86.70681202936139,120.03160726495668
21,β-GlcNAc–Sp0,93.66244999999992,70.83596668512891,35.417983342564455,75.62899185866799
22,β-GlcNAc–Sp8,254.01942499999996,226.7350320205704,113.3675160102852,89.25893443801411
23,β-GlcN(Gc)-Sp8,261.991725,58.096254282146866,29.048127141073433,22.174843225352582
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",687.9746750000002,425.5743999573775,212.78719997868876,61.85902118524601
25,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,378.34344999999985,83.03001392631037,41.51500696315519,21.94567235835863
26,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,5305.746325,6653.404402745351,3326.7022013726755,125.39997193976949
27,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,710.0678749999998,283.2618418432358,141.6309209216179,39.89222042234143
28,[3OSO3]Galβ1-4Glcβ-Sp8,629.2309000000001,125.6279635214217,62.81398176071085,19.96532012674865
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,1115.350575,259.36981797204083,129.68490898602042,23.254555454193483
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,480.8129749999997,169.34433684621024,84.67216842310512,35.22041742867075
