Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,82.06705,37.933119790889755,18.966559895444878,46.22210715614825
2,Neu5Acα2-8Neu5Acβ-Sp17,323.37792499999995,34.176517246147476,17.088258623073738,10.5685993396573
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,51.50165000000001,41.66454511208139,20.832272556040696,80.89943742012417
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,269.05920000000003,64.33009801966736,32.16504900983368,23.90927276215322
5,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,35.54225000000001,14.123648576176587,7.061824288088293,39.73763218754182
6,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,240.52800000000005,39.833610149470246,19.916805074735123,16.560903574415555
7,α-D-Gal–Sp8,813.4021750000002,1064.3120284396468,532.1560142198234,130.84696121443818
8,α-D-Glc–Sp8,150.1926,98.50657100694688,49.25328550347344,65.58683384330978
9,α-D-Man–Sp8,97.71245000000005,13.405852929100394,6.702926464550197,13.719697877906437
10,α-GalNAc–Sp8,160.30150000000003,97.73385117030833,48.86692558515416,60.96876895743853
11,α-L-Fuc–Sp8,196.225125,141.37736287148624,70.68868143574312,72.04855284025746
12,α-L-Fuc–Sp9,442.014425,321.7546823545892,160.8773411772946,72.7928013558809
13,α-L-Rhα–Sp8,231.89469999999994,106.51657465446421,53.258287327232104,45.93316477455683
14,α-Neu5Ac–Sp8,20.553224999999998,46.67014116158731,23.335070580793655,227.0696747667936
15,α-Neu5Ac–Sp11,294.200325,82.5695059047981,41.28475295239905,28.065742587061422
16,β-Neu5Ac-Sp8,88.67744999999996,58.755061115022166,29.377530557511083,66.25704856761465
17,β-D-Gal–Sp8,491.3875999999999,206.9119930410663,103.45599652053315,42.10769523713385
18,β-D-Glc–Sp8,142.27910000000003,138.27029218606572,69.13514609303286,97.18243381218021
19,β-D-Man–Sp8,241.81677500000012,237.86668115818372,118.93334057909186,98.36649304341421
20,β-GalNAc–Sp8,108.25962500000006,107.76122480770084,53.88061240385042,99.53962505199956
21,β-GlcNAc–Sp0,53.07860000000002,38.01812972464588,19.00906486232294,71.62609738132856
22,β-GlcNAc–Sp8,72.43110000000001,77.04445445485787,38.522227227428935,106.3693005557804
23,β-GlcN(Gc)-Sp8,209.37644999999998,59.2749092059195,29.63745460295975,28.31020833810082
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",308.20734999999996,114.64308078840484,57.32154039420242,37.19673810128307
25,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,321.2396,233.3921817150695,116.69609085753476,72.65361484545166
26,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,66.24532500000001,57.883278437350356,28.941639218675178,87.3771521799468
27,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,132.4108,90.71458719143988,45.35729359571994,68.5099608124412
28,[3OSO3]Galβ1-4Glcβ-Sp8,144.160225,149.90681166118688,74.95340583059344,103.98624978643511
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,70.08004999999997,23.335678160347843,11.667839080173922,33.29860375434643
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,478.7376749999999,297.4298437291208,148.7149218645604,62.1279375451537
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,172.78719999999998,122.24341629571168,61.12170814785584,70.74795835322969
32,[3OSO3]Galβ1-3GalNAcα–Sp8,447.48,184.43636480553346,92.21818240276673,41.21667221005038
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,245.43079999999998,42.83865808223447,21.419329041117233,17.45447518495416
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,259.82205000000005,208.76035136667275,104.38017568333638,80.34743447165962
35,[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp8,410.25120000000004,345.5958364099411,172.79791820497056,84.2400549736213
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,273.593675,114.46248983934669,57.231244919673344,41.83667251786675
37,[3OSO3]Galβ1-4GlcNAcβ-Sp8,114.00482499999987,57.50204783341071,28.751023916705353,50.43825805917492
38,[3OSO3]Galβ–Sp8,75.58842500000002,21.220518262187518,10.610259131093759,28.07376693215597
39,[4OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,88.35879999999997,83.48701207613077,41.743506038065384,94.48635798146964
40,[4OSO3]Galβ1-4GlcNAcβ-Sp8,52.40112499999998,45.50444063036594,22.75222031518297,86.83867117426574
41,6-H2PO3Manα–Sp8,665.516325,355.47234664853397,177.73617332426699,53.413016825475154
42,[6OSO3]Galβ1-4Glcβ–Sp0,43.48530000000001,33.212290222847734,16.606145111423867,76.37590225397486
43,[6OSO3]Galβ1-4Glcβ–Sp8,119.35157500000004,93.80452001726343,46.902260008631714,78.59512538252083
44,[6OSO3]Galβ1-4GlcNAcβ–Sp8,204.14594999999997,26.40441420829756,13.20220710414878,12.934086719965576
45,[6OSO3]Galβ1-4[6OSO3]Glcβ-Sp8,207.04219999999998,143.32100356349287,71.66050178174643,69.2230876427573
46,NeuAcα2-3[6OSO3]Galβ1-4GlcNAcβ–Sp8,6724.556225,2862.9705599110125,1431.4852799555063,42.57486240158565
47,[6OSO3]GlcNAcβ–Sp8,314.1002749999999,460.05889636891294,230.02944818445647,146.46879770127964
48,9NAcNeu5Acα-Sp8,170.71840000000003,165.236632739878,82.618316369939,96.78900033029713
49,9NAcNeu5Acα2-6Galβ1-4GlcNAcβ-Sp8,99.107475,31.580813837346966,15.790406918673483,31.8652188821751
50,Manα1-3(Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,84.15790000000001,70.98082804898799,35.490414024493994,84.34244206306
51,GlcNAcβ1-2Manα1-3(GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,118.34639999999996,84.4023298869173,42.20116494345865,71.31803746199067
52,Galβ1-4GlcNAcβ1-2Manα1-3(Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,169.324975,103.93022184162385,51.965110920811924,61.37914494989523
53,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,219.92285000000015,63.20635301072387,31.603176505361937,28.740239138736072
54,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp8,774.8053749999999,996.2299085301895,498.11495426509475,128.57808433894635
55,Fucα1-2Galβ1-3GalNAcβ1-3Galα-Sp9,120.50077500000003,112.55194534425354,56.27597267212677,93.40350329220165
56,Fucα1-2Galβ1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ-Sp9,159.95550000000003,38.514391402262504,19.257195701131252,24.078191373389785
57,Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,277.5963250000001,168.89341611920756,84.44670805960378,60.841373213138716
58,Fucα1-2Galβ1-3GalNAcα–Sp8,212.53385000000003,67.26315010149801,33.63157505074901,31.648205733579854
59,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp0,422.48267499999986,269.5378667924215,134.76893339621074,63.79856092144407
60,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp9,95.27880000000003,49.328868132429925,24.664434066214962,51.77318368034642
61,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp10,276.3824000000001,49.64898948370758,24.82449474185379,17.963875226391973
62,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp8,82.55157500000001,40.21135219365922,20.10567609682961,48.71058146820241
63,Fucα1-2Galβ1-3GlcNAcβ–Sp0,63.401475000000005,32.428528476469104,16.214264238234552,51.1479085880401
64,Fucα1-2Galβ1-3GlcNAcβ–Sp8,130.51235,49.69144718537253,24.845723592686266,38.07413412245855
65,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,333.2937999999999,200.28251704870993,100.14125852435497,60.0918820118196
