Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,178.85260000000002,46.32528705037861,25.901377475294517,
2,Glca-Sp8,271.767575,27.614509675697356,10.161075939871544,
3,Mana-Sp8,120.817925,37.1642765047633,30.760565127039964,
4,GalNAca-Sp8,1416.8452,23.16437402319272,1.634926244814375,
5,GalNAca-Sp15,1219.5458999999998,72.86772710864999,5.974988486177519,
6,Fuca-Sp8,31.289950000000005,12.75352879127969,40.759185589237724,
7,Fuca-Sp9,63.059875000000005,41.26330603440747,65.43512183366596,
8,Rhaa-Sp8,21.926674999999992,17.056762606734605,77.79000968790119,
9,Neu5Aca-Sp8,63.476899999999986,16.77643674820929,26.42919983207953,
10,Neu5Aca-Sp11,134.63737500000002,75.64838059594643,56.18676136247191,
11,Neu5Acb-Sp8,52.60125,28.684854645904498,54.5326482657817,
12,Galb-Sp8,50.289,21.93449213468747,43.616878710428665,
13,Glcb-Sp8,242.84545,56.9196690119505,23.438639271170413,
14,Manb-Sp8,50.962124999999986,17.56822978511224,34.47311073687027,
15,GalNAcb-Sp8,65.83905000000001,34.345113199260204,52.165262407735526,
16,GlcNAcb-Sp0,38.564099999999996,27.524812277531215,71.37418551847759,
17,GlcNAcb-Sp8,36.273250000000004,33.85440807482337,93.33160958784605,
18,GlcN(Gc)b-Sp8,24.55709999999999,21.624283682471383,88.05715529305736,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,19.592875,8.638711048675065,44.09108437978125,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,30.530475,13.312823125937626,43.605031123615426,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,25.82972500000001,21.124435798126395,81.78343283997947,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,50.446825000000004,25.42022889857278,50.39014625513653,
23,6S(3S)Galb1-4GlcNAcb-Sp0,51.78142499999999,53.16221432191444,102.66657265981856,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,58.44715,11.733793462616076,20.075903551526594,
25,(3S)Galb1-4Glcb-Sp8,93.91942499999999,21.04700571124477,22.409640722613847,
26,(3S)Galb1-4(6S)Glcb-Sp0,87.045725,9.67632632506572,11.116371682889332,
27,(3S)Galb1-4(6S)Glcb-Sp8,51.076125000000005,17.83858818224786,34.92549245317232,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,21.734025000000013,7.151896277852905,32.90645095813086,
29,(3S)Galb1-3GalNAca-Sp8,19.423924999999997,20.864622959989013,107.41713098660037,
30,(3S)Galb1-3GlcNAcb-Sp0,22.998449999999995,28.741678064963434,124.97223971599583,
31,(3S)Galb1-3GlcNAcb-Sp8,25.455399999999997,18.443821452002123,72.45543755746178,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,32.76525000000001,21.54220015341979,65.74709533246286,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,19.040400000000005,5.728834049496836,30.087782029247467,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,80.159975,24.10796321223555,30.07481378610154,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,44.770275,8.312523662673085,18.56705964543011,
36,(3S)Galb1-4GlcNAcb-Sp0,65.067725,22.203084566095036,34.12303805933746,
37,(3S)Galb1-4GlcNAcb-Sp8,36.9791,15.50212195475186,41.92130677802288,
38,(3S)Galb-Sp8,49.968,12.089471399251954,24.19442723193234,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,12.77995,4.406304747745013,34.47826280810968,
40,(4S)Galb1-4GlcNAcb-Sp8,13.230050000000002,7.6075586020308315,57.502115275685505,
41,(6P)Mana-Sp8,42.80545000000001,29.734724091820116,69.46480901805754,
42,(6S)Galb1-4Glcb-Sp0,29.876150000000003,15.19268443089191,50.85221633608048,
43,(6S)Galb1-4Glcb-Sp8,24.333349999999996,24.26616821248602,99.72391065137361,
44,(6S)Galb1-4GlcNAcb-Sp8,16.13495,12.401191263879989,76.85918620063892,
45,(6S)Galb1-4(6S)Glcb-Sp8,33.797475000000006,15.645371861432329,46.29154060009609,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,25.634775000000005,15.246456100653962,59.475677475827105,
47,(6S)GlcNAcb-Sp8,19.6592,10.488664537489957,53.35244840832769,
48,"Neu5,9Ac2a-Sp8",28.834050000000005,12.074146700146795,41.874612481239346,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",1.954324999999999,3.371753330613024,172.5277694658271,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,27.954550000000005,16.95448298444986,60.650173171987596,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,79.295175,16.084186075433372,20.283940448373276,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,20.08455,12.060454021442698,60.04841543097903,
