Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,46.75,27.13392710243027,58.040485780599504,
2,Glca-Sp8,53.5,17.8232058470598,33.31440345244822,
3,Mana-Sp8,34.0,4.546060565661952,13.370766369593975,
4,GalNAca-Sp8,21.25,4.5,21.176470588235293,
5,GalNAca-Sp15,10.0,7.164728420068226,71.64728420068226,
6,Fuca-Sp8,56.25,15.58578412100805,27.708060659569867,
7,Fuca-Sp9,45.25,11.086778913041726,24.5011688686005,
8,Rhaa-Sp8,16.25,12.284814474246922,75.59885830305798,
9,Neu5Aca-Sp8,38.5,9.1104335791443,23.663463841933243,
10,Neu5Aca-Sp11,9.25,5.057996968497839,54.68104830808475,
11,Neu5Acb-Sp8,19.5,15.968719422671311,81.89086883421184,
12,Galb-Sp8,40.25,12.065791865158845,29.97712264635738,
13,Glcb-Sp8,33.0,5.477225575051661,16.597653257732308,
14,Manb-Sp8,40.75,11.672617529928752,28.644460196144177,
15,GalNAcb-Sp8,28.25,4.573474244670748,16.189289361666365,
16,GlcNAcb-Sp0,18.75,4.573474244670748,24.39186263824399,
17,GlcNAcb-Sp8,3.0,6.377042156569663,212.56807188565543,
18,GlcN(Gc)b-Sp8,66.25,39.07578107558014,58.98231105747945,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,9.0,8.906926143924924,98.96584604361026,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,21.0,6.2182527020592095,29.610727152662903,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,475.0,108.16961988777933,22.772551555321964,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,20.0,1.8257418583505538,9.12870929175277,
23,6S(3S)Galb1-4GlcNAcb-Sp0,19.0,6.97614984548545,36.71657813413395,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,58.75,12.606215398233788,21.4573879118873,
25,(3S)Galb1-4Glcb-Sp8,35.25,6.18465843842649,17.54513032177728,
26,(3S)Galb1-4(6S)Glcb-Sp0,27.25,9.142392101268317,33.55006275694795,
27,(3S)Galb1-4(6S)Glcb-Sp8,23.75,2.217355782608345,9.3362348741404,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,67.5,36.4828726939094,54.048700287273185,
29,(3S)Galb1-3GalNAca-Sp8,24.5,7.593857166596345,30.99533537386263,
30,(3S)Galb1-3GlcNAcb-Sp0,16.75,8.80814017448254,52.585911489448,
