Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,0.0,0.0,7,
2,Glca-Sp8,0.0,0.0,7,
3,Mana-Sp8,0.0,0.0,7,
4,GalNAca-Sp8,0.0,0.0,7,
5,GalNAca-Sp15,0.0,0.0,7,
6,Fuca-Sp8,0.0,0.0,7,
7,Fuca-Sp9,0.0,0.0,7,
8,Rhaa-Sp8,0.0,0.0,7,
9,Neu5Aca-Sp8,0.0,0.0,7,
10,Neu5Aca-Sp11,0.0,0.0,7,
11,Neu5Acb-Sp8,0.0,0.0,7,
12,Galb-Sp8,0.0,0.0,7,
13,Glcb-Sp8,0.0,0.0,7,
14,Manb-Sp8,0.0,0.0,7,
15,GalNAcb-Sp8,0.0,0.0,7,
16,GlcNAcb-Sp0,0.0,0.0,7,
17,GlcNAcb-Sp8,0.0,0.0,7,
18,GlcN(Gc)b-Sp8,0.0,0.0,7,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,0.0,0.0,7,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,0.0,0.0,7,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,0.0,0.0,7,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,0.0,0.0,7,
23,6S(3S)Galb1-4GlcNAcb-Sp0,0.0,0.0,7,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,0.0,0.0,7,
25,(3S)Galb1-4Glcb-Sp8,0.0,0.0,7,
26,(3S)Galb1-4(6S)Glcb-Sp0,0.0,0.0,7,
27,(3S)Galb1-4(6S)Glcb-Sp8,0.0,0.0,7,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,0.0,0.0,7,
29,(3S)Galb1-3GalNAca-Sp8,0.0,0.0,7,
30,(3S)Galb1-3GlcNAcb-Sp0,0.0,0.0,7,
31,(3S)Galb1-3GlcNAcb-Sp8,0.0,0.0,7,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,0.0,0.0,7,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,0.0,0.0,7,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,0.0,0.0,7,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,0.0,0.0,7,
36,(3S)Galb1-4GlcNAcb-Sp0,0.0,0.0,7,
37,(3S)Galb1-4GlcNAcb-Sp8,0.0,0.0,7,
38,(3S)Galb-Sp8,0.0,0.0,7,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,0.0,0.0,7,
40,(4S)Galb1-4GlcNAcb-Sp8,0.0,0.0,7,
41,(6P)Mana-Sp8,0.0,0.0,7,
42,(6S)Galb1-4Glcb-Sp0,0.0,0.0,7,
43,(6S)Galb1-4Glcb-Sp8,0.0,0.0,7,
44,(6S)Galb1-4GlcNAcb-Sp8,0.0,0.0,7,
45,(6S)Galb1-4(6S)Glcb-Sp8,0.0,0.0,7,
