Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,2088.6101750000003,282.2958717062214,141.1479358531107,13.515967464164124
2,Neu5Acα2-8Neu5Acβ-Sp17,1330.1446999999998,85.74093387606767,42.870466938033836,6.445985453768126
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,1063.8587499999999,156.14294415749205,78.07147207874603,14.677037168467344
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,492.0142749999999,394.70991230786495,197.35495615393248,80.22326431643981
5,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,89.31412499999999,76.57708538740046,38.28854269370023,85.7390534670753
6,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,1593.8132249999999,128.46145700716585,64.23072850358292,8.060006968957474
7,α-D-Gal–Sp8,2096.98095,342.3213993686867,171.16069968434334,16.3244878008399
8,α-D-Glc–Sp8,884.1213249999998,196.14373258085243,98.07186629042621,22.1851602302266
9,α-D-Man–Sp8,2269.7791500000003,244.12878329049184,122.06439164524592,10.755618373289392
10,α-GalNAc–Sp8,616.1606500000003,79.6328112690785,39.81640563453925,12.924033897503593
11,α-L-Fuc–Sp8,664.6137249999999,82.17501031848118,41.08750515924059,12.364326409070351
12,α-L-Fuc–Sp9,941.5720250000002,259.0808776829647,129.54043884148234,27.515779016795307
13,α-L-Rhα–Sp8,1052.072675,327.3847682002983,163.69238410014916,31.118075393441654
14,α-Neu5Ac–Sp8,1814.2256750000001,363.0593129763823,181.52965648819114,20.01180547598535
15,α-Neu5Ac–Sp11,2367.6938,271.7986295552661,135.89931477763304,11.479467047439416
16,β-Neu5Ac-Sp8,656.404425,186.22148682019147,93.11074341009574,28.369931665252178
17,β-D-Gal–Sp8,802.2716500000004,110.02022393500766,55.01011196750383,13.71358740334494
18,β-D-Glc–Sp8,839.824325,361.2233749806102,180.6116874903051,43.01177808592412
19,β-D-Man–Sp8,4462.855149999999,1453.3819679561545,726.6909839780773,32.56619180114225
20,β-GalNAc–Sp8,791.718975,230.25985571775743,115.12992785887872,29.08353380285693
21,β-GlcNAc–Sp0,816.160325,296.8442134144933,148.42210670724666,36.37082131068958
22,β-GlcNAc–Sp8,667.3136,200.9786685862958,100.4893342931479,30.117574193946567
23,β-GlcN(Gc)-Sp8,2226.048600000001,140.99551098213394,70.49775549106697,6.333891855826233
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",703.6101750000001,290.6023673459363,145.30118367296814,41.30161525107795
25,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,508.29719999999975,185.5641709639914,92.7820854819957,36.507022065829105
26,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,9216.718875,1990.348580993432,995.174290496716,21.594979818600923
27,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,4172.192800000001,210.83220309812035,105.41610154906017,5.053270862701271
28,[3OSO3]Galβ1-4Glcβ-Sp8,2182.0912249999997,442.5530094374101,221.27650471870504,20.281141519984352
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,3658.8519749999996,1939.5438273487387,969.7719136743693,53.00962817302109
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,5495.1212,1388.1329414086051,694.0664707043026,25.261188805237
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,3052.6878749999996,352.6229363483783,176.31146817418914,11.551227992753054
32,[3OSO3]Galβ1-3GalNAcα–Sp8,1865.0006500000004,198.37651685644127,99.18825842822064,10.636806848107062
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,2021.6127749999996,157.3024129734945,78.65120648674726,7.781035761089042
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,2204.82035,261.32313064298586,130.66156532149293,11.85235480264802
35,[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp8,5828.78635,714.4676320794042,357.2338160397021,12.257571116488155
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,1867.8586250000003,167.34775687657321,83.67387843828661,8.959337427187412
37,[3OSO3]Galβ1-4GlcNAcβ-Sp8,1704.412175,120.48617218630676,60.24308609315338,7.069074837270907
38,[3OSO3]Galβ–Sp8,2045.0560499999997,715.9049901922034,357.9524950961017,35.00661951012069
39,[4OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,4996.029375,865.0842568305633,432.54212841528164,17.315435757031818
40,[4OSO3]Galβ1-4GlcNAcβ-Sp8,1673.928025,156.45299675652322,78.22649837826161,9.34645901256855
41,6-H2PO3Manα–Sp8,6884.84,1216.724178370634,608.362089185317,17.672512046331274
42,[6OSO3]Galβ1-4Glcβ–Sp0,1738.784275,255.62597891139615,127.81298945569807,14.701419985604375
43,[6OSO3]Galβ1-4Glcβ–Sp8,2047.99995,290.8720628350567,145.43603141752834,14.20273778986453
44,[6OSO3]Galβ1-4GlcNAcβ–Sp8,2029.6487,70.21842405784419,35.109212028922094,3.459634372088342
45,[6OSO3]Galβ1-4[6OSO3]Glcβ-Sp8,10805.534174999999,1164.448156370542,582.224078185271,10.776405289288181
46,NeuAcα2-3[6OSO3]Galβ1-4GlcNAcβ–Sp8,1736.271525,220.40178353920393,110.20089176960197,12.693969829356263
47,[6OSO3]GlcNAcβ–Sp8,2541.2652249999996,182.97066733203096,91.48533366601548,7.199983123840645
48,9NAcNeu5Acα-Sp8,1608.48675,343.8652140035224,171.9326070017612,21.37818132499521
49,9NAcNeu5Acα2-6Galβ1-4GlcNAcβ-Sp8,372.98969999999997,126.83018889147262,63.41509444573631,34.003670581646794
50,Manα1-3(Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,489.2653999999998,145.7647478345155,72.88237391725775,29.792572259251436
51,GlcNAcβ1-2Manα1-3(GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,391.41084999999987,273.2530902679601,136.62654513398004,69.81234430981159
52,Galβ1-4GlcNAcβ1-2Manα1-3(Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,662.9426500000001,800.9370976832637,400.46854884163184,120.81544273599889
53,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,1502.4145500000002,296.85792689355,148.428963446775,19.75872284340896
54,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp8,870.79935,351.99231514844627,175.99615757422313,40.42174757577004
55,Fucα1-2Galβ1-3GalNAcβ1-3Galα-Sp9,1232.8252749999997,227.51292360134042,113.75646180067021,18.454595976817597
56,Fucα1-2Galβ1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ-Sp9,829.9322499999998,295.2501282948465,147.62506414742325,35.57520849380737
57,Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,1529.2764250000002,210.15217472341592,105.07608736170796,13.741935158872007
58,Fucα1-2Galβ1-3GalNAcα–Sp8,566.6723500000002,108.87715177546045,54.438575887730224,19.213422319875043
59,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp0,2172.9768,300.295681668829,150.1478408344145,13.81955305131785
60,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp9,1834.1553249999997,462.0628343618537,231.03141718092684,25.192132207333845
61,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp10,550.04005,299.36891607608504,149.68445803804252,54.4267487569469
62,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp8,334.2334750000001,40.70641326559253,20.353206632796265,12.179035407986143
63,Fucα1-2Galβ1-3GlcNAcβ–Sp0,479.97705,343.91825905124125,171.95912952562063,71.65306321442687
64,Fucα1-2Galβ1-3GlcNAcβ–Sp8,332.4662000000001,70.3313928783345,35.16569643916725,21.154449047251866
65,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,816.1670249999999,314.1692205522518,157.0846102761259,38.493250882348725
66,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,1147.6237999999998,148.47522446956063,74.23761223478031,12.937621585537059
67,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp0,529.3602000000001,151.1219426640842,75.5609713320421,28.548036415296085
68,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,675.7542000000001,349.46805260816035,174.73402630408017,51.71526164516037
