Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,24.473424999999995,9.030937870223305,36.90099718459229,
2,Glca-Sp8,16.0417,12.805188354204972,79.82438491060782,
3,Mana-Sp8,50.244125000000004,24.176678080659347,48.118417985504465,
4,GalNAca-Sp8,53.693025000000006,16.125970514954027,30.03364126896189,
5,GalNAca-Sp15,38.30842500000001,15.234065593569078,39.766880506230876,
6,Fuca-Sp8,26.643475000000002,12.922667032357008,48.50218311371549,
7,Fuca-Sp9,150.636575,56.55046616473782,37.54099305878258,
8,Rhaa-Sp8,20.3898,20.664459866640595,101.34704541800603,
9,Neu5Aca-Sp8,37.251425,21.417762374156446,57.49514917659243,
10,Neu5Aca-Sp11,50.99667499999999,31.295595154736496,61.367913015380914,
11,Neu5Acb-Sp8,23.154925,28.64026943057335,123.68975252812675,
12,Galb-Sp8,18.142725000000006,8.179718066606343,45.085388587471506,
13,Glcb-Sp8,15.808774999999997,12.355979406040632,78.15899338209718,
14,Manb-Sp8,39.79622500000001,16.90265791552216,42.47301827126105,
15,GalNAcb-Sp8,22.787174999999998,16.945608368419027,74.36467385017681,
16,GlcNAcb-Sp0,48.26557499999999,16.19357017427495,33.550973285359085,
17,GlcNAcb-Sp8,24.703525,19.502978627443042,78.9481607480837,
18,GlcN(Gc)b-Sp8,12.852100000000002,8.027483072960456,62.46047784378004,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,15.920399999999997,8.667375859316746,54.44194781108984,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,20.838575,8.38610031515443,40.24315633460748,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,28.924650000000007,12.501111701098095,43.21957811450818,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,31.5088,22.223990515806722,70.53264648544763,
23,6S(3S)Galb1-4GlcNAcb-Sp0,26.5168,10.878308572874124,41.02421322661152,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,25.801675000000007,6.631150811322289,25.70046638957466,
