Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,28.234075000000004,8.008914092590782,28.366128844634652,
2,Glca-Sp8,19.451100000000004,9.865385077464891,50.718905755792164,
3,Mana-Sp8,19.911224999999988,4.112132588957639,20.652333490067242,
4,GalNAca-Sp8,35.02575,33.15185076306701,94.6499382970158,
5,GalNAca-Sp15,20.844099999999997,11.6221763352079,55.7576308653667,
6,Fuca-Sp8,24.508325,18.051329466898007,73.65386849936912,
7,Fuca-Sp9,14.171875,8.899626124122673,62.79780286040254,
8,Rhaa-Sp8,11.839824999999998,4.9937115891722454,42.17724154852159,
9,Neu5Aca-Sp8,16.071999999999996,17.16241755212049,106.78457909482637,
10,Neu5Aca-Sp11,12.733699999999999,9.905936608249958,77.79307356267195,
11,Neu5Acb-Sp8,11.85715,9.873552247798157,83.27087240861553,
12,Galb-Sp8,43.076375000000006,30.108389374765636,69.89536462797909,
13,Glcb-Sp8,51.50899999999999,53.45373366784899,103.7755220793434,
14,Manb-Sp8,64.230725,45.2484941978827,70.4468059451029,
15,GalNAcb-Sp8,24.98805,25.13220738978834,100.57690531989627,
16,GlcNAcb-Sp0,33.61565,10.051646605241695,29.90168747366686,
17,GlcNAcb-Sp8,47.89662499999997,27.762730345601067,57.96385516850317,
18,GlcN(Gc)b-Sp8,21.307725000000005,10.366478133668801,48.651266776104904,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,1976.6426250000004,181.21427096705,9.16778120005633,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,33.929625,15.214351499242408,44.840906727505555,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,30.941125000000003,48.019977341822695,155.19790357274564,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,77.06762499999999,17.7506176054761,23.032521899404713,
23,6S(3S)Galb1-4GlcNAcb-Sp0,12.95225,12.89128882992956,99.52933914902476,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,37.635225000000005,23.296913178841944,61.90188361791896,
25,(3S)Galb1-4Glcb-Sp8,412.704975,39.19702470225472,9.49758958012433,
26,(3S)Galb1-4(6S)Glcb-Sp0,1959.716425,124.16555805475868,6.335894136048722,
