Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,32.112350000000006,15.104875350142194,47.03758943254602,
2,Glca-Sp8,30.615249999999996,6.883878424502736,22.485128896555594,
3,Mana-Sp8,32.814025,5.029025099277932,15.325840396836208,
4,GalNAca-Sp8,4.7269749999999995,2.1933647262824305,46.401022351132184,
5,GalNAca-Sp15,31.305775,11.358675637700893,36.28300413486295,
6,Fuca-Sp8,16.493175,10.488909183950755,63.595451960891424,
7,Fuca-Sp9,22.120925,11.326980174013727,51.204821561547384,
8,Rhaa-Sp8,13.945525000000002,10.180455317379804,73.0015923916798,
9,Neu5Aca-Sp8,38.933949999999996,26.5236514884986,68.12473814883566,
10,Neu5Aca-Sp11,15.554199999999998,4.05307104140391,26.05772743955916,
11,Neu5Acb-Sp8,9.936699999999998,5.175453329580576,52.0842264492294,
12,Galb-Sp8,30.103724999999994,19.387732797033486,64.40310226403373,
13,Glcb-Sp8,23.360525,9.901807126774047,42.38692035720108,
14,Manb-Sp8,90.80877500000001,10.38670427305158,11.437996243261269,
15,GalNAcb-Sp8,10.406375,5.579547595385006,53.61663014628058,
16,GlcNAcb-Sp0,37.0772,17.758020421957692,47.89471810697057,
17,GlcNAcb-Sp8,11.57515,3.345827158815405,28.905259619230893,
18,GlcN(Gc)b-Sp8,13.151700000000002,7.756700432959015,58.978690457956105,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,15.625375000000002,11.039359550678956,70.65020551941285,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,24.865475000000004,2.8593641418737046,11.499334486365951,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,8.619299999999999,0.9594786396788515,11.13174665783592,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,17.254775000000006,14.486991243267173,83.95931701959121,
23,6S(3S)Galb1-4GlcNAcb-Sp0,27.48772499999999,26.47049516340476,96.29933056811637,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,16.769275,6.237258615970646,37.19456336645827,
25,(3S)Galb1-4Glcb-Sp8,22.280249999999995,12.355257397696487,55.45385441230009,
26,(3S)Galb1-4(6S)Glcb-Sp0,12.424024999999999,3.7436983874016057,30.13273385558711,
27,(3S)Galb1-4(6S)Glcb-Sp8,10.009725,11.067689141332378,110.56936270809017,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,7.418000000000001,3.9529228080834993,53.288255703471265,
29,(3S)Galb1-3GalNAca-Sp8,34.897099999999995,25.609001042992684,73.38432432205738,
30,(3S)Galb1-3GlcNAcb-Sp0,8.426575,4.54393815346336,53.923903287674534,
31,(3S)Galb1-3GlcNAcb-Sp8,21.144425000000002,7.5705897526216495,35.80418835045951,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,16.661849999999998,6.623943390206985,39.75514957947038,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,17.689400000000003,14.693371106046428,83.06314010676691,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,27.054100000000002,8.279525873301372,30.60359011499688,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,13.843800000000002,4.81728773135533,34.797438068704615,
36,(3S)Galb1-4GlcNAcb-Sp0,47.030200000000015,28.43956227405759,60.47085122763156,
37,(3S)Galb1-4GlcNAcb-Sp8,7.150175000000001,4.7106354365237575,65.8814006164011,
38,(3S)Galb-Sp8,31.613299999999995,9.755511028473425,30.858882269403782,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,9.237249999999994,7.668093592934301,83.0127320678157,
