Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,24.778675,10.32315329905711,41.661441941738644,
2,Glca-Sp8,14.949649999999998,15.425934741747968,103.18592570226039,
3,Mana-Sp8,56.745075000000014,16.455369718600448,28.998762832898617,
4,GalNAca-Sp8,202.13367499999995,24.656189848038164,12.19796248598269,
5,GalNAca-Sp15,-0.4829000000000008,2.1500022480608396,-445.22722055515345,
6,Fuca-Sp8,14.200275000000003,9.513938003222774,66.9982659013489,
7,Fuca-Sp9,10.290674999999993,9.106452064836597,88.4922715452252,
8,Rhaa-Sp8,6.090575000000001,10.038001102269648,164.81204323515672,
9,Neu5Aca-Sp8,39.61949999999999,18.637510823962913,47.04125701728421,
10,Neu5Aca-Sp11,30.738999999999997,4.63242740903732,15.070195546495723,
11,Neu5Acb-Sp8,27.414550000000006,13.807162310071767,50.36435874406753,
12,Galb-Sp8,21.252249999999997,7.14523702685922,33.621084952695455,
13,Glcb-Sp8,21.564149999999998,21.796927744447533,101.07946635711372,
14,Manb-Sp8,17.442600000000006,14.657445153459271,84.03245590370281,
15,GalNAcb-Sp8,35.695674999999994,24.075610634606278,67.4468563337331,
16,GlcNAcb-Sp0,16.027575,10.26556061023947,64.04936873007595,
17,GlcNAcb-Sp8,8.862699999999998,19.93983828971539,224.98604589702228,
18,GlcN(Gc)b-Sp8,1.9071500000000015,3.3577438481813835,176.06081578173615,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,7.940175,16.37997758125755,206.2924001203695,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,2.9575250000000004,8.740466996820022,295.53315683958783,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,2.2904,2.8972274205982953,126.49438615954836,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,-2.4635250000000024,4.492206709680667,-182.34873645206207,
23,6S(3S)Galb1-4GlcNAcb-Sp0,14.222850000000001,10.17629807919691,71.54893765452711,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,48.90944999999999,17.256799683313247,35.28316037762283,
25,(3S)Galb1-4Glcb-Sp8,10.360625,6.534263416471156,63.06823590730439,
26,(3S)Galb1-4(6S)Glcb-Sp0,7.149000000000003,8.70000288544014,121.69538236732602,
27,(3S)Galb1-4(6S)Glcb-Sp8,8.6129,8.41500093444241,97.7022946329623,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,0.3854000000000024,7.209861511383793,1870.7476677176305,
29,(3S)Galb1-3GalNAca-Sp8,365.734475,134.29824518901623,36.720149280161856,
30,(3S)Galb1-3GlcNAcb-Sp0,11.751149999999999,7.77844418055437,66.1930464725101,
31,(3S)Galb1-3GlcNAcb-Sp8,13.27747500000001,18.179980853927987,136.92348020936188,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,2.51875,6.196547118893451,246.01675906276733,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,8.190300000000004,10.06189743272444,122.85139045852331,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,-2.4250999999999987,8.638271410801275,-356.2026889943211,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,0.7549499999999973,5.77723830937701,765.2478057324366,
