Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,47.1905,52.243867035981815,110.70844139388609,
2,Glca-Sp8,19.992275,17.81928236571738,89.13083861500195,
3,Mana-Sp8,80.64085,39.11258880151851,48.50220304165756,
4,GalNAca-Sp8,25.34554999999999,12.582247818917942,49.64282810559624,
5,GalNAca-Sp15,27.367725000000007,18.677443643313882,68.24624130545699,
6,Fuca-Sp8,31.259900000000002,39.352423522742995,125.8878739942962,
7,Fuca-Sp9,63.30924999999999,46.1644037504727,72.9188921847482,
8,Rhaa-Sp8,13.778925000000005,5.750984932673157,41.7375443488745,
9,Neu5Aca-Sp8,44.64224999999999,34.72760844021173,77.79090086232603,
10,Neu5Aca-Sp11,54.223975000000024,40.90717732015371,75.44112603355562,
11,Neu5Acb-Sp8,52.919425000000004,14.761605273450693,27.89449294555013,
12,Galb-Sp8,32.40752500000001,12.94996447134765,39.95974537193953,
13,Glcb-Sp8,30.046924999999987,14.816091093666882,49.30984150180721,
14,Manb-Sp8,24.88349999999999,25.24499340714248,101.45274341287396,
15,GalNAcb-Sp8,28.696049999999993,24.181041508931493,84.26609762992292,
16,GlcNAcb-Sp0,24.261574999999993,6.2660542200947456,25.827071078834525,
17,GlcNAcb-Sp8,32.94532500000001,14.597662037548996,44.30875105208096,
18,GlcN(Gc)b-Sp8,41.819524999999985,29.008605148515866,69.36617560461501,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,29.254500000000007,27.639437520205238,94.47926821584792,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,16.908900000000003,7.611559217838769,45.01510575991796,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,36.56085,31.750079837012443,86.84174420729398,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,24.485999999999997,8.442195779535089,34.47764346783913,
23,6S(3S)Galb1-4GlcNAcb-Sp0,38.44252499999999,28.01490632400005,72.8747820909268,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,80.93552500000001,37.64635507618894,46.514006150190454,
25,(3S)Galb1-4Glcb-Sp8,23.605824999999996,8.626073197531081,36.5421382117807,
26,(3S)Galb1-4(6S)Glcb-Sp0,14.251674999999992,10.352171675345952,72.63828059049871,
27,(3S)Galb1-4(6S)Glcb-Sp8,15.375900000000001,6.017465204441589,39.135694199634415,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,39.164075,44.566000463161366,113.79306280861061,
29,(3S)Galb1-3GalNAca-Sp8,32.103849999999994,15.249933677123535,47.501884282176555,
30,(3S)Galb1-3GlcNAcb-Sp0,23.993399999999994,26.474937716640632,110.34258469679428,
