Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Aca2-8Neu5Acb-Sp17,51.309475,15.69340833627825,7.846704168139125,30.58579012215239
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,35.8888,14.495765045005394,7.247882522502697,40.390776635065514
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8,27.155825,16.952811676410324,8.476405838205162,62.42790147752949
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,38.29485000000011,5.604662938725157,2.8023314693625787,14.63555266236881
5,Gala-Sp8,44.06245,13.468249086029529,6.734124543014764,30.566273745625878
6,Glca-Sp8,54.912375000000004,18.911483900595975,9.455741950297988,34.439384383931625
7,Mana-Sp8,77.07577500000001,31.287384277412897,15.643692138706449,40.59301937270549
8,GalNAca-Sp8,43.90407499999999,17.34718066610533,8.673590333052665,39.51155027433179
9,Fuca-Sp8,70.56417499999998,23.977967643564718,11.988983821782359,33.980369845696806
10,Fuca-Sp9,109.584,36.847512702759715,18.423756351379858,33.62490208676423
11,Rha-Sp8,80.0977,33.57162202833425,16.785811014167123,41.9133408678829
12,Neu5Aca-Sp8,167.60205000000008,89.33032448205837,44.665162241029186,53.29906435038135
13,Neu5Aca-Sp11,202.18372500000004,50.26741535019649,25.133707675098243,24.862246132915235
14,Neu5Acb-Sp8,78.064375,34.480285340792975,17.240142670396487,44.169040411574386
15,Galb-Sp8,77.314525,14.264485275530804,7.132242637765402,18.449942330410494
16,Glcb-Sp8,173.59170000000006,154.86138603695431,77.43069301847716,89.21013276380971
17,Manb-Sp8,54.137175,22.31592294848011,11.157961474240055,41.2210702691452
18,GalNAcb-Sp8,39.928375,22.775111325944525,11.387555662972263,57.039915413398425
19,GlcNAcb-Sp0,45.78329999999998,13.213320421201242,6.606660210600621,28.860567982651418
20,GlcNAcb-Sp8,69.27377500000001,41.19387786215932,20.59693893107966,59.465328491423065
21,GlcN(Gc)b-Sp8,69.87832499999999,36.21614345264417,18.108071726322084,51.82743497736125
22,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,78.0307,45.825722711595084,22.912861355797542,58.72781188890409
23,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,43.28530000000002,27.760758709372443,13.880379354686221,64.13437982264747
24,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,642.3325,608.7646849370565,304.38234246852824,94.7740749435933
25,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,91.96615,49.29696743563442,24.64848371781721,53.603382805123864
26,[3OSO3]Galb1-4Glcb-Sp8,59.07785,20.19640680756518,10.09820340378259,34.18608972324683
27,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,418.269775,285.7815699327299,142.89078496636495,68.32470023269788
28,[3OSO3]Galb1-4[6OSO3]Glcb-Sp8,42.56134999999999,21.41848886678674,10.70924443339337,50.32380050629678
29,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb-Sp8,51.54555,16.592797090806194,8.296398545403097,32.19055202787863
30,[3OSO3]Galb1-3GalNAca-Sp8,81.74747499999998,44.62386310308087,22.311931551540436,54.58745129813598
31,[3OSO3]Galb1-3GlcNAcb-Sp8,71.49335000000002,23.137358525913513,11.568679262956756,32.36295197513266
32,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb-Sp8,195.49117500000006,73.55994180890302,36.77997090445151,37.628267265211846
33,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,175.54142500000003,114.8217039366214,57.4108519683107,65.41003295183538
