Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Aca2-8Neu5Acb-Sp17,510.551225,102.59369561473747,51.296847807368735,20.094691892030514
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,163.45369999999997,21.756350504469587,10.878175252234794,13.310405640538935
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8,7563.064125000001,728.9683030850082,364.4841515425041,9.638531302086614
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,113.02669999999998,44.46317595628997,22.231587978144987,39.338648263012175
5,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,152.32965000000002,24.821170815857826,12.410585407928913,16.294379207106314
6,a-D-Gal–Sp8,93.60795,56.793488320904025,28.396744160452013,60.67165056056032
7,a-D-Glc–Sp8,133.74135,61.58845406478402,30.79422703239201,46.0504205055385
8,a-D-Man–Sp8,119.41047499999999,54.51469468460618,27.25734734230309,45.65319305915681
9,a-GalNAc–Sp8,118.50454999999994,33.75161238247248,16.87580619123624,28.481279733539765
10,a-L-Fuc–Sp8,222.48185,93.17843813288219,46.589219066441096,41.881366112733325
11,a-L-Fuc–Sp9,348.96087500000004,71.56753985140499,35.783769925702494,20.50875756527289
12,a-L-Rha-Sp8,103.55564999999999,19.429537301490296,9.714768650745148,18.762411612973604
13,a-Neu5Ac–Sp8,293.1982500000001,32.6650196798246,16.3325098399123,11.140932689681673
14,a-Neu5Ac–Sp11,325.3653750000001,34.428288449796774,17.214144224898387,10.581423561064778
15,b-Neu5Ac-Sp8,217.53172500000005,49.948355156860345,24.974177578430172,22.96141179262948
16,b-D-Gal–Sp8,920.2316249999999,145.05637862149575,72.52818931074788,15.763029076673579
17,b-D-Glc–Sp8,162.228725,22.36136586427223,11.180682932136115,13.783851080794864
18,b-D-Man–Sp8,134.685025,50.848467367684705,25.424233683842353,37.753616163107004
19,b-GalNAc–Sp8,625.6720500000001,66.13572386693501,33.067861933467505,10.570349733048646
20,b-GlcNAc–Sp0,104.1053,11.554996174815722,5.777498087407861,11.099335168157358
21,b-GlcNAc–Sp8,179.122025,22.585137754930074,11.292568877465037,12.608799925598246
22,b-GlcN(Gc)-Sp8,134.61252499999995,43.897666093189684,21.948833046594842,32.610387549887875
23,"(Galb1-4GlcNAcb)2-3,6-GalNAca-Sp8",162.19845000000004,34.994413929511595,17.497206964755797,21.575060630672848
24,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,161.74502500000003,36.54545002024871,18.272725010124354,22.594481666591413
25,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,644.4177999999999,277.6322466382464,138.8161233191232,43.08264710227533
26,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,306.34984999999995,15.689237807172214,7.844618903586107,5.121346658786422
27,[3OSO3]Galb1-4Glcb-Sp8,159.46264999999997,54.80923117970175,27.404615589850874,34.3712030244711
28,[3OSO3]Galb1-4(6OSO3)Glcb–Sp0,704.4754500000001,240.4641105722357,120.23205528611786,34.133781464242034
29,[3OSO3]Galb1-4(6OSO3)Glcb–Sp8,327.294325,36.921933876885575,18.460966938442787,11.280957553078737
30,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb–Sp8,204.75667500000003,89.97550198275715,44.987750991378576,43.94264654998775
31,[3OSO3]Galb1-3GalNAca-Sp8,138.85862499999996,49.62863998871187,24.814319994355934,35.740408626912355
32,[3OSO3]Galb1-3GlcNAcb–Sp8,288.3064750000001,104.24344647942692,52.12172323971346,36.15716451717808
33,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb–Sp8,212.26037499999993,45.1735187602484,22.5867593801242,21.282125201299777
34,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,348.84264999999994,98.85358704365122,49.42679352182561,28.337586313958813
35,[3OSO3]Galb1-4GlcNAcb–Sp0,184.92677500000002,41.49326688234085,20.746633441170424,22.43767398330547
36,[3OSO3]Galb1-4GlcNAcb-Sp8,267.4624,20.473751798013804,10.236875899006902,7.654814956425204
37,[3OSO3]Galb–Sp8,222.0335,19.664896830816684,9.832448415408342,8.85672514769919
38,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,676.6699249999999,137.88707617956499,68.94353808978249,20.37730229839386
39,[4OSO3]Galb1-4GlcNAcb-Sp8,181.64364999999998,60.89655488282297,30.448277441411484,33.525286946624874
40,6-H2PO3Mana-Sp8,192.33820000000003,23.795783970695418,11.897891985347709,12.371844995271566
41,[6OSO3]Galb1-4Glcb–Sp0,214.1767499999999,18.019604729017672,9.009802364508836,8.413427101222554
42,[6OSO3]Galb1-4Glcb–Sp8,238.33905000000001,54.95545410011654,27.47772705005827,23.057679427738147
43,[6OSO3]Galb1-4GlcNAcb–Sp8,187.13604999999998,39.26570254063963,19.632851270319815,20.982436329418963
44,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,366.69797499999993,45.097706747341284,22.548853373670642,12.298324458252406
45,NeuAca2-3[6OSO3]Galb1-4GlcNAcb–Sp8,415.9892500000001,112.92228814521093,56.461144072605464,27.145482279941348
46,[6OSO3]GlcNAcb–Sp8,303.19615000000005,41.40770275504306,20.70385137752153,13.657067464426264
47,9NAcNeu5Aca-Sp8,209.46854999999996,29.970685669445174,14.985342834722587,14.307964450723118
48,9NAcNeu5Aca2-6Galb1-4GlcNAcb-Sp8,611.173325,115.85637714994017,57.928188574970086,18.956386414596903
