Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,60.211074999999994,58.4387319856944,29.2193659928472,97.05645013927158
2,Glca-Sp8,102.28354999999999,80.37093316377921,40.18546658188961,78.57659727666787
3,Mana-Sp8,153.81662499999993,202.0269147048219,101.01345735241095,131.34270414841177
4,GalNAca-Sp8,189.26052499999992,226.16381670597937,113.08190835298969,119.49867343228571
5,Fuca-Sp8,30.871449999999996,16.21395733814947,8.106978669074735,52.52088041912341
6,Fuca-Sp9,142.48174999999995,154.9492657295177,77.47463286475885,108.75025449190352
7,Rha-Sp8,14.971474999999998,38.909766281091514,19.454883140545757,259.8926711034919
8,Neu5Aca-Sp8,31.642799999999998,14.072848448223487,7.036424224111744,44.474093469046636
9,Neu5Aca-Sp11,83.36732500000001,66.17535618150585,33.087678090752924,79.3780491115744
10,Neu5Acb-Sp8,59.75400000000001,19.591031561746117,9.795515780873059,32.786142453636764
11,Galb-Sp8,34.71182499999999,39.924837783379516,19.962418891689758,115.01797379820718
12,Glcb-Sp8,21.059574999999995,26.76833746878016,13.38416873439008,127.10768127457541
13,Manb-Sp8,32.432599999999994,21.992093628392908,10.996046814196454,67.80860500975227
14,GalNAcb-Sp8,41.320625000000064,39.85508519008822,19.92754259504411,96.4532486865534
15,GlcNAcb-Sp0,32.719424999999994,18.14655092616318,9.07327546308159,55.46109360468034
16,GlcNAcb-Sp8,33.060575,8.26140233712373,4.130701168561865,24.988683158486296
17,GlcN(Gc)b-Sp8,460.21577500000006,323.22330547486155,161.61165273743077,70.23299135603544
18,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,87.45630000000003,20.962451193025665,10.481225596512832,23.969057910094133
19,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,85.98707499999999,25.140222624495074,12.570111312247537,29.237211086079014
20,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,133.38795000000002,95.20289223619554,47.60144611809777,71.37293303945036
21,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,40.17814999999996,60.86804783882715,30.434023919413576,151.49539697280042
22,[3OSO3]Galb1-4(Fuca1-3)[6OSO3]Glc-Sp0,874.3814500000001,309.823740589542,154.911870294771,35.43347592627245
23,[3OSO3]Galb1-4Glcb-Sp8,26.75737500000001,20.440098680025162,10.220049340012581,76.39052291200147
24,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,25.603350000000006,21.048361238585766,10.524180619292883,82.20940321710152
25,[3OSO3]Galb1-4[6OSO3]Glcb-Sp8,72.28674999999998,19.44930428755753,9.724652143778766,26.90576666893661
26,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb-Sp8,9.778500000000001,14.182964303228953,7.091482151614477,145.04233065632715
27,[3OSO3]Galb1-3GalNAca-Sp8,9.071974999999995,12.202751303258074,6.101375651629037,134.51041590456413
28,[3OSO3]Galb1-3GlcNAcb-Sp8,166.97979999999998,127.29369386561675,63.64684693280837,76.23298977817483
29,[3OSO3]Galb1-4(Fuca1-3)GlcNAc-Sp0 ,83.4194,109.80062466941301,54.900312334706506,131.62480750210744
30,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb-Sp8,44.1413,41.89085695001558,20.94542847500779,94.90172910633711
31,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,5.665599999999998,7.4336090095367435,3.7168045047683718,131.20603306863785
32,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,36.72132499999998,20.275764712644108,10.137882356322054,55.21523178328702
33,[3OSO3]Galb1-4GlcNAcb-Sp0,57.6889,93.84251183811452,46.92125591905726,162.66996222516727
34,[3OSO3]Galb1-4GlcNAcb-Sp8,276.98172500000004,36.0505077323808,18.0252538661904,13.015482423030182
35,[3OSO3]Galb-Sp8,62.771649999999966,24.09375161883302,12.04687580941651,38.38317396282085
36,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,13.151499999999995,9.548931331829754,4.774465665914877,72.6071652041954
37,[4OSO3]Galb1-4GlcNAcb-Sp8,36.32247500000001,24.945728897665685,12.472864448832842,68.67849423164495
38,6-H2PO3Mana-Sp8,93.3531,29.491504510508356,14.745752255254178,31.591349950358754
39,[6OSO3]Galb1-4Glcb-Sp0,27.00875,35.78438734555425,17.892193672777125,132.4918307791151
40,[6OSO3]Galb1-4Glcb-Sp8,17.909975000000003,16.115568636234098,8.057784318117049,89.98096667490655
41,[6OSO3]Galb1-4GlcNAcb-Sp8,67.89064999999997,51.22154420095141,25.610772100475707,75.44712593111339
42,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,43.362700000000004,12.89602046395192,6.44801023197596,29.73989272797109
43,Neu5Aca2-3[6OSO3]Galb1-4GlcNAcb-Sp8,13607.104674999997,2550.148759570863,1275.0743797854316,18.741303315290793
44,[6OSO3]GlcNAcb-Sp8,-2.5948999999999955,29.634133116841273,14.817066558420636,-1142.0144559266762
45,Neu5Ac(9Ac)a-Sp8,36.30575,14.69010114612328,7.34505057306164,40.462188898792284
46,Neu5Ac(9Ac)a2-6Galb1-4GlcNAcb-Sp8,51.288125,49.019725204885646,24.509862602442823,95.57714423150709
47,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,24.923274999999997,23.30997580927888,11.65498790463944,93.52693740802073
48,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,29.630074999999998,31.627592744666824,15.813796372333412,106.74152105476217
49,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,44.109700000000004,25.716093984247784,12.858046992123892,58.30031486101194
50,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,737.877675,583.5822208679843,291.7911104339922,79.08929090014607
51,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-N(LT)AVL,19096.818,2429.445865816213,1214.7229329081065,12.721731263377034
