Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,2633.9128,2139.7477799436783,1069.8738899718392,81.23836825363688
2,Neu5Acα2-8Neu5Acβ-Sp17,721.0575,96.77232379150026,48.38616189575013,13.420888596471189
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,855.8530499999999,177.65732918024122,88.82866459012061,20.757924410065634
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,526.5990750000001,42.34126945328664,21.17063472664332,8.040513450063814
5,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,666.9058249999999,370.9602457029717,185.48012285148585,55.624082411181774
6,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,517.785075,70.3441470742899,35.17207353714495,13.585588011452417
7,α-D-Gal–Sp8,1273.5801999999999,510.7063217892708,255.3531608946354,40.10005194720135
8,α-D-Glc–Sp8,2658.709,968.0373365912354,484.0186682956177,36.41005226939975
9,α-D-Man–Sp8,478.0302,85.0271282406185,42.51356412030925,17.78697836258431
10,α-GalNAc–Sp8,2596.517,617.253421316413,308.6267106582065,23.772362026376605
11,α-L-Fuc–Sp8,487.8706750000001,135.70876022213523,67.85438011106761,27.816543845791752
12,α-L-Fuc–Sp9,3759.046124999999,1301.8208092484247,650.9104046242123,34.63167957930883
13,α-L-Rhα–Sp8,574.5991499999999,288.7567670171501,144.37838350857504,50.25360149195315
14,α-Neu5Ac–Sp8,3644.6152000000006,1501.0157779986253,750.5078889993126,41.18447889913385
15,α-Neu5Ac–Sp11,1086.9225250000002,107.60265609476603,53.801328047383016,9.899753995324186
16,β-Neu5Ac-Sp8,1504.0528500000005,982.441953726055,491.2209768630275,65.31964310469905
17,β-D-Gal–Sp8,441.70602499999984,226.97374832538674,113.48687416269337,51.385703494849736
18,β-D-Glc–Sp8,3185.7458749999996,5395.417612450984,2697.708806225492,169.36120532372925
19,β-D-Man–Sp8,800.1930749999999,390.43519191769786,195.21759595884893,48.792623195058006
20,β-GalNAc–Sp8,2671.11885,957.3522312059044,478.6761156029522,35.840869873907124
21,β-GlcNAc–Sp0,663.8630250000001,416.0177948154475,208.00889740772374,62.666209616878035
22,β-GlcNAc–Sp8,3024.1466499999997,1375.0129622606032,687.5064811303016,45.467800387940954
