Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Aca2-8Neu5Acb-Sp17,253.87957499999996,144.2511549123583,72.12557745617914,56.81873183865158
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,1012.5497249999999,109.66691881880142,54.83345940940071,10.830768712993471
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8,85.211575,9.792641689001329,4.896320844500664,11.492149615825467
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,98.8245,19.877999706711254,9.938999853355627,20.114445007777682
5,Gala-Sp8,52.80890000000001,24.52867202180612,12.26433601090306,46.44798892195466
6,Glca-Sp8,52.3699,10.46374019905565,5.231870099527825,19.98044716345773
7,Mana-Sp8,64.190275,25.55665668306078,12.77832834153039,39.813907454144385
8,GalNAca-Sp8,116.98632499999997,9.199375698157777,4.599687849078888,7.8636333760871455
9,Fuca-Sp8,61.920775000000006,16.35203700590539,8.176018502952695,26.40799797144882
10,Fuca-Sp9,267.9708499999999,112.80551747594923,56.402758737974615,42.09618974449992
11,Rha-Sp8,242.77430000000004,64.7014609804655,32.35073049023275,26.650869132550476
12,Neu5Aca-Sp8,190.11487500000007,39.55023667247971,19.775118336239856,20.80333623157036
13,Neu5Aca-Sp11,60.021800000000006,50.63380585820765,25.316902929103826,84.35902598423847
14,Neu5Acb-Sp8,1005.082875,163.2270584327948,81.6135292163974,16.240159144368548
15,Galb-Sp8,91.35280000000002,35.032078556755174,17.516039278377587,38.34811692335119
16,Glcb-Sp8,143.29915000000005,12.56474447664128,6.28237223832064,8.768191909471392
17,Manb-Sp8,43.61105000000002,8.770348972342319,4.3851744861711595,20.1103825116394
18,GalNAcb-Sp8,79.49215000000001,31.09186361225923,15.545931806129614,39.11312451891064
19,GlcNAcb-Sp0,84.2645,5.3052443468706025,2.6526221734353013,6.295942356354814
20,GlcNAcb-Sp8,426.3072,114.01531498487373,57.00765749243686,26.74487200424335
21,GlcN(Gc)b-Sp8,31.724925,7.489032512225236,3.744516256112618,23.606147255589214
22,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,141.25240000000002,45.106045441307835,22.553022720653917,31.932940920867768
