Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Aca2-8Neu5Acb-Sp17,81.50847500000003,24.18437543668433,12.092187718342165,29.670994871004915
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,70.04165,41.18016340071999,20.590081700359995,58.793822533763816
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8,44.65925,18.512170981726236,9.256085490863118,41.45204180931439
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,67.18584999999999,54.38234584363449,27.191172921817245,80.94315372006828
5,Gala-Sp8,7.704499999999996,20.648093442414158,10.324046721207079,268.00043406339375
6,Glca-Sp8,31.24492500000001,1.207560274202922,0.603780137101461,3.864820524302496
7,Mana-Sp8,13.639275000000001,19.30407870086441,9.652039350432204,141.53302650518015
8,GalNAca-Sp8,51.715075000000006,25.077833313423085,12.538916656711542,48.492307733137935
9,Fuca-Sp8,59.05917500000001,22.89236184587557,11.446180922937785,38.76173659025133
10,Fuca-Sp9,66.99962500000001,19.163511810621614,9.581755905310807,28.602416521915774
11,Rha-Sp8,87.50607499999998,16.942463236372348,8.471231618186174,19.361470888018175
12,Neu5Aca-Sp8,159.94525000000002,130.7853225907377,65.39266129536885,81.76880688281626
13,Neu5Aca-Sp11,7.41129999999999,9.64623142717749,4.823115713588745,130.1557274321307
14,Neu5Acb-Sp8,415.87082499999997,153.3330823672086,76.6665411836043,36.87036289867379
15,Galb-Sp8,65.72390000000001,23.00028027684298,11.50014013842149,34.9953065427386
16,Glcb-Sp8,35.18862500000001,3.172584251967639,1.5862921259838194,9.015936973859132
17,Manb-Sp8,26.943325,16.57616705602253,8.288083528011265,61.52235129117334
18,GalNAcb-Sp8,40.84955000000001,15.467312099284333,7.733656049642167,37.8640942171562
19,GlcNAcb-Sp0,18.827624999999998,18.42770229235956,9.21385114617978,97.87587277927811
20,GlcNAcb-Sp8,75.14242499999999,7.01797945393373,3.508989726966865,9.339570094967964
21,GlcN(Gc)b-Sp8,28.661025000000002,3.8952572190422017,1.9476286095211008,13.590781275415662
22,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,29.791525,22.893100487901727,11.446550243950863,76.8443390793245
23,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,53.673899999999975,15.759450521935568,7.879725260967784,29.36147833851383
24,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,115.47547500000002,46.524196800688166,23.262098400344083,40.28924479478275
25,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,53.41724999999998,25.252869207874184,12.626434603937092,47.274745906751455
26,[3OSO3]Galb1-4Glcb-Sp8,64.606,18.09723746892528,9.04861873446264,28.0116977818241
27,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,82.077975,33.21046496476432,16.60523248238216,40.46209103570638
28,[3OSO3]Galb1-4[6OSO3]Glcb-Sp8,21.3035,9.258807985552632,4.629403992776316,43.46144054053387
29,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb-Sp8,63.819725000000005,35.64039436354569,17.820197181772844,55.84542140152702
30,[3OSO3]Galb1-3GalNAca-Sp8,29.902925000000007,14.136172659852694,7.068086329926347,47.273544845036696
31,[3OSO3]Galb1-3GlcNAcb-Sp8,48.47375,15.408523429258162,7.704261714629081,31.787355897280822
32,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb-Sp8,79.01115000000001,48.05460617328993,24.027303086644967,60.82003131620021
33,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,63.21875,21.269055401764632,10.634527700882316,33.643587387862986
34,[3OSO3]Galb1-4GlcNAcb-Sp0,47.64657499999999,22.161509478278656,11.080754739139328,46.51228231678491
35,[3OSO3]Galb1-4GlcNAcb-Sp8,76.427625,43.39020214644275,21.695101073221377,56.77293013677025
36,[3OSO3]Galb-Sp8,81.72252500000002,34.164978843680906,17.082489421840453,41.806073470785314
37,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,121.00467500000002,8.025695888155733,4.012847944077866,6.632550261513227
38,[4OSO3]Galb1-4GlcNAcb-Sp8,61.69485000000002,12.819668066555536,6.409834033277768,20.779154283632316
39,6-H2PO3Mana-Sp8,81.24504999999999,40.30222091767257,20.151110458836285,49.60575557239804
40,[6OSO3]Galb1-4Glcb-Sp0,26.62475,12.763169439315087,6.3815847196575435,47.93723674143452
41,[6OSO3]Galb1-4Glcb-Sp8,22.012675,20.777643893437418,10.388821946718709,94.38945468207484
42,[6OSO3]Galb1-4GlcNAcb-Sp8,53.361049999999985,17.590085716391542,8.795042858195771,32.96427959418255
43,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,98.69662500000001,49.24726261322381,24.623631306611905,49.897615661349924
44,Neu5Aca2-3[6OSO3]Galb1-4GlcNAcb-Sp8,38.936550000000004,16.770581273468157,8.385290636734078,43.07156456714361
45,[6OSO3]GlcNAcb-Sp8,133.60245,147.7263346186793,73.86316730933964,110.57157605918103
46,Neu5Ac(9Ac)a-Sp8,6661.593350000001,665.4743318741249,332.73716593706246,9.98971712787189
47,Neu5Ac(9Ac)a2-6Galb1-4GlcNAcb-Sp8,9937.1908,1765.4162443832397,882.7081221916199,17.765747683774368
48,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,5.0425,21.041813140665084,10.520906570332542,417.2893037315832
49,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,59.969300000000004,30.67735193993546,15.33867596996773,51.15509425645365
50,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,8.079825000000003,7.067892677158687,3.5339463385793435,87.47581385931854
51,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,72.56967500000003,102.33041393891243,51.165206969456214,141.0098831762887
52,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,38.603075000000004,14.315687492950884,7.157843746475442,37.08431904181437
53,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,31.018025,10.847550766993422,5.423775383496711,34.97176485928237
54,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp8,28.94155,15.70420814102597,7.852104070512985,54.261807474119294
