Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,295.891675,85.49519424296619,42.747597121483096,28.8940857301802
2,Neu5Acα2-8Neu5Acβ-Sp17,125.69497500000001,63.98407744308343,31.992038721541714,50.90424453569716
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,88.02894999999998,32.68729987650658,16.34364993825329,37.13244322067523
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,187.19317500000002,129.10887485323826,64.55443742661913,68.97093061925908
5,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,155.31397499999997,86.07515074810603,43.03757537405301,55.420093876359836
6,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,579.0744500000001,330.96401789041965,165.48200894520983,57.1539666256074
7,α-D-Gal–Sp8,241.53047500000002,132.46262290989552,66.23131145494776,54.84302670704204
8,α-D-Glc–Sp8,312.144525,176.53092320922835,88.26546160461417,56.55422699124016
9,α-D-Man–Sp8,141.952425,43.930455736719026,21.965227868359513,30.947309097903066
10,α-GalNAc–Sp8,299.2799250000001,156.11567099221367,78.05783549610683,52.16376306971261
11,α-L-Fuc–Sp8,306.99649999999997,88.7938863145058,44.3969431572529,28.923419750552792
12,α-L-Fuc–Sp9,203.59120000000001,114.61002017688789,57.30501008844394,56.29419158435526
13,α-L-Rhα–Sp8,856.230875,77.04948790646876,38.52474395323438,8.998681331885953
14,α-Neu5Ac–Sp8,258.544025,112.9859347416416,56.4929673708208,43.70084930086534
15,α-Neu5Ac–Sp11,287.48995,59.37252738567968,29.68626369283984,20.652035796618172
16,β-Neu5Ac-Sp8,140.680075,46.25438275604274,23.12719137802137,32.87912858735876
17,β-D-Gal–Sp8,431.100825,192.5734718749942,96.2867359374971,44.67017011043628
18,β-D-Glc–Sp8,310.77325,95.08624769294086,47.54312384647043,30.59666418938594
19,β-D-Man–Sp8,294.51912500000003,130.5224304971466,65.2612152485733,44.31713237540909
20,β-GalNAc–Sp8,182.706975,38.085118790447396,19.042559395223698,20.84491782015842
21,β-GlcNAc–Sp0,132.8635,38.947326212634025,19.473663106317012,29.313789123900868
22,β-GlcNAc–Sp8,204.201525,102.05907095881206,51.02953547940603,49.97958313916219
23,β-GlcN(Gc)-Sp8,227.32787500000003,94.65662575545973,47.328312877729864,41.6388116747494
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",115.86860000000001,37.122873113037215,18.561436556518608,32.03876901337999
25,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,365.64572499999997,106.06915577764553,53.03457788882277,29.00872306866039
26,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,2001.6962499999995,182.3937175631315,91.19685878156575,9.111957798948344
27,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,1045.0049,208.56357514313646,104.28178757156823,19.958143272164225
28,[3OSO3]Galβ1-4Glcβ-Sp8,745.0216000000001,438.3214100170407,219.16070500852035,58.833382819644505
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,807.140275,157.304941228291,78.6524706141455,19.489170110894417
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,570.0046999999998,133.08159717276217,66.54079858638109,23.34745611268858
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,591.59695,116.86074442059949,58.430372210299744,19.75343930028704
32,[3OSO3]Galβ1-3GalNAcα–Sp8,458.010575,240.3730728657071,120.18653643285354,52.481991898485546
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,421.5868999999999,202.24193194252967,101.12096597126484,47.97158828761751
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,182.21677500000004,40.049424673718164,20.024712336859082,21.978999833422666
35,[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp8,1347.9382750000002,286.5291974394484,143.2645987197242,21.256848533323854
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,145.77869999999996,71.9556435086228,35.9778217543114,49.359504172161515
37,[3OSO3]Galβ1-4GlcNAcβ-Sp8,386.592625,91.9902971871627,45.99514859358135,23.795150563765333
38,[3OSO3]Galβ–Sp8,651.643425,69.81976360603285,34.909881803016425,10.71441234998003
39,[4OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,1081.62295,98.77668631431438,49.38834315715719,9.132266129737204
40,[4OSO3]Galβ1-4GlcNAcβ-Sp8,202.12595,164.33739408303686,82.16869704151843,81.30445105293846
41,6-H2PO3Manα–Sp8,252.73354999999998,88.44623983266155,44.22311991633077,34.99584437153736
42,[6OSO3]Galβ1-4Glcβ–Sp0,344.33395000000013,64.8825154918509,32.44125774592545,18.84290395758271
43,[6OSO3]Galβ1-4Glcβ–Sp8,254.00614999999996,128.40356427255702,64.20178213627851,50.55136037948571
44,[6OSO3]Galβ1-4GlcNAcβ–Sp8,680.1683500000001,599.9836649385347,299.99183246926737,88.21105318095654
45,[6OSO3]Galβ1-4[6OSO3]Glcβ-Sp8,885.06915,214.70649686885758,107.35324843442879,24.25872564520609
46,NeuAcα2-3[6OSO3]Galβ1-4GlcNAcβ–Sp8,160.34609999999998,23.52668315976576,11.76334157988288,14.672438655985873
