Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,6177.303899999999,462.8934869715961,231.44674348579804,7.493454984003558
2,Neu5Acα2-8Neu5Acβ-Sp17,2063.8202749999996,435.48853080019126,217.74426540009563,21.10108792298745
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,2149.4849750000008,766.3898015800665,383.1949007900333,35.65457821262818
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,3383.0073499999994,2144.230746425591,1072.1153732127955,63.382385096668244
5,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,2679.6034999999997,2420.56809843632,1210.28404921816,90.33306974096429
6,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,7659.624974999998,3438.649627682055,1719.3248138410274,44.89318522650067
7,α-D-Gal–Sp8,2813.5617999999995,104.13873686299817,52.069368431499086,3.7013132913234106
8,α-D-Glc–Sp8,5110.025524999999,777.9328742565214,388.9664371282607,15.22365926453022
9,α-D-Man–Sp8,6593.259975,1827.1559109581362,913.5779554790681,27.712480895433465
10,α-GalNAc–Sp8,8022.791624999998,2394.707360439515,1197.3536802197575,29.84880416160024
11,α-L-Fuc–Sp8,48234.423624999996,10969.126594040557,5484.563297020279,22.74128261450861
12,α-L-Fuc–Sp9,40006.274175,3793.187277944273,1896.5936389721364,9.481480983087005
13,α-L-Rhα–Sp8,12190.757425000003,5593.341978612968,2796.670989306484,45.88182492371237
14,α-Neu5Ac–Sp8,6535.593850000001,632.6786064193684,316.3393032096842,9.68050679005043
15,α-Neu5Ac–Sp11,1876.9095499999999,216.56922162936797,108.28461081468399,11.53860726156825
16,β-Neu5Ac-Sp8,2632.851775,605.1663794796846,302.5831897398423,22.985205062661933
17,β-D-Gal–Sp8,40100.969099999995,3446.8975604755246,1723.4487802377623,8.595546785615028
18,β-D-Glc–Sp8,10190.0496,3211.210009123389,1605.6050045616946,31.513193116580997
19,β-D-Man–Sp8,4525.6897500000005,916.3390049597151,458.16950247985756,20.247499399615606
20,β-GalNAc–Sp8,11417.419625,2037.6023422275036,1018.8011711137518,17.846434738773155
21,β-GlcNAc–Sp0,3734.77685,711.8637986976909,355.93189934884543,19.06041049541396
22,β-GlcNAc–Sp8,7409.91395,1290.98011681896,645.49005840948,17.42233615032682
23,β-GlcN(Gc)-Sp8,7629.326574999999,2748.485114153035,1374.2425570765174,36.025264971083445
