Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,16.036875,10.622130243152768,5.311065121576384,66.23566151854877
2,Glca-Sp8,17.740949999999994,17.5890257206968,8.7945128603484,99.14365195041306
3,Mana-Sp8,26.804774999999992,32.79025272438697,16.395126362193484,122.32989355212635
4,GalNAca-Sp8,40.5148,17.801978560822917,8.900989280411459,43.93944573544215
5,GalNAca-Sp15,170.94490000000002,88.55374056097233,44.276870280486165,51.80250511186488
6,Fuca-Sp8,229.86817500000004,245.962212510179,122.9811062550895,107.00142049249703
7,Fuca-Sp9,360.4299250000001,73.322423523611,36.6612117618055,20.343045468161662
8,Rhaa-Sp8,78.5309,19.81322741352346,9.90661370676173,25.229848904728534
9,Neu5Aca-Sp8,2670.875525,478.16141760432373,239.08070880216187,17.902796784373685
10,Neu5Aca-Sp11,2454.6975999999995,668.2898269460644,334.1449134730322,27.22493503664421
11,Neu5Acb-Sp8,494.5279999999999,71.65531968542228,35.82765984271114,14.48963854128023
12,Galb-Sp8,530.8053,171.8324444425442,85.9162222212721,32.37202877261101
13,Glcb-Sp8,10.471549999999997,6.158619225389197,3.0793096126945985,58.81287130739192
14,Manb-Sp8,5.759125000000002,5.495651865717722,2.747825932858861,95.4251186719809
15,GalNAcb-Sp8,13.682699999999999,8.515551533909395,4.257775766954698,62.235900326027725
16,GlcNAcb-Sp0,14.072075000000002,5.029309316645762,2.514654658322881,35.73964263724974
17,GlcNAcb-Sp8,19.004475000000006,10.232341709949226,5.116170854974613,53.8417489036094
18,GlcN(Gc)b-Sp8,28.298074999999997,30.15336117620222,15.07668058810111,106.55622750382217
19,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,28.882824999999997,20.568635622289104,10.284317811144552,71.21407141541421
20,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,23.777775,31.17258309491158,15.58629154745579,131.09966384538328
21,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,1096.78725,378.00217939500783,189.00108969750391,34.46449431236621
22,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,721.0602750000002,151.9287220717075,75.96436103585376,21.070183359041305
23,[3OSO3]Galb1-4(Fuca1-3)[6OSO3]Glc-Sp0,248.170875,75.75486433760642,37.87743216880321,30.52528397524747
24,[3OSO3]Galb1-4Glcb-Sp8,424.96090000000004,110.30807746697397,55.154038733486985,25.95722982207868
25,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,59.37509999999999,10.45565788588471,5.227828942942355,17.60949941285945
26,[3OSO3]Galb1-4[6OSO3]Glcb-Sp8,47.30839999999999,50.327299453345105,25.163649726672553,106.38131801824859
27,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb-Sp8,53.470250000000014,54.86654633863876,27.43327316931938,102.61135180523515
28,[3OSO3]Galb1-3GalNAca-Sp8,20.119175000000006,12.605905791169194,6.302952895584597,62.656176464339076
29,[3OSO3]Galb1-3GlcNAcb-Sp0,70.76122500000001,63.381490178988145,31.690745089494072,89.57093405178915
30,[3OSO3]Galb1-3GlcNAcb-Sp8,101.84577500000003,30.525143808274343,15.262571904137172,29.971929427876937
31,[3OSO3]Galb1-4(Fuca1-3)GlcNAc-Sp0,306.660825,115.03225336670795,57.516126683353974,37.51123195038295
32,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb-Sp8,52.6318,27.936070231989827,13.968035115994914,53.07831051187652
33,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,1915.8616499999998,455.7299100969086,227.8649550484543,23.787203533037403
34,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,1539.16055,450.03444266913266,225.01722133456633,29.2389538355263
35,[3OSO3]Galb1-4GlcNAcb-Sp0,935.1277999999999,101.01907609430567,50.50953804715284,10.802702699492592
36,[3OSO3]Galb1-4GlcNAcb-Sp8,747.741575,242.40730159362445,121.20365079681223,32.41859349516903
37,[3OSO3]Galb-Sp8,15.46185,9.624416517898633,4.812208258949316,62.24621580146381
38,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,56.762950000000004,17.149314325360045,8.574657162680023,30.212161850925725
39,[4OSO3]Galb1-4GlcNAcb-Sp8,3.565975,2.546136761677711,1.2730683808388554,71.40085843781044
40,6-H2PO3Mana-Sp8,103.73052500000001,56.07476457655291,28.037382288276454,54.0581131509292
41,[6OSO3]Galb1-4Glcb-Sp0,21.00865,18.513526352102684,9.256763176051342,88.12335086786959
42,[6OSO3]Galb1-4Glcb-Sp8,86.40139999999998,29.507987286721864,14.753993643360932,34.152209671049164
43,[6OSO3]Galb1-4GlcNAcb-Sp8,28.2118,9.812155841947604,4.906077920973802,34.7803254026599
44,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,395.3635750000001,138.90367755437242,69.45183877718621,35.13314992519794
45,Neu5Aca2-3[6OSO3]Galb1-4GlcNAcb-Sp8,164.99535,63.29816645762073,31.649083228810365,38.36360628200779
46,[6OSO3]GlcNAcb-Sp8,188.13017499999998,78.53231351345681,39.26615675672841,41.743603073487186
47,[9NAc]Neu5Aca-Sp8,210.36755000000002,37.633559015547036,18.816779507773518,17.8894316236259
