Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,15.145999999999995,3.958035902650084,26.13254920540133,
2,Glca-Sp8,17.9114,8.419310012504987,47.0053151205656,
3,Mana-Sp8,38.14385,18.51389570394807,48.53703992635266,
4,GalNAca-Sp8,13698.829950000001,7426.970464140882,54.21609357331194,
5,GalNAca-Sp15,1515.3739499999997,133.53995599232104,8.812343381798339,
6,Fuca-Sp8,8.295199999999998,4.935912338497623,59.50323486471242,
7,Fuca-Sp9,3700.4912500000005,887.259827864102,23.976811939876953,
8,Rhaa-Sp8,16.252025,3.2167385349916056,19.792847568174462,
9,Neu5Aca-Sp8,2.758474999999999,6.652527809474633,241.16686971876254,
10,Neu5Aca-Sp11,9.494225,3.5201060839838263,37.07628673202738,
11,Neu5Acb-Sp8,14.6674,3.855766126206305,26.28800009685633,
12,Galb-Sp8,13.143825000000003,17.387234169810718,132.28443143309283,
13,Glcb-Sp8,18.91405,5.331308059941754,28.187025306276308,
14,Manb-Sp8,1.2303000000000015,5.470580880186917,444.6542209369187,
15,GalNAcb-Sp8,2736.265,331.908253491704,12.129974746294822,
16,GlcNAcb-Sp0,39.02780000000001,22.359253626332563,57.290581652905246,
17,GlcNAcb-Sp8,-0.5388499999999992,2.791369583197467,-518.023491360763,
18,GlcN(Gc)b-Sp8,9.691925000000001,14.202183239998702,146.5362478558047,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,-10.1432,11.142531240551525,-109.8522284934885,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,15.016850000000005,9.643163262643633,64.21561953834279,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,-246.44867499999995,156.5740765611043,-63.532123498373174,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,15.323699999999995,9.187397201964586,59.95547551808368,
23,6S(3S)Galb1-4GlcNAcb-Sp0,16.050974999999994,5.53183337262612,34.46415792577163,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,18.1659,1.0045966056084636,5.530122953492332,
25,(3S)Galb1-4Glcb-Sp8,13.266800000000002,5.617697023395497,42.34402435700769,
26,(3S)Galb1-4(6S)Glcb-Sp0,15.365575000000005,15.110784411886101,98.34180895857197,
27,(3S)Galb1-4(6S)Glcb-Sp8,18.288075000000003,6.255454223515641,34.205099353079206,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,17.815599999999996,4.923263932934485,27.634567081291035,
29,(3S)Galb1-3GalNAca-Sp8,17.4373,11.789529996568989,67.6109833321041,
30,(3S)Galb1-3GlcNAcb-Sp0,8.5106,11.058319795520479,129.935842308656,
31,(3S)Galb1-3GlcNAcb-Sp8,-162.896025,12.912661035426781,-7.926934395990805,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,7.155574999999999,7.848032571872178,109.67717579470803,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,8.339875,7.17310279789483,86.00971594771902,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,8.99015,9.815622905857783,109.18197033261718,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,10.895400000000002,8.324072818438497,76.39988268846022,
36,(3S)Galb1-4GlcNAcb-Sp0,7.766775000000002,9.004995925364616,115.94253632124807,
37,(3S)Galb1-4GlcNAcb-Sp8,8.886374999999997,6.5255197812766905,73.4328652715724,
38,(3S)Galb-Sp8,12.66855,8.97542193418597,70.84806022935514,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,26.348675000000004,8.616374981539485,32.70135967573126,
40,(4S)Galb1-4GlcNAcb-Sp8,10.740200000000002,4.7138936934696885,43.89018541060397,
41,(6P)Mana-Sp8,12.181275000000003,9.785642959756572,80.33348692773598,
42,(6S)Galb1-4Glcb-Sp0,25.395525,12.283543447060932,48.368928963118236,
43,(6S)Galb1-4Glcb-Sp8,2.3223249999999993,5.368152135434198,231.15421551394402,
44,(6S)Galb1-4GlcNAcb-Sp8,11.578149999999997,7.785404361367491,67.24221366425114,
45,(6S)Galb1-4(6S)Glcb-Sp8,11.886699999999998,6.391341524802662,53.7688469028634,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,13.07045,4.383006505813112,33.53370775920578,
47,(6S)GlcNAcb-Sp8,15.97805,5.608894384517035,35.103747857323235,
48,"Neu5,9Ac2a-Sp8",20.552025,9.357817171532757,45.532336456056065,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",19.28335,7.435551078658081,38.55943639802255,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,2.2713,5.4410798971037595,239.55795787010783,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,15.183525000000003,5.4156952673840815,35.66823426960525,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,33.27207500000001,20.735950964347726,62.32238585765306,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,12.997625,9.44810762229665,72.6910310329514,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,0.7881999999999998,18.860488996488577,2392.8557468267677,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,18.337574999999998,8.658165365085559,47.21543260265089,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,6.275449999999999,4.709239933365041,75.04226682333605,
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,11.196225,5.777294728720358,51.60038074190505,
58,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,11.603549999999998,8.432466543267953,72.67143713146368,
59,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,4.854125,6.071187689612304,125.0727513117669,
60,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,12.505074999999998,5.540816375093116,44.30854173280142,
61,Fuca1-2Galb1-3GalNAca-Sp8,11.56815,6.040092819651048,52.21312672856981,
62,Fuca1-2Galb1-3GalNAca-Sp14,23.83132499999999,11.750631349669444,49.30750325325784,
63,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,223.1489,15.057063143255338,6.747540831819175,
64,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,4.14945,5.64975547582961,136.1567310325371,
65,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,6.4525,2.1496661585774963,33.31524461181707,
66,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,6.838674999999999,6.547364184858409,95.74024478218968,
67,Fuca1-2Galb1-3GlcNAcb-Sp0,6.961575000000001,11.235512871063488,161.39326044844,
68,Fuca1-2Galb1-3GlcNAcb-Sp8,21.518250000000002,6.242093316882293,29.008368788736504,
69,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,25.416100000000004,11.94972059338627,47.016342371120146,
70,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,4.928375000000001,6.799602042950744,137.968438744023,
71,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,13.8551,8.920523104243006,64.38440072062278,
72,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,8.438075000000001,2.9578657084402336,35.05379732273336,
73,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,9.186575000000003,6.961716297664418,75.78141252495533,
74,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,14.731024999999974,11.442506255005538,77.67623946742034,
75,Fuca1-2Galb1-4GlcNAcb-Sp0,5.075925000000002,9.583218265758468,188.7974756474626,
76,Fuca1-2Galb1-4GlcNAcb-Sp8,14.593499999999999,8.071869863090383,55.31140482468485,
77,Fuca1-2Galb1-4Glcb-Sp0,25.053575000000002,11.225704530637126,44.80679715624267,
78,Fuca1-2Galb-Sp8,13.586775000000003,11.511997281206236,84.72943197488907,
79,Fuca1-3GlcNAcb-Sp8,3.6422749999999997,8.224234424096874,225.79938154304315,
80,Fuca1-4GlcNAcb-Sp8,7.015849999999999,3.5491490721955774,50.58758485708187,
81,Fucb1-3GlcNAcb-Sp8,21.745675,18.851079957635484,86.68887012077337,
82,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,801.652325,76.29697180978106,9.517464046496848,
83,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,149.296875,39.06533332801835,26.16620965979251,
84,(3S)Galb1-4(Fuca1-3)Glcb-Sp0,13.1489,8.35872349145889,63.56975481948217,
85,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,93.09660000000002,16.21968786362204,17.422427740241893,
86,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,1286.6187249999998,89.48027145799718,6.954684376911831,
87,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,538.1582,70.52457229462725,13.104803066203813,
88,GlcNAcb1-3Galb1-3GalNAca-Sp8,24.794075000000003,17.19297746414215,69.34308887967043,
89,GalNAca1-3(Fuca1-2)Galb-Sp8,676.7274,49.580926804436224,7.326572975238807,
90,GalNAca1-3(Fuca1-2)Galb-Sp18,757.781125,202.76687943649935,26.757974400127654,
91,GalNAca1-3GalNAcb-Sp8,548.120625,49.445644356494405,9.02094212501024,
92,GalNAca1-3Galb-Sp8,1971.1722,47.06861270345556,2.387848849707578,
93,GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,2437.5029999999997,56.427383192189446,2.314966717669248,
94,GalNAcb1-3GalNAca-Sp8,429.6345500000001,14.940040627674165,3.4773834245114044,
95,GalNAcb1-3(Fuca1-2)Galb-Sp8,2156.977325,240.96491904470923,11.171416419257408,
96,GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,1379.7788999999998,110.5087987437506,8.009167174809718,
97,GalNAcb1-4(Fuca1-3)GlcNAcb-Sp0,2249.4240749999994,173.561674039784,7.71582717410829,
98,GalNAcb1-4GlcNAcb-Sp0,1898.2283750000004,315.52002803329094,16.621816014803322,
99,GalNAcb1-4GlcNAcb-Sp8,423.4954499999999,362.2147237763491,85.5297793108165,
100,Gala1-2Galb-Sp8,9.555725,4.468188927201572,46.759287518231964,
101,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,14.609124999999995,2.7929138050609406,19.117598111186958,
102,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp8,5.9979,11.24627222416388,187.50349662655063,
103,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,-146.60264999999998,93.01611108435286,-63.44776924861376,
104,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp8,17.000249999999998,6.187817550908679,36.39839149958783,
105,Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,13.64835,11.140626805376193,81.62618049343835,
106,Gala1-3(Fuca1-2)Galb1-4Glcb-Sp0,12.031199999999956,13.206043921126009,109.76497706900439,
107,Gala1-3(Fuca1-2)Galb-Sp8,10.39725,9.829580082757008,94.54019171181811,
108,Gala1-3(Fuca1-2)Galb-Sp18,-0.9179999999999984,6.003847262658617,-654.013863034709,
109,Gala1-4(Gala1-3)Galb1-4GlcNAcb-Sp8,21.179000000000002,6.286741602239852,29.68384532905166,
110,Gala1-3GalNAca-Sp8,3.0609249999999992,8.233237000667883,268.97872377362677,
111,Gala1-3GalNAca-Sp16,33.493449999999996,11.661140444370504,34.81618180381688,
112,Gala1-3GalNAcb-Sp8,2.353674999999999,7.177198332857095,304.9358272852921,
113,Gala1-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,14.104350000000002,3.1237969102786667,22.147755198067735,
