Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,19.108000000000004,73.20109840246025,36.60054920123012,383.09136697959093
2,Neu5Acα2-8Neu5Acβ-Sp17,19.24735000000001,33.085990923904134,16.542995461952067,171.89894153690827
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,69.79449999999999,79.18511479556412,39.59255739778206,113.45466304015952
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,-7.37447499999999,23.422573008585125,11.711286504292563,-317.61682029683686
5,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,113.12755000000001,37.96922123409075,18.984610617045377,33.56319590947629
6,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,48.739675000000005,73.97824686304317,36.989123431521584,151.7823967087248
7,α-D-Gal–Sp8,40.17375,19.77031127600171,9.885155638000855,49.21201350633613
8,α-D-Glc–Sp8,29.21647499999999,50.04183449470884,25.02091724735442,171.2795075200169
9,α-D-Man–Sp8,23.515800000000013,17.900069431895133,8.950034715947567,76.11933011802755
10,α-GalNAc–Sp8,17.795725000000004,30.9922332311797,15.49611661558985,174.15549650930035
11,α-L-Fuc–Sp8,81.0051,58.046006997668016,29.023003498834008,71.65722528293654
12,α-L-Fuc–Sp9,54.00070000000005,61.91328671768822,30.95664335884411,114.65274842305408
13,α-L-Rhα–Sp8,104.01875,125.47997083499023,62.73998541749511,120.6320695403379
14,α-Neu5Ac–Sp8,79.17857500000002,36.66809102933818,18.33404551466909,46.31062257604177
15,α-Neu5Ac–Sp11,-10.399174999999929,19.456154075687568,9.728077037843784,-187.09324610546224
16,β-Neu5Ac-Sp8,27.996675000000025,25.35161046053087,12.675805230265436,90.55221900647433
17,β-D-Gal–Sp8,81.16307499999999,69.55175810029893,34.77587905014946,85.6938430441416
18,β-D-Glc–Sp8,38.93824999999998,22.32526538199859,11.162632690999295,57.3350507072059
19,β-D-Man–Sp8,58.24649999999998,20.779267300685355,10.389633650342677,35.67470543412112
20,β-GalNAc–Sp8,15.297000000000025,23.520411800958485,11.760205900479242,153.75833039784564
21,β-GlcNAc–Sp0,57.44809999999998,21.892942311774082,10.946471155887041,38.1090798682186
22,β-GlcNAc–Sp8,8.059525000000022,56.920780374269604,28.460390187134802,706.2547777228739
23,β-GlcN(Gc)-Sp8,91.51502500000001,79.50759824278329,39.753799121391644,86.87928374907102
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",7.305499999999981,25.77520015609318,12.88760007804659,352.8191110272158
25,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,81.95530000000002,78.40048951688156,39.20024475844078,95.66250079846152
26,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,8.886624999999995,28.070628819268826,14.035314409634413,315.875023636857
27,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,29.833050000000014,29.847957258691352,14.923978629345676,100.0499689394525
28,[3OSO3]Galβ1-4Glcβ-Sp8,57.556824999999975,97.64826951705714,48.82413475852857,169.65541361438403
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,18.14047499999998,24.66785375752213,12.333926878761066,135.98240265220264
