Chart Number,Structure,RFU,StDev,SEM,CV
1,Alpha1-acid glycoprotein (AGP),14126.442333333334,3876.141216496269,1582.4280252311203,
2,AGP-A (AGP ConA flowthrough),4236.875849999999,3407.298929422473,1391.0239630360754,
3,AGP-B (AGP ConA bound),9981.390316666668,1030.165246633864,420.5632008335588,
4,Ceruloplasmin,6650.3975666666665,5717.266997837943,2334.0644779928025,
5,Fibrinogen,4025.28075,762.6834470146283,311.36421340880827,
6,Transferrin,6808.090516666667,9089.043149627018,3710.5863277875155,
7,α-D-Gal–Sp8,1130.8621166666667,1200.3642246325962,490.0466426402379,
8,α-D-Glc–Sp8,1288.138316666667,1021.0961757150193,416.86076813484493,
9,α-D-Man–Sp8,1300.5158752136754,1555.088551181191,101.65931881843107,
10,α-GalNAc–Sp8,759.7237166666667,754.8612154773548,308.17080075610386,
11,α-L-Fuc–Sp8,855.5908166666665,771.6261754862896,315.0150670194465,
12,α-L-Fuc–Sp9,812.4823333333334,716.4924393592459,292.5068134986952,
13,α-L-Rhα–Sp8,831.36945,780.0312779501364,318.44643573148556,
14,α-Neu5Ac–Sp8,768.5837666666667,891.1516042313668,363.81111897158456,
15,Neu5Acα1-2–Sp82,1767.2628666666662,1331.3070437454273,543.50382469157,
16,b-Neu5Ac-Sp8,2164.1077666666665,1604.213558375248,654.9174427456456,
17,β-D-Gal–Sp8,1562.1705666666664,2275.890361733854,929.1283494610288,
18,β-D-Glc–Sp8,1255.6618500000002,621.6612543630647,253.7921443413419,
19,β-D-Man–Sp8,522.0452166666666,590.4791789038337,241.06211534199565,
20,β-GalNAc–Sp8,556.2107666666666,575.1273694361506,234.7947653712871,
21,β-GlcNAc–Sp0,1651.5526666666667,1047.4361981092434,427.6140372480668,
22,β-GlcNAc–Sp8,724.53525,479.7099958877687,195.84078573960835,
23,b-GlcN(Gc)-Sp8,1444.3648166666665,984.9106513111095,402.08808965741036,
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",3925.8849333333333,9165.576653257573,3741.8309998078994,
25,(GlcNAcb1-3(GlcNAcb1-6)GlcNAcb1-4)GlcNAc-Sp8,1011.6778333333335,933.6086853428657,381.14414975343954,
26,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,16333.000750000001,7679.366283679578,3135.088157158017,
27,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,8844.479433333334,10802.23078988417,4409.992253166318,
28,[3OSO3]Galb1-4Glcb-Sp8,1380.2658166666668,947.3783779829499,386.7656032339668,
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,4175.9725,2369.1414920269594,967.197963987012,
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,8830.154333333332,1959.6491501389644,800.0234154531943,
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,1508.3555333333334,1246.454522319263,508.8629278777902,
32,[3OSO3]Galβ1-3GalNAcα–Sp8,228.28883333333337,171.26510596920397,69.91868672803987,
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,1013.7116500000001,424.71843975400327,173.39057695805104,
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,282.6977,221.91243325983334,90.59537151100307,
35,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,7814.183483333334,2497.697231056003,1019.6806246749377,
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,765.6927333333334,645.242653373593,263.4192101741363,
37,[3OSO3]Galb1-4GlcNAcb-Sp8,427.93281666666667,279.73494643205674,114.20131366388748,
38,[3OSO3]Galβ–Sp8,2589.0297333333333,1962.1019391972243,801.0247623930974,
39,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,2811.1955500000004,1925.807848703573,786.2077619951235,
40,[4OSO3]Galb1-4GlcNAcb-Sp8,780.0780833333333,706.6952088073143,288.5071108745888,
41,6-H2PO3Manα–Sp8,8319.060216666667,4626.2395868775075,1888.6544026189904,
42,[6OSO3]Galβ1-4Glcβ–Sp0,1227.9369500000003,1511.113108876883,616.9093433965209,
43,[6OSO3]Galβ1-4Glcβ–Sp8,1938.4211333333333,1061.9431887541546,433.53649137862703,
44,[6OSO3]Galβ1-4GlcNAcβ–Sp8,1088.8450999999998,1533.8775765936134,626.2028984251958,
45,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,8121.8474,1665.339571917006,679.8720332769392,
46,NeuAcα2-3[6OSO3]Galβ1-4GlcNAcβ–Sp8,1070.7666333333334,1440.2433722392152,587.9768945685688,
47,[6OSO3]GlcNAcβ–Sp8,2625.64425,635.3227113578456,259.3694108047068,
48,9NAcNeu5Aca-Sp8,598.1510333333334,800.6150974260221,326.8497448437327,
49,9NAcNeu5Aca2-6Galb1-4GlcNAcb-Sp8,844.4204999999998,424.5110460142402,173.30590881833987,
50,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,504.1715166666666,189.4095423172911,77.32612184857682,
51,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,1512.8895333333332,1138.8354693895142,464.9276334978802,
52,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,410.9187166666666,355.8051221953356,145.25683287453165,
53,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,3982.969483333333,5048.6409577397635,2061.099040163099,
54,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp8,389.7861833333333,460.9895685526318,188.19820328328572,
55,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,1321.8192000000001,832.5290427085097,339.8785584472655,
56,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,989.1812833333333,660.4296472762635,269.61927447218665,
57,Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,150.444,57.70039876267754,23.556089153946303,
58,Fucα1-2Galβ1-3GalNAcα–Sp8,799.3103666666667,569.1020927912093,232.33495648141798,
59,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,228.91434999999998,194.09169716756824,79.23760356188954,
60,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp9,1610.0900333333332,1718.20389258635,701.4538018167324,
61,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp10,233.43848333333332,385.2675488429381,157.28481818633233,
62,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp8,123.70783333333334,40.28472138479628,16.446168637156106,
63,Fucα1-2Galβ1-3GlcNAcβ–Sp0,866.6358833333334,588.9924502770215,240.45516092171587,
64,Fucα1-2Galβ1-3GlcNAcβ–Sp8,562.5016166666666,838.8039289696001,342.44027003621085,
65,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,490.4346833333334,318.67740632382714,130.0995063411603,
66,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,612.3228,1049.3344140794238,428.3889806728242,
67,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp0,748.8568333333333,808.1194660532159,329.9133905067952,
68,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,903.7643333333334,939.6834053210787,383.6241437995917,
69,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAc–Sp0,557.3176666666667,609.351440508338,248.76668387922135,
70,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,307.7885,253.51465579207843,103.4969248346507,
71,Fucα1-2Galβ1-4GlcNAcβ–Sp0,262.3816166666666,246.47944425396142,100.62481175116278,
72,Fucα1-2Galβ1-4GlcNAcβ–Sp8,1066.6169833333333,313.661362678825,128.05171509819604,
73,Fucα1-2Galβ1-4Glcβ–Sp0,486.1447666666666,437.68332803473646,178.68347043471533,
74,Fucα1-2Galβ–Sp8,1543.3579166666666,1138.4660751448318,464.77682892898144,
75,Fuca1-2GlcNAcb-Sp8,452.0467833333333,439.3921694480291,179.38110202036592,
76,Fucα1-3GlcNAcβ–Sp8,754.1233500000002,593.6993303050148,242.37673664656265,
77,Fucα1-4GlcNAcβ–Sp8,975.4302333333334,1229.0279632719617,501.7485649380618,
78,Fucb1-3GlcNAcb-Sp8,1065.9489666666666,2056.380725545686,839.5139157468647,
79,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,797.8829333333333,296.4621740194095,121.0301757306242,
80,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,977.5275500000001,1360.299529233918,555.3399573285448,
81,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,897.8250333333334,792.4702979543035,323.5246443832326,
82,GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ–Sp8,495.6448,563.4101027973708,230.01121129709597,
83,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,1326.7417833333332,1580.1562741196653,645.0960975751008,
84,GalNAcα1-3(Fucα1-2)Galβ–Sp8,373.1454833333333,351.3165666353319,143.42438774050808,
