Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,8762.75815,423.05994006544887,4.827931261180007,
2,Glca-Sp8,24.514525,24.68385244775419,100.69072293978445,
3,Mana-Sp8,96.05987499999998,9.353676280969523,9.73733963423284,
4,GalNAca-Sp8,28319.885624999995,895.4200770692298,3.1618068269272186,
5,GalNAca-Sp15,8226.738825,769.0810124085958,9.348552674012911,
6,Fuca-Sp8,122.52690000000001,87.12000936933681,71.10276140940218,
7,Fuca-Sp9,184.04577500000002,47.65228463479821,25.891539555742693,
8,Rhaa-Sp8,4.3291249999999994,3.7253711576834814,86.05367499629791,
9,Neu5Aca-Sp8,121.35194999999999,113.0534087046324,93.16159213315683,
10,Neu5Aca-Sp11,13.249775000000003,8.983264900682457,67.79937697570301,
11,Neu5Acb-Sp8,278.76525,151.46404591630517,54.33390493122984,
12,Galb-Sp8,278.32280000000003,172.0785533023411,61.826969728078716,
13,Glcb-Sp8,19.930675,9.23168681999666,46.31898728967614,
14,Manb-Sp8,16.818200000000004,5.8245223981599175,34.6322579001315,
15,GalNAcb-Sp8,8838.572025000001,209.24005595026426,2.3673513703166797,
16,GlcNAcb-Sp0,11.284950000000004,5.630044637182423,49.88985008513481,
17,GlcNAcb-Sp8,11.324725,4.03461112076905,35.6265703650115,
18,GlcN(Gc)b-Sp8,26.785449999999997,14.167616114340946,52.89295537069919,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,13.613850000000001,11.080769942412239,81.39336001507463,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,85.844975,28.293104123369563,32.958369576518095,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,16.461475,12.024473078233692,73.0461460970763,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,17.637575,9.26039800382072,52.503805108246006,
23,6S(3S)Galb1-4GlcNAcb-Sp0,16.546049999999997,25.831469640150168,156.1186485000962,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,72.28575,11.802706021219677,16.32784611243527,
25,(3S)Galb1-4Glcb-Sp8,68.230625,25.341117147352318,37.14038549017002,
26,(3S)Galb1-4(6S)Glcb-Sp0,10.588275000000001,7.1764111431713085,67.77696218856525,
27,(3S)Galb1-4(6S)Glcb-Sp8,128.25657499999997,28.575117830888647,22.279651418173806,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,223.55139999999994,37.43465554215816,16.745435520492453,
29,(3S)Galb1-3GalNAca-Sp8,27808.033574999998,1171.3205017478872,4.212165878571611,
30,(3S)Galb1-3GlcNAcb-Sp0,4.4953,1.2285271913962676,27.329148030081807,
31,(3S)Galb1-3GlcNAcb-Sp8,13.113199999999999,9.210222991147768,70.23627330588849,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,481.00105000000013,49.0762384603448,10.202937906340285,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,436.4768249999999,47.190845499481256,10.811764290001253,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,18.0572,12.954710065712268,71.74262934293394,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,179.77107500000005,41.73547616439935,23.21590175972377,
36,(3S)Galb1-4GlcNAcb-Sp0,28.089000000000002,2.864283346086102,10.19717094266831,
37,(3S)Galb1-4GlcNAcb-Sp8,10.645775,5.28432569105715,49.63777358677174,
38,(3S)Galb-Sp8,21.283375000000003,3.9167350700764203,18.402791240000326,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,14.793375000000003,18.335179069278276,123.94182577862234,
40,(4S)Galb1-4GlcNAcb-Sp8,8.084499999999998,4.806828818115612,59.45734205103115,
