Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,7129.298074999999,191.15103198950914,2.6812040958114824,
2,Glca-Sp8,11.456574999999997,6.761735363240714,59.02056559871266,
3,Mana-Sp8,18.463250000000002,9.274444760559348,50.23191886888466,
4,GalNAca-Sp8,17668.218075000004,3594.002332228215,20.341623116558765,
5,GalNAca-Sp15,2981.532375,975.9748469380662,32.734001318300834,
6,Fuca-Sp8,15.762774999999998,8.44450843146993,53.572473320655355,
7,Fuca-Sp9,34.047825,13.554952982427956,39.81150920044953,
8,Rhaa-Sp8,14.814950000000001,8.040507705984727,54.27293177489445,
9,Neu5Aca-Sp8,17.364175,13.828364541375342,79.63732536314188,
10,Neu5Aca-Sp11,25.095549999999992,16.475945929040524,65.65285849100948,
11,Neu5Acb-Sp8,21.717600000000004,8.586029535239199,39.53489121836297,
12,Galb-Sp8,47.023074999999984,18.189399170098167,38.68185815176522,
13,Glcb-Sp8,18.442899999999995,16.41725183965536,89.01665052489231,
14,Manb-Sp8,9.703999999999995,4.678437657309694,48.21143505059457,
15,GalNAcb-Sp8,269.17965000000004,224.76070767548165,83.49840252614996,
16,GlcNAcb-Sp0,17.67895,16.94200463197906,95.8315094051347,
17,GlcNAcb-Sp8,16.988525,14.383499277152046,84.66596880630924,
18,GlcN(Gc)b-Sp8,19.3044,5.2717115677295086,27.30834197244933,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,15.321150000000001,8.278766437298087,54.03488926939614,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,77.712125,14.15046737187509,18.208828251543874,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,15.155024999999998,14.461474536246294,95.42362705601802,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,8.601450000000002,1.2869155722113617,14.961611963231332,
23,6S(3S)Galb1-4GlcNAcb-Sp0,7.477975000000001,8.13840095693456,108.83161493498655,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,32.73475,4.0949279427930385,12.509421769810489,
25,(3S)Galb1-4Glcb-Sp8,13.867825,11.916653602242254,85.93022771950362,
26,(3S)Galb1-4(6S)Glcb-Sp0,10.970975,6.100116650455688,55.60232021726135,
27,(3S)Galb1-4(6S)Glcb-Sp8,6.894375,5.989191443133205,86.87069448837936,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,15.30705,12.253962761898702,80.05437208278997,
29,(3S)Galb1-3GalNAca-Sp8,39245.2863,3881.2047565161165,9.889607446986867,
30,(3S)Galb1-3GlcNAcb-Sp0,4.641450000000001,6.968641161422117,150.13931339176585,
31,(3S)Galb1-3GlcNAcb-Sp8,6.950875,4.136130749363862,59.50518099323988,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,75.8488,17.691039855060346,23.324086676467324,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,59.24009999999999,5.832764366347804,9.845973194420342,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,24.072349999999997,23.849951330837836,99.07612397974373,
