Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,14.876750000000001,15.79164106323342,106.14980464976168,
2,Glca-Sp8,28.491525000000003,16.568358207614757,58.151882735707396,
3,Mana-Sp8,18.439800000000005,7.639636904111778,41.43015056623052,
4,GalNAca-Sp8,15.588800000000004,5.157120814950902,33.08221809857655,
5,GalNAca-Sp15,17.732125000000003,7.713505037432706,43.50017292023773,
6,Fuca-Sp8,10.5025,10.08372381348611,96.01260474635667,
7,Fuca-Sp9,24.896775,4.030388598613437,16.188396282705035,
8,Rhaa-Sp8,27.583949999999998,19.28853966366211,69.92667715705007,
9,Neu5Aca-Sp8,13.610175000000003,16.88145161182829,124.0355220401522,
10,Neu5Aca-Sp11,10.6184,3.8290811212787554,36.06081068031677,
11,Neu5Acb-Sp8,13.231200000000001,6.921760799584641,52.31393070609348,
12,Galb-Sp8,19.755075000000005,14.416184818778037,72.97458915634607,
13,Glcb-Sp8,7.124799999999999,13.43985120577357,188.63478561887453,
14,Manb-Sp8,4.942774999999999,8.117931873892921,164.23834534027793,
15,GalNAcb-Sp8,20.018549999999998,12.416165318513867,62.02329998183619,
16,GlcNAcb-Sp0,12.792825000000002,6.974321225455079,54.51744415682289,
17,GlcNAcb-Sp8,16.295200000000005,8.023124695528548,49.2361228799189,
18,GlcN(Gc)b-Sp8,10.396374999999999,3.49813527885454,33.64764428807676,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,12.846524999999998,8.019715099833654,62.42711628112393,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,2.718125,14.020221461725658,515.8048824732364,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,11.846225,4.1464872943854605,35.00260457981729,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,19.380799999999997,12.892954400757034,66.52436638713075,
23,6S(3S)Galb1-4GlcNAcb-Sp0,15.833725000000001,6.682011154522756,42.20113179004154,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,27.481550000000006,9.971827175431114,36.285534023485255,
25,(3S)Galb1-4Glcb-Sp8,27.637349999999998,16.152705619905706,58.445204116551366,
26,(3S)Galb1-4(6S)Glcb-Sp0,23.722874999999995,22.08206014836101,93.08340640989347,
27,(3S)Galb1-4(6S)Glcb-Sp8,15.924375,3.4077335208560906,21.399480487341517,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,3.826925000000001,1.8220032077816661,47.610110148008275,
29,(3S)Galb1-3GalNAca-Sp8,13.712824999999995,6.923075325978102,50.48613488451945,
30,(3S)Galb1-3GlcNAcb-Sp0,18.913824999999996,11.612128731739938,61.39492530855044,
31,(3S)Galb1-3GlcNAcb-Sp8,17.870149999999995,5.645237601435999,31.590320178823344,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,14.709975,3.65883832053747,24.87317837411328,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,20.388275,6.204368781955167,30.431062863117,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,19.368450000000003,18.26478756706465,94.30175138983579,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,22.958375,28.05142959011478,122.1838635796949,
36,(3S)Galb1-4GlcNAcb-Sp0,11.507525000000005,4.908731086798285,42.65670582334849,
37,(3S)Galb1-4GlcNAcb-Sp8,27.643974999999998,37.21939548536265,134.638363279386,
38,(3S)Galb-Sp8,5.4991749999999975,8.746896750038463,159.05834511610317,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,22.035175000000002,6.66287547953834,30.23745207169146,
40,(4S)Galb1-4GlcNAcb-Sp8,8.812975000000002,3.181086610342445,36.09549114053364,
41,(6P)Mana-Sp8,28.845950000000002,12.867584739569423,44.60794232663311,
42,(6S)Galb1-4Glcb-Sp0,19.59505,13.68675373088885,69.848016365811,
43,(6S)Galb1-4Glcb-Sp8,18.217775,22.00599344820633,120.79407857549197,
44,(6S)Galb1-4GlcNAcb-Sp8,24.9745,17.788215908479064,71.22551365784726,
45,(6S)Galb1-4(6S)Glcb-Sp8,14.078549999999996,1.4645103880364565,10.402423460061277,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,16.560975,8.120648527621835,49.03484563935297,
47,(6S)GlcNAcb-Sp8,21.536299999999997,18.995159904038715,88.2006654069581,
48,"Neu5,9Ac2a-Sp8",25.373025,14.093620099741353,55.54568325905702,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",3.9889750000000017,2.8598861601760768,71.69476269407744,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,9.762449999999998,4.46214836336342,45.707259585077736,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,6.019025000000003,5.309696950784163,88.21523337723569,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,8.5022,6.094813537207952,71.68513487342042,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,7.659500000000001,5.674796040387703,74.08833527498795,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,18.255525000000006,7.492124499933225,41.04031245298737,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,19.662675,21.347792855683373,108.57013532331369,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,1.7121750000000002,8.127498442274023,474.688536059341,
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,24.630675000000004,14.272008482661658,57.94404125206335,
58,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,8.03525,7.809096271016256,97.18547986703906,
59,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,26.091425000000005,18.877831918659684,72.35262895246113,
60,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,20.198075000000003,10.216616934639685,50.58213188454683,
61,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,8.162600000000003,3.4858569037373455,42.70522754682754,
62,Fuca1-2Galb1-3GalNAca-Sp8,4.556450000000002,3.157035029369595,69.28716499401055,
63,Fuca1-2Galb1-3GalNAca-Sp14,14.69575,8.983862214919967,61.13238327353123,
64,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,12.841924999999996,3.8608752698276363,30.064614688433682,
65,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,16.802175,11.759141261553355,69.98582779642133,
66,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,15.83875,17.581884147515787,111.00550325951093,
67,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,11.136750000000003,5.900238723701501,52.979897400062846,
68,Fuca1-2Galb1-3GlcNAcb-Sp0,10.79175,6.9929646290635095,64.79917185872087,
69,Fuca1-2Galb1-3GlcNAcb-Sp8,7.537700000000001,4.406222248139554,58.45579219310337,
70,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,0.7960999999999991,6.660103503700226,836.5913206507013,
71,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,21.745824999999996,8.690345869363696,39.963284305671074,
72,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,7.079375,5.848320943299312,82.61069576480003,
73,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,13.6994,2.5268410766541507,18.44490325601231,
74,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,9.195825,6.98006684274346,75.90473766892542,
