Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,3.7915,3.918262182822038,103.34332540741231,
2,Glca-Sp8,5.615550000000002,3.765175318184619,67.04909257658855,
3,Mana-Sp8,-0.174925,3.1378428942773158,-1793.821863242713,
4,GalNAca-Sp8,3.997425,3.4569852360836015,86.48030259688679,
5,GalNAca-Sp15,14.589199999999998,11.557087155796076,79.21672988098098,
6,Fuca-Sp8,8.593649999999998,8.86069699233644,103.10749207073178,
7,Fuca-Sp9,2.519450000000001,1.1937131048399567,47.37990850542604,
8,Rhaa-Sp8,-0.7871749999999986,1.5345381810716505,-194.9424436842701,
9,Neu5Aca-Sp8,12.388849999999998,7.038873362738295,56.81619652137443,
10,Neu5Aca-Sp11,3.838875,6.782383842659356,176.67633988237066,
11,Neu5Acb-Sp8,9.559900000000003,2.6920861316087166,28.160191336820635,
12,Galb-Sp8,25.241599999999995,20.17140617623538,79.91334216624692,
13,Glcb-Sp8,9.969549999999998,6.892232667043881,69.13283615653548,
14,Manb-Sp8,6.440425000000003,7.977930418086719,123.87273228221298,
15,GalNAcb-Sp8,6.096524999999998,8.118892446787308,133.17246212862756,
16,GlcNAcb-Sp0,12.437599999999996,2.3078887769272463,18.55574047185347,
17,GlcNAcb-Sp8,10.960325000000001,3.3427578418375816,30.498710958275243,
18,GlcN(Gc)b-Sp8,4.414350000000001,4.050397992378857,91.75525258257402,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,4.99125,1.0886352725622397,21.81087448158757,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,5.046375000000001,7.191078414894853,142.49988189333632,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,7.010350000000001,2.3322960611094525,33.269324086664035,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,19.290449999999996,16.25828633743421,84.28152965552496,
23,6S(3S)Galb1-4GlcNAcb-Sp0,7.030949999999999,4.664121531078138,66.33700326525062,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,10.899850000000002,6.6467533109531445,60.98022735132266,
25,(3S)Galb1-4Glcb-Sp8,4.082700000000001,3.2749596648915738,80.21553542732929,
26,(3S)Galb1-4(6S)Glcb-Sp0,14.280075000000004,7.206207510831659,50.46337299231032,
27,(3S)Galb1-4(6S)Glcb-Sp8,7.135999999999998,4.326494188909383,60.62912260242971,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,5.514825000000001,2.659421653135633,48.223137690418696,
29,(3S)Galb1-3GalNAca-Sp8,2.9095749999999994,1.2367819030990597,42.50730443790107,
30,(3S)Galb1-3GlcNAcb-Sp0,7.775524999999999,4.907629838238283,63.11637912858983,
31,(3S)Galb1-3GlcNAcb-Sp8,1.4879250000000184,3.391200857488362,227.91477107302586,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,7.166,4.694833461725067,65.51539857277514,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,7.9968,6.26690666012082,78.3676803236397,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,13.654750000000002,6.50732621204747,47.65613586515659,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,5.206224999999999,1.907580676100831,36.64038100736774,
36,(3S)Galb1-4GlcNAcb-Sp0,2.2364249999999988,3.8046533897102037,170.122109603953,
37,(3S)Galb1-4GlcNAcb-Sp8,7.0915250000000025,3.651336043491477,51.48872835520534,
38,(3S)Galb-Sp8,9.752400000000002,8.094839596104833,83.00356421091047,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,3.8534499999999996,3.2730141118954323,84.9372409631741,
40,(4S)Galb1-4GlcNAcb-Sp8,8.019575,8.37418587978358,104.42181636537573,
41,(6P)Mana-Sp8,7.1012249999999995,3.1063274214362364,43.74354314130642,
42,(6S)Galb1-4Glcb-Sp0,5.505525,8.234293715664585,149.56418716951762,
43,(6S)Galb1-4Glcb-Sp8,3.9251000000000023,2.19384404641715,55.89269181465819,
44,(6S)Galb1-4GlcNAcb-Sp8,-0.6921999999999997,2.365069026476812,-341.67423092701716,
45,(6S)Galb1-4(6S)Glcb-Sp8,9.971074999999999,4.059451610234233,40.71227636171861,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,10.434825000000002,2.7096344432106254,25.967224588918597,
47,(6S)GlcNAcb-Sp8,7.555774999999999,2.4990576202174033,33.074801992084254,
48,"Neu5,9Ac2a-Sp8",7.482775000000002,9.675069411766513,129.29787962041505,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",3.70535,1.1412649283434015,30.800462259797364,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,8.372150000000003,9.231046580787389,110.25897267472973,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,10.829324999999997,12.062257018865365,111.38512343904507,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,17.586524999999998,13.071022204192747,74.32407598540786,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,6.795299999999999,3.08716476722575,45.4308826280775,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,9.243200000000003,3.2285873928597875,34.92932526462466,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,6.200850000000002,6.419111112659341,103.51985796559084,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,15.525524999999998,2.2681148771245034,14.608941579267071,
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,5.441949999999999,6.598969329877708,121.26111650929738,
58,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,11.484375,1.173174804749892,10.215399660407224,
59,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,20.4713,16.295858554041676,79.60343775940794,
60,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,8.497224999999997,3.6637515348569556,43.117035677611895,
61,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,8.57555,10.75177907898657,125.37713708142999,
62,Fuca1-2Galb1-3GalNAca-Sp8,7.6030999999999995,5.62348720457333,73.96308353925807,
63,Fuca1-2Galb1-3GalNAca-Sp14,3.275975,1.964114248840936,59.95510493336903,
64,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,7.370450000000001,5.481010758670946,74.36466916770273,
65,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,7.384399999999997,5.506393616515265,74.56792178802972,
66,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,3.334950000000002,2.0421973206981416,61.23622005421792,
67,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,5.524724999999998,1.294413749862583,23.429469337615597,
68,Fuca1-2Galb1-3GlcNAcb-Sp0,4.0550250000000005,3.8114764202996168,93.99390682670554,
69,Fuca1-2Galb1-3GlcNAcb-Sp8,8.691749999999999,4.159728626965949,47.858355647205094,
70,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,13.676324999999999,9.003360186202706,65.83172150561431,
71,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,9.40545,6.345524680434234,67.46646551131774,
72,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,7.980224999999999,5.091426106946851,63.80053328003723,
73,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,7.865799999999999,10.008133678497035,127.2360558175524,
74,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,16.7055,19.311578607146533,115.60012335546097,
75,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,3.4819749999999994,1.1822507133288789,33.95345208764793,
76,Fuca1-2Galb1-4GlcNAcb-Sp0,4.42515,4.902544466906954,110.78820982129314,
77,Fuca1-2Galb1-4GlcNAcb-Sp8,6.503374999999998,2.498601165152214,38.420069043415374,
