Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,74.73367499999999,50.9439488027365,68.16732724937789,
2,Glca-Sp8,94.63565000000001,21.58118830841642,22.804501589428945,
3,Mana-Sp8,67.07590000000002,33.79851497132181,50.3884628776085,
4,GalNAca-Sp8,7511.33785,535.9231087103965,7.1348555931403945,
5,GalNAca-Sp15,1542.7124499999998,151.1800470074152,9.799625782978236,
6,Fuca-Sp8,31.3182,17.72778111345768,56.605364016634674,
7,Fuca-Sp9,30.829975000000005,17.51566541325703,56.813751594858665,
8,Rhaa-Sp8,24.883774999999996,20.819858673931957,83.66840912977214,
9,Neu5Aca-Sp8,28.671174999999995,14.788729062673593,51.58047782371526,
10,Neu5Aca-Sp11,21.486650000000004,17.779319490257986,82.74588868091574,
11,Neu5Acb-Sp8,49.54239999999999,30.68991847626842,61.94677382659788,
12,Galb-Sp8,123.97252500000002,39.259303706032476,31.667745499280965,
13,Glcb-Sp8,105.20430000000002,24.614954999349386,23.397289843998184,
14,Manb-Sp8,75.38042499999999,38.264551531792,50.76192066016078,
15,GalNAcb-Sp8,16302.671875000004,1065.1358791474222,6.53350498197046,
16,GlcNAcb-Sp0,80.734025,24.614998450724386,30.48900194276748,
17,GlcNAcb-Sp8,32.599475,31.02587720676349,95.17293516770896,
18,GlcN(Gc)b-Sp8,104.51872500000002,62.43167985910007,59.73253104560935,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,73.43585,24.09897355414402,32.81636088387895,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,51.80555000000001,13.841433119562916,26.718050709939213,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,21.302425,3.8002862009546705,17.83968820899344,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,21.602950000000007,8.975543409547218,41.547767363009285,
23,6S(3S)Galb1-4GlcNAcb-Sp0,15.987599999999993,6.621414737551688,41.41593946278172,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,26.02935,18.677280496278545,71.75469420588122,
25,(3S)Galb1-4Glcb-Sp8,36.131375000000006,12.480322369601149,34.54150961484623,
26,(3S)Galb1-4(6S)Glcb-Sp0,30.235,16.69669700649401,55.22307592688609,
27,(3S)Galb1-4(6S)Glcb-Sp8,48.018299999999996,27.52890559502864,57.330029582531324,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,13.830925,11.887640330296833,85.94971290999577,
29,(3S)Galb1-3GalNAca-Sp8,12.238275,6.402590512375956,52.316118998600345,
30,(3S)Galb1-3GlcNAcb-Sp0,6.828225,5.59579013329068,81.95087498274705,
31,(3S)Galb1-3GlcNAcb-Sp8,21.82535,17.619443318580384,80.72925895154205,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,87.580225,20.39610171484975,23.288478323559627,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,18.101350000000004,4.57730232961147,25.287077094313236,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,57.53450000000001,32.53738566111296,56.55282597591523,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,7.290750000000001,4.408610884394313,60.468551032394636,
36,(3S)Galb1-4GlcNAcb-Sp0,10.916625,7.754440112767658,71.03331032043016,
37,(3S)Galb1-4GlcNAcb-Sp8,36.285174999999995,48.61745317602006,133.9870985216967,
38,(3S)Galb-Sp8,17.33869999999999,8.130503305864092,46.89223128529877,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,15.418350000000004,17.862631909566588,115.85307059164296,
40,(4S)Galb1-4GlcNAcb-Sp8,11.805675,8.70054846446476,73.69801781316832,
41,(6P)Mana-Sp8,16.77855,9.423743737496265,56.16542393410793,
42,(6S)Galb1-4Glcb-Sp0,37.73015,26.041994025355795,69.02170817066933,
43,(6S)Galb1-4Glcb-Sp8,16.775925000000004,7.539179269821066,44.940468378471316,
44,(6S)Galb1-4GlcNAcb-Sp8,36.427,10.664748156738922,29.277042185024634,
45,(6S)Galb1-4(6S)Glcb-Sp8,31.928225000000005,4.7395523483236195,14.844396606211646,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,11.941575,2.229372969207557,18.669002784034408,
47,(6S)GlcNAcb-Sp8,21.965675000000008,14.204082461361827,64.66490313346537,
48,"Neu5,9Ac2a-Sp8",24.560850000000002,6.545940929308794,26.651931546786017,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",42.128150000000005,15.815897276158552,37.542349417571266,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,119.478425,24.79172383281374,20.749958691549324,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,93.309525,17.271016303308887,18.509381869974035,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,33.25202499999999,10.497310983413847,31.56893748099206,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,22.920600000000004,9.66175234968618,42.1531388780668,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,55.8725,23.025747844967,41.211236019449636,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,34.422025,0.8885948847290075,2.581471847542402,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,35.060275000000004,19.597831450507478,55.897540594041196,
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,11.315099999999997,16.159125275212144,142.81027366273517,
58,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,67.8319,44.5553179176927,65.68490329430945,
59,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,327.08965,15.664998099477902,4.789206292365993,
60,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,105.50129999999999,19.8190290174201,18.78557801412883,
61,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,42.276349999999994,17.852939667647636,42.22914151209279,
62,Fuca1-2Galb1-3GalNAca-Sp8,13.879700000000003,7.749903389935474,55.836245667669125,
63,Fuca1-2Galb1-3GalNAca-Sp14,33.07382499999999,6.8163748280030525,20.60957517917282,
64,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,20.391549999999995,8.878652995621945,43.540844102689334,
65,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,16.855625,8.387554795201032,49.76116160154863,
66,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,15.860675,10.482394760541803,66.09047068010537,
67,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,9.433400000000002,2.1871985979024964,23.185687004711937,
68,Fuca1-2Galb1-3GlcNAcb-Sp0,43.347725000000004,20.94664149346701,48.32235484899613,
69,Fuca1-2Galb1-3GlcNAcb-Sp8,32.89852500000001,13.046412246380202,39.65652638341749,
70,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,26.385225,6.954552809670799,26.357754423814082,
71,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,25.303374999999996,10.809254374647395,42.718626960424835,
72,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,37.972875,16.073169922861094,42.32803000262976,
73,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,12.3784,4.675959304784425,37.77515110825652,
74,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,17.402600000000007,6.9773565553151915,40.09375929639932,
75,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,38.067,22.493468368247104,59.089154302275205,
76,Fuca1-2Galb1-4GlcNAcb-Sp0,16.580649999999995,5.285875540532528,31.87978481261307,
77,Fuca1-2Galb1-4GlcNAcb-Sp8,45.631025,23.12253377081543,50.67283448227479,
78,Fuca1-2Galb1-4Glcb-Sp0,82.27025,27.61107281575031,33.56143054840639,
79,Fuca1-2Galb-Sp8,38.745174999999996,5.10824344001928,13.184205362394882,
80,Fuca1-3GlcNAcb-Sp8,12.911875,6.528937294013967,50.565369429412584,
81,Fuca1-4GlcNAcb-Sp8,45.9421,26.284579522348583,57.212403269220566,
82,Fucb1-3GlcNAcb-Sp8,26.177124999999997,10.105245217006539,38.603342487024605,
83,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,25079.557349999995,560.3336131531839,2.234224493412696,
84,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,9004.295924999999,1319.2785300106311,14.651656731402143,
85,(3S)Galb1-4(Fuca1-3)Glcb-Sp0,16.670524999999998,19.269191207447374,115.58838853273895,
86,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,4824.5465,1671.7077688440181,34.65004988228465,
87,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,13857.714300000001,2862.726690680241,20.65800050936424,
88,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,6988.332399999999,643.4835331200173,9.207969745686645,
89,GlcNAcb1-3Galb1-3GalNAca-Sp8,37.012975000000004,10.366490740642822,28.007720915821604,
90,GalNAca1-3(Fuca1-2)Galb-Sp8,7375.5644250000005,826.946552120426,11.2119765277547,
91,GalNAca1-3(Fuca1-2)Galb-Sp18,16882.696900000003,1189.8949537629237,7.048014667389565,
92,GalNAca1-3GalNAcb-Sp8,74.59352500000001,24.01907252058582,32.199942985112735,
93,GalNAca1-3Galb-Sp8,11576.0483,1085.0762833180777,9.37346022751199,
94,GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,5496.299325,544.5209623025708,9.907047089408122,
95,GalNAcb1-3GalNAca-Sp8,5.3834,2.8210144629193135,52.402096498854135,
96,GalNAcb1-3(Fuca1-2)Galb-Sp8,55.52872500000001,4.953818289881713,8.921181406347278,
97,GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,15219.140550000004,539.880632766597,3.5473792425591135,
98,GalNAcb1-4(Fuca1-3)GlcNAcb-Sp0,31.917775,28.39621635586627,88.96677903101413,
99,GalNAcb1-4GlcNAcb-Sp0,38001.37735000001,2842.985283482784,7.48126905321968,
100,GalNAcb1-4GlcNAcb-Sp8,23937.84035,1238.9512777302814,5.175701983200341,
101,Gala1-2Galb-Sp8,27.678650000000005,14.473705435374855,52.291948615177596,
102,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,11.969750000000003,6.894021719577043,57.59536932331118,
103,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp8,129.71755,44.15778077534405,34.04148534669677,
104,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,86.45957500000002,25.852948040455583,29.901775529726553,
105,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp8,12.764075,16.299853603713743,127.70101714157698,
106,Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,25.786575,7.582466145599829,29.404704368842427,
107,Gala1-3(Fuca1-2)Galb1-4Glcb-Sp0,48.55325,11.48968894313508,23.664098578643202,
108,Gala1-3(Fuca1-2)Galb-Sp8,52.231574999999985,19.01326684315894,36.401863897764805,
109,Gala1-3(Fuca1-2)Galb-Sp18,14.195449999999997,7.861258054747555,55.37871680536761,
110,Gala1-4(Gala1-3)Galb1-4GlcNAcb-Sp8,26.501775000000002,9.142015960889953,34.49586286537393,
111,Gala1-3GalNAca-Sp8,35.458125,18.843043988233436,53.141681880340364,
112,Gala1-3GalNAca-Sp16,50.471599999999995,15.139198577423615,29.995479789472924,
113,Gala1-3GalNAcb-Sp8,12.894375,8.110716529125728,62.90119939218247,
114,Gala1-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,18.7988,9.498075411015286,50.52490271195654,
115,Gala1-3Galb1-3GlcNAcb-Sp0,27.626775000000002,18.743852832751134,67.84669159810052,
116,Gala1-3Galb1-4GlcNAcb-Sp8,7.187749999999999,5.7754922113473,80.351879396853,
117,Gala1-3Galb1-4Glcb-Sp0,45.4381,17.182827828387268,37.81590301616324,
118,Gala1-3Galb1-4Glc-Sp10,38.167425,14.837805896060457,38.87557490729453,
119,Gala1-3Galb-Sp8,11.419499999999998,16.2131913911687,141.97811980532163,
120,Gala1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,23.854525,5.386287332585108,22.579729978212136,
121,Gala1-4Galb1-4GlcNAcb-Sp0,55.609624999999994,25.266467152120168,45.435420850473584,
122,Gala1-4Galb1-4GlcNAcb-Sp8,31.455025000000006,20.560882984018427,65.36597247663425,
123,Gala1-4Galb1-4Glcb-Sp0,11.077650000000002,6.362342502307358,57.4340451477286,
124,Gala1-4GlcNAcb-Sp8,44.641675000000006,25.184056952150616,56.4137814097491,
125,Gala1-6Glcb-Sp8,27.20737499999999,12.802684272285795,47.05593344556687,
126,Galb1-2Galb-Sp8,86.25122500000002,20.03587435433015,23.22966932276051,
127,Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,48.59445,31.09851053823422,63.996012997851025,
