Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,6963.2607499999995,1812.4432599677505,906.2216299838752,26.028657047888814
2,Neu5Acα2-8Neu5Acβ-Sp17,5146.673125000002,3654.5879728373975,1827.2939864186988,71.00874456326379
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,556.3868,819.0785351989878,409.5392675994939,147.21386905638087
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,1834.6642000000004,2213.5329041154246,1106.7664520577123,120.65057486353219
5,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,8196.694075,6111.829541671807,3055.9147708359037,74.56456817527142
6,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,4278.10265,3729.1723163727165,1864.5861581863583,87.16883678264982
7,α-D-Gal–Sp8,7913.903724999998,4123.124284485789,2061.5621422428944,52.09975288757749
8,α-D-Glc–Sp8,612.8903249999998,782.1734142459575,391.08670712297874,127.62045383012983
9,α-D-Man–Sp8,186.75865000000005,229.1793472034544,114.5896736017272,122.71418068370828
10,α-GalNAc–Sp8,976.2182999999992,1402.7781681322097,701.3890840661048,143.69513131767872
11,α-L-Fuc–Sp8,2492.9097749999996,4709.3571789904045,2354.6785894952022,188.9100530720333
12,α-L-Fuc–Sp9,4100.278975,3820.753139112959,1910.3765695564796,93.18276054894433
13,α-L-Rhα–Sp8,926.5138750000001,371.67537022483646,185.83768511241823,40.115467264301515
14,α-Neu5Ac–Sp8,779.9173249999999,838.2180888469803,419.10904442349016,107.47524923195935
15,α-Neu5Ac–Sp11,2570.076125,2563.3972288647083,1281.6986144323541,99.74012847050233
16,β-Neu5Ac-Sp8,7625.122,3883.8566275706453,1941.9283137853226,50.935009663722695
17,β-D-Gal–Sp8,2398.693675000001,4297.370821524847,2148.6854107624235,179.15463180286434
18,β-D-Glc–Sp8,2703.7248,4957.110390228215,2478.5551951141074,183.34374823311214
19,β-D-Man–Sp8,310.562325,100.89485573560805,50.44742786780402,32.487796366029926
20,β-GalNAc–Sp8,1467.937575,1968.839942623045,984.4199713115225,134.12286572356763
21,β-GlcNAc–Sp0,2544.2739,2976.4395365340756,1488.2197682670378,116.98581416623719
22,β-GlcNAc–Sp8,3935.5978250000003,2633.4733638094986,1316.7366819047493,66.91418892146325
23,β-GlcN(Gc)-Sp8,2648.69595,3847.8851300879905,1923.9425650439953,145.27470131435777
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",8263.40485,6035.381654426137,3017.6908272130686,73.03746777487414
25,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,673.985175,909.5675662756098,454.7837831378049,134.9536458684881
26,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,10108.712249999999,2854.1911308403364,1427.0955654201682,28.234962676282894
27,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,3225.40845,1741.0441823491376,870.5220911745688,53.97902961248637
28,[3OSO3]Galβ1-4Glcβ-Sp8,5477.553124999999,5302.9555979817505,2651.4777989908753,96.81249048555327
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,5536.517,2509.898031120903,1254.9490155604515,45.33351981256272
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,4234.149125,1640.9689624494104,820.4844812247052,38.755577897824054
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,47002.435124999996,3156.985138364544,1578.492569182272,6.716641659030522
32,[3OSO3]Galβ1-3GalNAcα–Sp8,677.1276499999999,348.7832138842217,174.39160694211085,51.50922634516871
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,6325.476050000001,5399.929122278883,2699.9645611394417,85.36794827132232
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,43779.74735,2838.1608782878034,1419.0804391439017,6.4828169418108885
35,[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp8,3315.8663999999994,3825.6423283124855,1912.8211641562427,115.37383799035106
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,2635.0614749999995,2822.8410601177575,1411.4205300588787,107.12619371120205
