Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,17.258775,7.405178068700767,42.906742041082104,
2,Glca-Sp8,5.851750000000001,2.516953569297608,43.01198050664515,
3,Mana-Sp8,29.573499999999996,13.243175112235487,44.78054715280738,
4,GalNAca-Sp8,14.280600000000002,5.836411099868361,40.86950898329454,
5,GalNAca-Sp15,19.748300000000008,3.8374544357772664,19.431821654407035,
6,Fuca-Sp8,19.2987,4.1636914294889875,21.574983960002424,
7,Fuca-Sp9,16.09875,0.1523541160145834,0.9463723333462747,
8,Rhaa-Sp8,7.81465,10.735373113062582,137.37497025538676,
9,Neu5Aca-Sp8,35.0719,5.366176797311073,15.300502103710018,
10,Neu5Aca-Sp11,17.101575000000004,7.952793654381247,46.503282033270295,
11,Neu5Acb-Sp8,10.161425000000001,7.0100179511776775,68.98656390395715,
12,Galb-Sp8,12.231399999999999,7.733237698402913,63.22446897659233,
13,Glcb-Sp8,10.687025000000002,1.3373751539863132,12.51400791133466,
14,Manb-Sp8,2.6811749999999988,6.614964723702868,246.7188722743898,
15,GalNAcb-Sp8,28.690299999999997,7.253001734454504,25.280327268988138,
16,GlcNAcb-Sp0,79.86782500000001,22.08055399657879,27.646369481801695,
17,GlcNAcb-Sp8,171.85980000000006,70.64862647256481,41.108290869979356,
18,GlcN(Gc)b-Sp8,19.3769,11.81278735974989,60.96324675128576,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,15.698275000000002,5.716587724260565,36.41538783248837,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,10.328725000000004,3.0993742415472503,30.007326572711047,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,10.673849999999998,4.7437909808506555,44.44311078805357,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,14.397950000000002,13.231256383906508,91.89680741985148,
23,6S(3S)Galb1-4GlcNAcb-Sp0,8.104625,6.142285716992219,75.7874141862482,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,38.023575,21.151255612591118,55.626688475744636,
25,(3S)Galb1-4Glcb-Sp8,9.441075,8.198263885471938,86.83612708798456,
26,(3S)Galb1-4(6S)Glcb-Sp0,10.78305,2.88116957096709,26.719430689527453,
27,(3S)Galb1-4(6S)Glcb-Sp8,16.422200000000004,7.916396890420957,48.205459015363076,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,4.907325,4.598011970678197,93.69691167139321,
29,(3S)Galb1-3GalNAca-Sp8,9.225625,7.908337862608469,85.72143201797675,
30,(3S)Galb1-3GlcNAcb-Sp0,3.4937000000000005,2.509764731337768,71.83687011872134,
31,(3S)Galb1-3GlcNAcb-Sp8,10.204175,5.755795850198892,56.40628321445773,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,11.909025,6.88497789266603,57.81311142319401,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,14.628724999999998,2.939941946564053,20.09704842058384,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,5.268250000000002,3.4069485687341974,64.66945510813261,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,11.443800000000003,7.187784354491071,62.80941955024615,
36,(3S)Galb1-4GlcNAcb-Sp0,7.748875000000002,3.1676575650102503,40.878934877775805,
37,(3S)Galb1-4GlcNAcb-Sp8,18.919449999999998,7.1635089327786945,37.86319862775448,
38,(3S)Galb-Sp8,15.250199999999998,4.923697143407595,32.28611522083379,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,32.284400000000005,33.65835626378686,104.25578999079075,
40,(4S)Galb1-4GlcNAcb-Sp8,6.549549999999998,2.7217388051268494,41.55611920096572,
41,(6P)Mana-Sp8,16.700850000000003,12.094132218421736,72.41626754579397,
42,(6S)Galb1-4Glcb-Sp0,9.589875,4.948464810676138,51.600931301775454,
43,(6S)Galb1-4Glcb-Sp8,10.676174999999999,4.647692918266021,43.53331523945628,
44,(6S)Galb1-4GlcNAcb-Sp8,10.787725000000002,1.5496758529339736,14.365177578534617,
45,(6S)Galb1-4(6S)Glcb-Sp8,12.587025000000002,7.024744788424688,55.80941317288786,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,9.466124999999998,3.8326509636499293,40.488066274742096,
47,(6S)GlcNAcb-Sp8,384.7575499999999,28.567123147832366,7.424707623757447,
48,"Neu5,9Ac2a-Sp8",7.509400000000001,3.9041304204649663,51.98991158368133,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",6.705,2.9164862351809573,43.497184715599666,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,5.717725,5.491760130337691,96.04799339488505,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,6.505649999999999,5.6291587947638035,86.52723086492209,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,3.2131499999999997,1.4398502109594604,44.811173177706,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,9.339749999999999,5.085612331207852,54.45126830169814,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,3.343699999999999,3.2683227574195683,97.74569361544306,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,5.310575000000001,2.5799005799642742,48.580437710874506,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,12.143275000000001,3.640005432573784,29.975483817782134,
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,24.58455,8.1391588674752,33.10680434449766,
58,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,6.997425,7.593145860302784,108.51342973026199,
59,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,11.292000000000002,7.028504552653192,62.243221330616294,
60,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,4.735,3.3465202464649684,70.67624596546923,
61,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,5.922275000000001,4.064789163351522,68.63560309765286,
62,Fuca1-2Galb1-3GalNAca-Sp8,3.275274999999999,3.1778298510933536,97.02482542972284,
63,Fuca1-2Galb1-3GalNAca-Sp14,4.4101,2.6320085980102697,59.68138132945443,
64,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,12.285874999999997,7.139772359758176,58.11366597623838,
65,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,3.979350000000001,6.1826695164791055,155.36882949424162,
66,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,8.845175000000001,5.790943048919872,65.47007887260423,
67,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,4.811324999999999,2.989383615814473,62.13223209437054,
68,Fuca1-2Galb1-3GlcNAcb-Sp0,10.12425,10.109281937737551,99.8521563349142,
69,Fuca1-2Galb1-3GlcNAcb-Sp8,6.494525,9.944633087709507,153.1233321560777,
70,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,9.397699999999999,2.0242710259909984,21.54006859115527,
71,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,12.28895,13.829725944139309,112.53789741303618,
72,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,4.224549999999999,3.9193483272095135,92.77552229727462,
73,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,4.200450000000002,11.04067743468066,262.8451102782001,
74,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,7.723625000000002,4.329488234864863,56.05513259466717,
75,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,6.824825000000002,4.28902728706248,62.84450205041857,
76,Fuca1-2Galb1-4GlcNAcb-Sp0,6.735525000000001,7.592766036333532,112.72715989226572,
77,Fuca1-2Galb1-4GlcNAcb-Sp8,12.025875,13.782673447333552,114.60848750991968,
78,Fuca1-2Galb1-4Glcb-Sp0,6.1923499999999985,1.6421015407093484,26.518228793743067,
79,Fuca1-2Galb-Sp8,7.604624999999999,5.934107578159225,78.03287575862356,
80,Fuca1-3GlcNAcb-Sp8,7.614649999999999,5.481498715071758,71.986220181778,
81,Fuca1-4GlcNAcb-Sp8,10.564074999999999,5.352304853285168,50.665153866146994,
82,Fucb1-3GlcNAcb-Sp8,10.889774999999997,8.711082540218525,79.99322796126208,
83,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,9.46555,8.897670231583099,94.00056237179137,
84,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,13.082074999999996,7.044070005981391,53.84520426600056,
85,(3S)Galb1-4(Fuca1-3)Glcb-Sp0,7.7555,5.051451015962308,65.13378912980863,
86,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,89.49417500000001,29.426928687669104,32.88138997612873,
87,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,365.636075,63.724763373085956,17.428467191889084,
88,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,7.739325,7.524132872021423,97.21949746291082,
89,GlcNAcb1-3Galb1-3GalNAca-Sp8,21.13565,14.5063907416697,68.63470364843145,
90,GalNAca1-3(Fuca1-2)Galb-Sp8,15.344925,6.524606465463384,42.51963737498478,
91,GalNAca1-3(Fuca1-2)Galb-Sp18,17.208575000000003,14.535475636151942,84.4664688165751,
92,GalNAca1-3GalNAcb-Sp8,7.33245,5.30170785156381,72.30472559054355,
93,GalNAca1-3Galb-Sp8,90.63364999999999,57.24818241507762,63.16437925105921,
94,GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,546.9596,102.80330418749469,18.795410883636503,
95,GalNAcb1-3GalNAca-Sp8,7.200025,4.0044642641057475,55.617366107836396,
96,GalNAcb1-3(Fuca1-2)Galb-Sp8,5.7920500000000015,1.7791537810618352,30.717168896363717,
97,GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,64.925275,2.2039090141154456,3.39453165830325,
98,GalNAcb1-4(Fuca1-3)GlcNAcb-Sp0,357.283775,29.616705594689268,8.289406815265895,
