Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Aca2-8Neu5Acb-Sp17,430.0552,250.40536244837114,125.20268122418557,58.22633058462521
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,482.8126250000001,323.69585379136754,161.84792689568377,67.04378407490225
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8,572.1812,283.4146540872697,141.70732704363485,49.532325439435915
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,176.03032500000003,74.43995025752302,37.21997512876151,42.288139988108874
5,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,983.763275,187.68603786730785,93.84301893365392,19.07837410044686
6,a-D-Gal–Sp8,95.38627499999998,49.19555837277569,24.597779186387847,51.57509125162473
7,a-D-Glc–Sp8,131.79429999999996,11.404056762106917,5.702028381053458,8.652921076334044
8,a-D-Man–Sp8,130.02554999999992,99.70842095277948,49.85421047638974,76.68371404910769
9,a-GalNAc–Sp8,715.4781249999999,306.8248714419506,153.4124357209753,42.883892703491206
10,a-L-Fuc–Sp8,2775.2291250000003,1323.6300512075225,661.8150256037612,47.694442209614756
11,a-L-Fuc–Sp9,1342.7363999999995,123.76379266481833,61.88189633240916,9.217281416130401
12,a-L-Rha-Sp8,1009.7307000000001,427.57320258297057,213.78660129148528,42.345271128526704
13,a-Neu5Ac–Sp8,1093.5712250000001,145.18511155290446,72.59255577645223,13.276237361942696
14,a-Neu5Ac–Sp11,1054.4817500000004,916.1256451554873,458.06282257774365,86.87923192179352
15,b-Neu5Ac-Sp8,324.31724999999994,151.20189141291604,75.60094570645802,46.62160011930172
16,b-D-Gal–Sp8,146.49134999999995,176.9377400790364,88.4688700395182,120.78374598843989
17,b-D-Glc–Sp8,575.5881,203.22260110975282,101.61130055487641,35.306949728417386
18,b-D-Man–Sp8,211.26402500000003,88.84340483031075,44.42170241515537,42.053257685642755
19,b-GalNAc–Sp8,148.1751250000001,49.09320844749409,24.546604223747046,33.13188259331252
20,b-GlcNAc–Sp0,10.042624999999958,35.28474607658614,17.64237303829307,351.34983210650887
21,b-GlcNAc–Sp8,1191.8577500000001,390.80217472995673,195.40108736497837,32.78933033157327
22,b-GlcN(Gc)-Sp8,569.4263250000001,328.5016511820337,164.25082559101685,57.68993050717028
23,"(Galb1-4GlcNAcb)2-3,6-GalNAca-Sp8",1212.1483999999998,579.8528568732646,289.9264284366323,47.83678771289594
24,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,1052.8760499999999,584.369273152987,292.1846365764935,55.50219070449813
25,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,1262.084675,385.3180436913927,192.65902184569634,30.530284641273585
26,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,1225.0224749999995,404.59655301792753,202.29827650896377,33.027684085382
27,[3OSO3]Galb1-4Glcb-Sp8,432.2435999999997,308.65123862914663,154.32561931457332,71.40678048886019
