Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,174.620475,91.58847045996471,45.794235229982355,52.45001793745247
2,Neu5Acα2-8Neu5Acβ-Sp17,260.42427499999997,108.92277553668868,54.46138776834434,41.82512384327025
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,47.560024999999996,22.506375212722116,11.253187606361058,47.322042435263896
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,200.76615,34.52139718160312,17.26069859080156,17.194829497703232
5,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,22.750425000000007,11.991787700026222,5.995893850013111,52.7101700299059
6,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,99.37105000000003,47.78999699522203,23.894998497611017,48.09247461430871
7,α-D-Gal–Sp8,839.0181500000002,1445.537541736551,722.7687708682755,172.2891860845383
8,α-D-Glc–Sp8,113.14694999999996,66.15843606890468,33.07921803445234,58.47125005924128
9,α-D-Man–Sp8,120.77890000000001,99.33490171696954,49.66745085848477,82.2452445890545
10,α-GalNAc–Sp8,93.97167499999999,103.88762826433738,51.94381413216869,110.55206610325652
11,α-L-Fuc–Sp8,218.14834999999994,282.1980382342572,141.0990191171286,129.3606109027445
12,α-L-Fuc–Sp9,17.745575000000002,7.272542908948666,3.636271454474333,40.98228943806366
13,α-L-Rhα–Sp8,62.231025,55.60164231215806,27.80082115607903,89.3471420600224
14,α-Neu5Ac–Sp8,28.86829999999999,27.79483584912854,13.89741792456427,96.28151241717921
15,α-Neu5Ac–Sp11,51.879450000000006,32.56345940554646,16.28172970277323,62.767549396816
16,β-Neu5Ac-Sp8,204.23267500000014,173.5522453837146,86.7761226918573,84.97770759929305
17,β-D-Gal–Sp8,122.32542499999998,49.082218301157795,24.541109150578897,40.12429819978782
18,β-D-Glc–Sp8,124.14025,49.43951221917505,24.719756109587525,39.82552976909186
19,β-D-Man–Sp8,107.965975,23.20680442404416,11.60340221202208,21.49455365363408
20,β-GalNAc–Sp8,55.22005,44.7383253219952,22.3691626609976,81.01826297150255
21,β-GlcNAc–Sp0,56.10919999999999,30.238101974936633,15.119050987468317,53.891522201237294
22,β-GlcNAc–Sp8,55.846475,54.55627943615504,27.27813971807752,97.68974574698768
23,β-GlcN(Gc)-Sp8,219.063125,144.21996830597303,72.10998415298651,65.83489042529317
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",55.868275,20.382418341040076,10.191209170520038,36.482992075628026
25,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,113.81044999999999,143.48084270288498,71.74042135144249,126.07000737004819
26,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,-1.6727500000000077,33.499866678789395,16.749933339394698,-2002.6822106584511
27,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,91.17205000000001,30.505714219415736,15.252857109707868,33.45950235781221
28,[3OSO3]Galβ1-4Glcβ-Sp8,134.7329,97.34094665764593,48.670473328822965,72.24734764682266
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,149.47865,39.37009254628888,19.68504627314444,26.338271416211533
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,60.27547499999994,45.32087145943453,22.660435729717264,75.18957164490959
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,33.12669999999999,11.00911318802138,5.50455659401069,33.23335312005538
32,[3OSO3]Galβ1-3GalNAcα–Sp8,11.433950000000024,19.910892358790264,9.955446179395132,174.1383542764331
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,23.612225000000002,5.795846500368567,2.8979232501842835,24.545956598196767
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,18.610924999999995,41.01761738102096,20.50880869051048,220.39537197114583
