Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,35.74067500000001,41.13458293345353,20.567291466726765,115.09179088938168
2,Neu5Acα2-8Neu5Acβ-Sp17,72.25587500000002,33.5673087474877,16.78365437374385,46.45616532563987
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,66.21635,40.883636184705175,20.441818092352587,61.74250949305598
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,223.05875,183.69659746684667,91.84829873342333,82.35345955576577
5,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,9.319400000000002,30.804541450355433,15.402270725177717,330.5421105474111
6,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,69.560625,76.17735261941372,38.08867630970686,109.51217390501267
7,α-D-Gal–Sp8,51.19884999999985,42.795502200314274,21.397751100157137,83.58684267383818
8,α-D-Glc–Sp8,24.470875000000028,16.039557874907086,8.019778937453543,65.54550205052769
9,α-D-Man–Sp8,34.743575,16.351571346178535,8.175785673089267,47.06358325583517
10,α-GalNAc–Sp8,12.491475000000023,26.31729767781069,13.158648838905345,210.68206659190082
11,α-L-Fuc–Sp8,91.3306,63.59838978857874,31.79919489428937,69.63535746899588
12,α-L-Fuc–Sp9,18.631950000000003,55.415851283455005,27.707925641727503,297.42378700809627
13,α-L-Rhα–Sp8,34.715699999999984,28.615349984346967,14.307674992173483,82.42769117242914
14,α-Neu5Ac–Sp8,24.71747499999998,21.566624522067272,10.783312261033636,87.25253903186831
15,α-Neu5Ac–Sp11,30.832800000000006,62.29032790811108,31.14516395405554,202.02617961427788
16,β-Neu5Ac-Sp8,127.048225,103.3646489231328,51.6823244615664,81.35859349718014
17,β-D-Gal–Sp8,56.77935000000005,39.073379412629926,19.536689706314963,68.81617949594332
18,β-D-Glc–Sp8,-8.968900000000005,21.69920737139185,10.849603685695925,-241.93833548586602
19,β-D-Man–Sp8,48.76089999999999,19.684766945873,9.8423834729365,40.36998280563526
20,β-GalNAc–Sp8,23.564,42.69810261139635,21.349051305698175,181.20057125868422
21,β-GlcNAc–Sp0,41.227474999999984,20.217088192645065,10.108544096322532,49.03790055695885
22,β-GlcNAc–Sp8,62.298725000000005,38.87287970160989,19.436439850804945,62.397552600971984
23,β-GlcN(Gc)-Sp8,29.079350000000005,29.766453276297455,14.883226638148727,102.36285637848661
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",52.8758,36.446741718293566,18.223370859146783,68.92896508098897
25,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,262.53405,281.11377959121234,140.55688979560617,107.07707422759538
26,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,-7.309849999999983,28.690908137422213,14.345454068711106,-392.49653737658474
27,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,11.840900000000005,8.137084560619224,4.068542280309612,68.72015269632563
28,[3OSO3]Galβ1-4Glcβ-Sp8,121.81385,115.23549585668775,57.617747928343874,94.59966650482498
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,3.747025000000008,16.22581150253607,8.112905751268036,433.0318453315908
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,278.95475,329.6406527595739,164.82032637978696,118.16993715273676
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,39.23015000000002,47.13221572417321,23.566107862086604,120.14283841426348
32,[3OSO3]Galβ1-3GalNAcα–Sp8,-4.8698750000000075,25.026435531570087,12.513217765785043,-513.9030371738504
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,54.10329999999999,21.647523899051418,10.823761949525709,40.011466766447555
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,28.436400000000006,30.041376670518964,15.020688335259482,105.64409232715448
35,[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp8,50.347624999999994,30.763284554197078,15.381642277098539,61.10175912805636
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,5.922150000000002,22.097669082884433,11.048834541442217,373.13592331981505
37,[3OSO3]Galβ1-4GlcNAcβ-Sp8,67.94990000000001,53.77823944738245,26.889119723691223,79.14395672014592
38,[3OSO3]Galβ–Sp8,53.7184,33.234478888146676,16.617239444073338,61.867961235157175
39,[4OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,105.09779999999998,143.91485203619538,71.95742601809769,136.93421939964054
40,[4OSO3]Galβ1-4GlcNAcβ-Sp8,18.031875,14.929984598423667,7.464992299211834,82.79773788595844
41,6-H2PO3Manα–Sp8,152.78537499999996,119.87811518416615,59.939057592083074,78.4617737032528
42,[6OSO3]Galβ1-4Glcβ–Sp0,68.08227499999998,69.43052175196127,34.71526087598063,101.98031977039734
43,[6OSO3]Galβ1-4Glcβ–Sp8,140.84872499999997,106.05461447877933,53.027307239389664,75.2968225156311
44,[6OSO3]Galβ1-4GlcNAcβ–Sp8,52.066725000000005,55.78354361824971,27.891771809124855,107.13856809363314
