Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,-12.960374999999999,29.37754966822738,14.68877483411369,-226.67206518505355
2,Neu5Acα2-8Neu5Acβ-Sp17,193.78807500000005,150.9409424512199,75.47047122560996,77.88969597392402
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,100.00365,71.82029764026791,35.910148820133955,71.81767629508315
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,167.48005,48.94454962168912,24.47227481084456,29.224107361855406
5,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,39.12784999999998,31.823758933696062,15.911879466848031,81.33275642207808
6,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,127.55170000000005,82.15628934208262,41.07814467104131,64.41018766671286
7,α-D-Gal–Sp8,63.62170000000015,21.03332079298467,10.516660396492336,33.05997920989949
8,α-D-Glc–Sp8,43.77074999999999,70.17205920143715,35.086029600718575,160.31724199708063
9,α-D-Man–Sp8,89.48777499999997,112.82239410824326,56.41119705412163,126.07576186606863
10,α-GalNAc–Sp8,80.83287499999997,73.27062360720817,36.63531180360408,90.64458440604542
11,α-L-Fuc–Sp8,542.7376750000001,272.5426473666862,136.2713236833431,50.216275729648984
12,α-L-Fuc–Sp9,86.25907500000004,82.1879524671086,41.0939762335543,95.2803545216646
13,α-L-Rhα–Sp8,123.57600000000001,76.19491713629372,38.09745856814686,61.65834558190403
14,α-Neu5Ac–Sp8,29.464925000000022,35.532895715508026,17.766447857754013,120.59387802788571
15,α-Neu5Ac–Sp11,98.51422500000001,26.722915378924544,13.361457689462272,27.125945901644705
16,β-Neu5Ac-Sp8,60.59610000000001,32.54666470961346,16.27333235480673,53.710824144810395
17,β-D-Gal–Sp8,1228.419125,237.19854224174784,118.59927112087392,19.30925181922317
18,β-D-Glc–Sp8,50.59620000000001,69.460027814228,34.730013907114,137.28309203898314
19,β-D-Man–Sp8,582.1528749999999,361.55421171702056,180.77710585851028,62.10640318782599
20,β-GalNAc–Sp8,96.10852500000001,120.97629390563468,60.48814695281734,125.87467543137787
21,β-GlcNAc–Sp0,351.247475,190.47283977712547,95.23641988856274,54.22753281774494
22,β-GlcNAc–Sp8,19.194525,21.868408785639488,10.934204392819744,113.93045040520404
23,β-GlcN(Gc)-Sp8,183.33509999999998,104.05405550155169,52.027027750775844,56.75621062281674
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",44.25852499999999,33.300273207124974,16.650136603562487,75.24035924632595
25,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,7340.2260750000005,1507.9753223050006,753.9876611525003,20.543990156393114
26,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,127.39104999999999,42.895041023448584,21.447520511724292,33.671942435083615
27,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,144.05262499999998,45.77452645641641,22.887263228208205,31.776252918970698
28,[3OSO3]Galβ1-4Glcβ-Sp8,286.599625,236.19245406116556,118.09622703058278,82.41198991839768
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,162.84269999999995,122.8792768271907,61.43963841359535,75.4588795366269
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,114.12289999999999,103.18035193234772,51.59017596617386,90.41161058152898
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,103.86567500000001,101.44353555718807,50.721767778594035,97.66800779678951
32,[3OSO3]Galβ1-3GalNAcα–Sp8,97.78097499999998,49.96817416778908,24.98408708389454,51.10214350776221
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,90.51227499999996,88.80974737615144,44.40487368807572,98.11900913566859
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,28.174900000000008,24.19926371180192,12.09963185590096,85.88943957849686
35,[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp8,81.11712500000002,47.82073883497098,23.91036941748549,58.95270429637512
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,7.7113000000000085,12.084164932947035,6.042082466473517,156.70723396764515
37,[3OSO3]Galβ1-4GlcNAcβ-Sp8,14.238025000000007,24.546598884214102,12.273299442107051,172.40171220526784
38,[3OSO3]Galβ–Sp8,37.248949999999994,37.71307584331108,18.85653792165554,101.24601054072957
39,[4OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,104.436575,99.28235806118411,49.641179030592056,95.06473959068852
40,[4OSO3]Galβ1-4GlcNAcβ-Sp8,84.90712500000001,115.47986454975243,57.73993227487622,136.00727212204208
41,6-H2PO3Manα–Sp8,137.17290000000025,197.2975735793151,98.64878678965755,143.83130602277473
42,[6OSO3]Galβ1-4Glcβ–Sp0,74.6507,62.205562556896794,31.102781278448397,83.32884026123907
43,[6OSO3]Galβ1-4Glcβ–Sp8,214.646625,50.348631510722356,25.174315755361178,23.456521392182317
44,[6OSO3]Galβ1-4GlcNAcβ–Sp8,92.62125,58.635055380918075,29.317527690459038,63.306266521902984
45,[6OSO3]Galβ1-4[6OSO3]Glcβ-Sp8,178.741825,101.55001057493376,50.77500528746688,56.81379306434504
46,NeuAcα2-3[6OSO3]Galβ1-4GlcNAcβ–Sp8,23.23797499999999,24.812323158647732,12.406161579323866,106.77489393394967
47,[6OSO3]GlcNAcβ–Sp8,137.51922499999995,53.65396677012031,26.826983385060156,39.015611650022265
48,9NAcNeu5Acα-Sp8,28.527900000000002,19.174730855651294,9.587365427825647,67.21395846049408
49,9NAcNeu5Acα2-6Galβ1-4GlcNAcβ-Sp8,89.19529999999999,58.71852082758902,29.35926041379451,65.83140684272493
50,Manα1-3(Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,17264.793425000003,4801.8374145532025,2400.9187072766013,27.812886585714836
51,GlcNAcβ1-2Manα1-3(GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,60605.59937499999,3275.500634822979,1637.7503174114895,5.404617178283585
52,Galβ1-4GlcNAcβ1-2Manα1-3(Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,88.3031999999996,101.40634751852704,50.70317375926352,114.83881390315129
53,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,65.73335,35.193311286331934,17.596655643165967,53.53950663754689
54,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp8,91.9451,29.93284053087331,14.966420265436655,32.55512314508692
55,Fucα1-2Galβ1-3GalNAcβ1-3Galα-Sp9,555.6454249999999,181.60598288946676,90.80299144473338,32.68378982684268
56,Fucα1-2Galβ1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ-Sp9,32.2543,33.280470503785445,16.640235251892722,103.18149984276653
57,Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,116.03825,45.30818146093121,22.654090730465605,39.045902071886815
58,Fucα1-2Galβ1-3GalNAcα–Sp8,0.8495999999999881,27.661359596978123,13.830679798489061,3255.809745407075
59,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp0,705.57595,291.1322578810357,145.56612894051784,41.26164701064934
60,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp9,125.40819999999998,65.53955147761295,32.76977573880647,52.26097773320482
61,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp10,38.99844999999998,111.10826864473225,55.554134322366124,284.9043196453508
62,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp8,99.465025,38.472034040185214,19.236017020092607,38.678956789268604
63,Fucα1-2Galβ1-3GlcNAcβ–Sp0,132.88005,110.34669229147741,55.173346145738705,83.04233200655584
64,Fucα1-2Galβ1-3GlcNAcβ–Sp8,238.48407500000002,284.5094966350143,142.25474831750714,119.29915934010027
65,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,196.06337500000004,49.01988555605946,24.50994277802973,25.002061479386168
66,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,478.228575,91.99098149244088,45.99549074622044,19.235776844250864
67,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp0,83.21637500000001,36.1018887516405,18.05094437582025,43.3831547596738
68,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,1.8738249999999965,15.646602329020173,7.823301164510086,835.0087296850133
69,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAc–Sp0,151.32012500000093,104.73539809779496,52.36769904889748,69.21445385919046
70,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0,343.6002500000001,519.8787658801775,259.93938294008876,151.30337241610778
71,Fucα1-2Galβ1-4GlcNAcβ–Sp0,414.2499000000001,686.912627870517,343.4563139352585,165.8208313075071
72,Fucα1-2Galβ1-4GlcNAcβ–Sp8,70.081575,56.161076213178994,28.080538106589497,80.13672097577572
73,Fucα1-2Galβ1-4Glcβ–Sp0,53.429875000000024,38.281563897640964,19.140781948820482,71.64823780261689
74,Fucα1-2Galβ–Sp8,127.42670000000001,54.171730295791626,27.085865147895813,42.51207187802213
75,Fucα1-3GlcNAcβ-Sp8,49848.973374999994,12455.396142760665,6227.698071380332,24.986264108314078
76,Fucα1-3GlcNAcβ-Sp8,61.03139999999999,83.36341405104916,41.68170702552458,136.59102372065718
77,Fucα1-4GlcNAcβ–Sp8,25185.101625000003,16730.17701516037,8365.088507580185,66.4288644305217
78,Fucβ1-3GlcNAcβ-Sp8,1929.7884500000005,1173.2755630426707,586.6377815213353,60.79814412002883
79,GalNAcα1-3(Fucα1-2)Galβ1-3GlcNAcβ-Sp0,41.80135,24.394186623387686,12.197093311693843,58.35741339307866
80,GalNAcα1-3(Fucα1-2)Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,106.11552499999999,73.18995970032924,36.59497985016462,68.97196211424223
81,GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ-Sp0,47.827524999999994,18.650393987505083,9.325196993752542,38.995105825578655
82,GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ–Sp8,119.3346,63.499870020496765,31.749935010248382,53.21161676537799
83,GalNAcα1-3(Fucα1-2)Galβ1-4Glcβ-Sp0,35.319424999999995,19.64761665603492,9.82380832801746,55.62835934060343
84,GalNAcα1-3(Fucα1-2)Galβ–Sp8,140.82344999999998,115.78158088736157,57.890790443680785,82.21754323400087
85,GalNAcα1-3GalNAcβ–Sp8,16.140274999999995,5.373755807238843,2.6868779036194215,33.29407836755473
86,GalNAcα1-3Galβ–Sp8,28.25917499999997,16.24623279602829,8.123116398014146,57.49011708950565
87,GalNAcα1-4(Fucα1-2)Galβ1-4GlcNAcβ-Sp8,109.27005,53.65150189513189,26.825750947565943,49.09991520561388
