Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,159.83572500000002,47.19296548387792,23.59648274193896,29.525918241293
2,Neu5Acα2-8Neu5Acβ-Sp17,227.20622500000002,107.45181672170935,53.725908360854675,47.29263765625671
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,43.02472499999999,19.169250632088897,9.584625316044448,44.55403406317856
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,346.62625,167.04407085448054,83.52203542724027,48.191408139020204
5,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,123.53482499999996,239.09520410818754,119.54760205409377,193.5447790598219
6,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,242.10619999999994,63.03865611961186,31.51932805980593,26.03760503432455
7,α-D-Gal–Sp8,162.96949999999993,66.04424341914033,33.022121709570165,40.52552374471319
8,α-D-Glc–Sp8,162.45442499999996,144.82831712330704,72.41415856165352,89.1501214099321
9,α-D-Man–Sp8,94.37975000000006,80.81441566579154,40.40720783289577,85.62685922116925
10,α-GalNAc–Sp8,244.30044999999996,118.80303825061321,59.401519125306606,48.62988924114271
11,α-L-Fuc–Sp8,130.54922499999998,42.48153248164615,21.240766240823074,32.540624030243116
12,α-L-Fuc–Sp9,191.615625,171.67362319337983,85.83681159668991,89.59270581059339
13,α-L-Rhα–Sp8,254.18200000000002,155.97518957716744,77.98759478858372,61.36358576813756
14,α-Neu5Ac–Sp8,42.37740000000008,41.92099611753827,20.960498058769137,98.92300168849007
15,α-Neu5Ac–Sp11,299.77555000000007,130.32045242361875,65.16022621180937,43.47267561467862
16,β-Neu5Ac-Sp8,184.38265,68.27201822970123,34.136009114850616,37.02735492178967
17,β-D-Gal–Sp8,327.24527499999976,108.53368694534007,54.26684347267003,33.16585302731724
18,β-D-Glc–Sp8,242.81549999999993,91.73573901902502,45.86786950951251,37.78001775793763
19,β-D-Man–Sp8,250.99362499999995,138.16228484243678,69.08114242121839,55.04613308104411
20,β-GalNAc–Sp8,74.94525000000004,56.129814131202394,28.064907065601197,74.89442510526332
21,β-GlcNAc–Sp0,-22.944150000000036,123.88482906916661,61.94241453458331,-539.940808742823
22,β-GlcNAc–Sp8,116.16369999999995,136.28348276645036,68.14174138322518,117.32019793313266
23,β-GlcN(Gc)-Sp8,185.90589999999997,66.6604421721009,33.33022108605045,35.85708800640588
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",159.822,85.85113285476588,42.92556642738294,53.71671788287337
25,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,242.6359500000002,54.97735422544472,27.48867711272236,22.65837120403826
26,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,238.6262999999999,97.49937492483396,48.74968746241698,40.85860398658237
