Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Aca2-8Neu5Acb-Sp17,15.673975000000006,5.563534185135025,2.7817670925675126,35.49536212182949
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,12.752899999999997,16.71769637380302,8.35884818690151,131.08937083959745
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8,28.738425000000007,22.081386413202562,11.040693206601281,76.83575705071713
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,19.04792500000001,11.44912890263563,5.724564451317815,60.10696127077162
5,Gala-Sp8,28.541849999999997,8.397386904071213,4.198693452035607,29.421312578095726
6,Glca-Sp8,23.002900000000004,12.359170765063498,6.179585382531749,53.72875057085626
7,Mana-Sp8,51.712925,22.5336126936887,11.26680634684435,43.57443075147789
8,GalNAca-Sp8,19.243624999999998,17.54534275857367,8.772671379286836,91.17483196941156
9,Fuca-Sp8,34.720499999999994,18.33035124922596,9.16517562461298,52.794030181667786
10,Fuca-Sp9,64.29157500000001,21.94496298688682,10.97248149344341,34.133497253546544
11,Rha-Sp8,48.01625,14.439144491162377,7.219572245581189,30.07137061132924
12,Neu5Aca-Sp8,25.81257499999999,8.179042686596421,4.089521343298211,31.686271852368176
13,Neu5Aca-Sp11,14.197849999999999,10.710353887243878,5.355176943621939,75.43644909084037
14,Neu5Acb-Sp8,6.446900000000003,5.4860146633659905,2.7430073316829953,85.09538946417639
15,Galb-Sp8,91.89715000000001,39.02797620259087,19.513988101295435,42.46919104954927
16,Glcb-Sp8,96.711175,5.317469799553729,2.6587348997768645,5.4982992395178005
17,Manb-Sp8,14.805425000000003,20.340106922264855,10.170053461132428,137.38279665909522
18,GalNAcb-Sp8,24.606075000000004,9.575273052459988,4.787636526229994,38.91426427197343
19,GlcNAcb-Sp0,24.286325,12.67536879026274,6.33768439513137,52.19138255896163
20,GlcNAcb-Sp8,37.656625000000005,5.032111023135995,2.5160555115679974,13.363149308085879
21,GlcN(Gc)b-Sp8,33.826150000000005,14.766071125048809,7.383035562524404,43.652828137546855
22,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,69.05650000000001,57.69856119263284,28.84928059631642,83.55268684719444
23,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,13.57885,8.084418798528436,4.042209399264218,59.536844420024046
24,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,43.284200000000006,23.677527972460872,11.838763986230436,54.70247335623824
25,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,20.799575,8.185605235360834,4.092802617680417,39.35467544582442
26,[3OSO3]Galb1-4Glcb-Sp8,27.078800000000008,6.923791164287561,3.4618955821437805,25.569047240969166
27,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,37.003725,19.920640204634484,9.960320102317242,53.834148331376056
28,[3OSO3]Galb1-4[6OSO3]Glcb-Sp8,22.938250000000004,21.2598311991574,10.6299155995787,92.68288208192602
29,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb-Sp8,44.558324999999996,19.449008900262783,9.724504450131391,43.648429110077146
