Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Aca2-8Neu5Acb-Sp17,97.81652500000001,22.276013629817896,11.138006814908948,22.773262114778557
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,83.14170000000001,53.82331606110252,26.91165803055126,64.7368481292811
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8,132.570925,25.4307590300114,12.7153795150057,19.182757478694068
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,170.58745,45.312650610434794,22.656325305217397,26.56271056893974
5,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,141.97044999999997,23.63610765058436,11.81805382529218,16.648610785261557
6,a-D-Gal–Sp8,139.17830000000004,12.934979257810882,6.467489628905441,9.293818977391503
7,a-D-Glc–Sp8,58.21245000000001,26.199256523102555,13.099628261551278,45.00627704744011
8,a-D-Man–Sp8,222.58130000000003,78.81515933630186,39.40757966815093,35.40960509094962
9,a-GalNAc–Sp8,86.85067499999997,39.20477014984915,19.602385074924577,45.14043229928745
10,a-L-Fuc–Sp8,133.783825,33.25825959581327,16.629129797906636,24.85970153403318
11,a-L-Fuc–Sp9,126.36172500000004,29.004410203895446,14.502205101947723,22.95347756917329
12,a-L-Rha–Sp8,104.923325,72.95189986401421,36.475949932007104,69.5287724288324
13,a-Neu5Ac–Sp8,132.52575000000002,37.619916378650586,18.809958189325293,28.386873025544528
14,a-Neu5Ac–Sp11,104.57795,43.35684053906603,21.678420269533014,41.45887401604834
15,b-Neu5Ac-Sp8,51.752150000000015,29.058170395432676,14.529085197716338,56.14872115541609
16,b-D-Gal–Sp8,234.74919999999995,65.44419353199635,32.722096765998174,27.878345711932717
17,b-D-Glc–Sp8,186.27024999999998,135.0275697513782,67.5137848756891,72.49014254899974
18,b-D-Man–Sp8,118.08805,28.19874487957465,14.099372439787325,23.879422921772907
