Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,193.58655,90.42590949082745,46.71084302645378,
2,Glca-Sp8,171.55455,36.71526022573355,21.401507698707817,
3,Mana-Sp8,316.259025,72.24949069169371,22.84503681489997,
4,GalNAca-Sp8,92.18120000000002,58.42741150447564,63.38321860040402,
5,GalNAca-Sp15,185.77030000000005,68.7634434426219,37.01530516052453,
6,Fuca-Sp8,106.3833,22.433257338603678,21.087198214948845,
7,Fuca-Sp9,161.00795,72.07966769357839,44.767769351499965,
8,Rhaa-Sp8,139.770175,82.50149107029829,59.026534860028825,
9,Neu5Aca-Sp8,241.41540000000003,50.88434317023896,21.07750506812695,
10,Neu5Aca-Sp11,287.9859000000001,214.07028484098402,74.33359926336115,
11,Neu5Acb-Sp8,215.526875,98.2407171101805,45.58165523913457,
12,Galb-Sp8,155.9563,111.25534017634087,71.33750940253191,
13,Glcb-Sp8,243.550675,100.96096748666038,41.45378266213402,
14,Manb-Sp8,163.982675,147.89496472590207,90.18938416872518,
15,GalNAcb-Sp8,146.79745,10.691358018044356,7.283067940243074,
16,GlcNAcb-Sp0,204.60322500000007,98.37479526506,48.08076474115204,
17,GlcNAcb-Sp8,179.55102499999998,62.26396004893879,34.67758541001857,
18,GlcN(Gc)b-Sp8,94.49507500000004,47.974389189398266,50.76919531456877,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,187.9472,111.55436972941321,59.35410036936608,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,124.93044999999996,68.45363534346939,54.793395319931534,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,43.191575,39.921647185236104,92.42924617876542,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,158.32485,62.77780550696232,39.65126479321618,
23,6S(3S)Galb1-4GlcNAcb-Sp0,165.8372,114.44749532753733,69.01195589863875,
