Chart Number,Structure,RFU,StDev,SEM,CV
1,Alpha1-acid glycoprotein (AGP),252.93433333333334,31.13688496639746,12.71158005790172,
2,AGP-A (AGP ConA flowthrough),202.79853333333332,13.641773915245313,5.569230879793419,
3,AGP-B (AGP ConA bound),180.32513333333335,26.820424112505453,10.949392293446122,
4,Ceruloplasmin,172.05696666666668,56.188192448971606,22.9387335115472,
5,Fibrinogen,1.1250333333333333,2.0656791006026727,0.8433099614679713,
6,Transferrin,215.67495,118.43334785592698,48.350211796094214,
7,α-D-Gal–Sp8,6162.7928,3679.7923693064085,1502.2689440313095,
8,α-D-Glc–Sp8,34.93978333333333,84.44398123739589,34.474110980129396,
9,α-D-Man–Sp8,2.9616529914529925,27.89749947949809,1.823716592646222,
10,α-GalNAc–Sp8,3817.928483333333,162.02577075655918,66.14674392245506,
11,α-L-Fuc–Sp8,1.6469166666666666,1.3171315764443075,0.5377167143993614,
12,α-L-Fuc–Sp9,3.0662000000000003,4.379454764693889,1.7879049208500997,
13,α-L-Rhα–Sp8,10.219983333333333,3.9167018208776927,1.5989868226300177,
14,α-Neu5Ac–Sp8,0.04313333333333333,0.10565465757204773,0.04313333333333333,
15,Neu5Acα1-2–Sp82,0.08088333333333332,0.19423007405308443,0.07929409568884124,
16,b-Neu5Ac-Sp8,0.64945,0.7301476419190848,0.2980815265996872,
17,β-D-Gal–Sp8,4538.85135,2426.374694957441,990.5633212411525,
18,β-D-Glc–Sp8,0.044283333333333334,0.08749012325209439,0.03571769325014021,
19,β-D-Man–Sp8,0.2861666666666667,0.6977339827374518,0.2848487056511072,
20,β-GalNAc–Sp8,667.0300333333333,183.14972646620762,74.77056272875339,
21,β-GlcNAc–Sp0,0.9169166666666667,1.6205518324529662,0.6615875152070041,
22,β-GlcNAc–Sp8,0.11303333333333332,0.1530210138074724,0.06247056729194779,
23,b-GlcN(Gc)-Sp8,0.14898333333333333,0.3509655277469095,0.14328107671442328,
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",994.16945,564.3651880022252,230.4011231992251,
25,(GlcNAcb1-3(GlcNAcb1-6)GlcNAcb1-4)GlcNAc-Sp8,0.1798,0.28340148200035936,0.11569817054157197,
26,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,2.0541999999999994,3.2709523567303753,1.3353607078239196,
27,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,0.31973333333333337,0.6191656278142923,0.25277330906916934,
28,[3OSO3]Galb1-4Glcb-Sp8,1.390483333333333,1.7767767146343028,0.7253660562854531,
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,0.33391666666666664,0.718484812411972,0.2933201963914369,
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,0.8124666666666666,0.9196979714377252,0.37546512458253406,
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,1.92745,4.05667522818872,1.6561307268751464,
32,[3OSO3]Galβ1-3GalNAcα–Sp8,0.17366666666666666,0.42539471866334533,0.17366666666666672,
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,0.6287,1.0025710229205709,0.40929790617592954,
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,0.7027166666666668,1.721297267082786,0.7027166666666669,
35,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,0.5300666666666666,0.6999444454145392,0.28575112326016233,
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,0.5524333333333333,1.1146232254294124,0.45504302629287463,
37,[3OSO3]Galb1-4GlcNAcb-Sp8,0.6753833333333333,1.3392862403783092,0.5467613180762191,
38,[3OSO3]Galβ–Sp8,0.28150000000000003,0.6233684592598505,0.25448910782192624,
39,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,0.30555,0.3885573509792345,0.1586278742844397,
40,[4OSO3]Galb1-4GlcNAcb-Sp8,0.39671666666666666,0.614717738207274,0.25095746574093214,
41,6-H2PO3Manα–Sp8,0.11146666666666667,0.1836844105161531,0.07498884657808194,
42,[6OSO3]Galβ1-4Glcβ–Sp0,0.7199500000000002,1.0833356132796523,0.44226991212003874,
43,[6OSO3]Galβ1-4Glcβ–Sp8,1.2255833333333335,2.5640136172935333,1.0467541759861505,
44,[6OSO3]Galβ1-4GlcNAcβ–Sp8,6.643699999999999,15.72486354916951,6.419648661725967,
45,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,2.470466666666667,4.498195296190092,1.836380539842195,
46,NeuAcα2-3[6OSO3]Galβ1-4GlcNAcβ–Sp8,0.032683333333333335,0.07022963524514894,0.028671128528732718,
47,[6OSO3]GlcNAcβ–Sp8,0.37346666666666667,0.46121021960345443,0.18828828369757314,
48,9NAcNeu5Aca-Sp8,0.34273333333333333,0.8395217845098879,0.34273333333333333,
49,9NAcNeu5Aca2-6Galb1-4GlcNAcb-Sp8,0.3776166666666667,0.6513009701103374,0.26589250762500083,
50,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,0.1322,0.18331246547902844,0.07483700065252927,
51,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,1.4322,1.313699046205028,0.5363153897972102,
52,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,122.13458333333334,39.01178387048797,15.92649407307242,
53,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,1.1744500000000002,2.420470384656668,0.9881528966544938,
54,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp8,1.6312333333333333,3.2052347100745466,1.3085315909233695,
55,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,72.89601666666667,30.32721284677617,12.381032799230077,
56,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,432.62348333333335,160.75023488702493,65.62600858429236,
57,Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,0.17990000000000003,0.37780150873176777,0.15423682007441242,
58,Fucα1-2Galβ1-3GalNAcα–Sp8,1.12785,2.693534661926592,1.0996309210366904,
59,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,0.06343333333333333,0.08084074880075436,0.03300309749772655,
60,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp9,0.12796666666666667,0.28942434359719416,0.11815699349218023,
61,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp10,0.05809999999999999,0.14231535405570264,0.058100000000000006,
62,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp8,0.32839999999999997,0.5129707048165616,0.2094194132994042,
63,Fucα1-2Galβ1-3GlcNAcβ–Sp0,1.1038333333333334,1.5620946740408106,0.6377224802198663,
64,Fucα1-2Galβ1-3GlcNAcβ–Sp8,0.16893333333333335,0.26365977066413954,0.10763865063772915,
65,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,2.1877166666666663,4.155433749401699,1.6964487243290844,
66,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,2.141183333333333,2.9186720318779678,1.19154286743887,
67,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp0,0.9417333333333332,0.9669989072727367,0.3947756507745184,
68,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,8.003983333333332,15.87596581886175,6.481335905013033,
69,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAc–Sp0,0.14625,0.19238593243789945,0.07854122802706871,
70,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,5.236883333333334,12.06832783022017,4.926874205444846,
71,Fucα1-2Galβ1-4GlcNAcβ–Sp0,0.6337666666666667,0.7411717713638764,0.3025821085993757,
72,Fucα1-2Galβ1-4GlcNAcβ–Sp8,3.1303666666666667,5.91833753368855,2.4161511805164664,
73,Fucα1-2Galβ1-4Glcβ–Sp0,5.44575,12.06472035262318,4.925401458882988,
74,Fucα1-2Galβ–Sp8,0.9,1.0420960972962139,0.42543395022024283,
75,Fuca1-2GlcNAcb-Sp8,0.60895,1.1667491208481797,0.4763233339864845,
76,Fucα1-3GlcNAcβ–Sp8,3.8085333333333335,6.040321467824925,2.4659509130916977,
77,Fucα1-4GlcNAcβ–Sp8,1.2373166666666666,2.2183535501958804,0.9056390445119096,
78,Fucb1-3GlcNAcb-Sp8,0.09996666666666666,0.24486732462022504,0.09996666666666668,
79,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,422.9554666666667,47.22945219630083,19.281343118684553,
80,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,908.9095333333333,108.30085699041709,44.213639722109086,
81,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,733.1163333333334,351.93725858115465,143.6777841662949,
82,GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ–Sp8,1054.1631166666668,57.040344716467764,23.286623217967406,
83,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,908.8727833333332,180.85665039571498,73.83441834307118,
84,GalNAcα1-3(Fucα1-2)Galβ–Sp8,698.9122000000001,114.65608182612887,46.80814939680191,
85,GalNAcα1-3GalNAcb–Sp8,3735.4081500000007,228.2201287372309,93.17047740641726,
86,GalNAcα1-3Galb–Sp8,3267.9087,200.04375964483614,81.66752289296828,
87,GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,5011.558033333334,6738.123807683394,2750.8275254206014,
88,GalNAcb1-3GalNAca–Sp8,0.5479999999999999,0.6053871851963832,0.24714828342515352,
89,GalNAcb1-3(Fuca1-2)Galb-Sp8,3.5107,7.133507789019369,2.912242359877809,
90,GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,97.59625,9.953423606126604,4.063468171463845,
91,GalNAcb1-4(Fuca1-3)GlcNAcb-Sp0,0.5270333333333334,0.6498826006800511,0.26531346072984024,
92,GalNAcβ1-4GlcNAcβ–Sp0,0.31173333333333336,0.5262053540839989,0.2148224362377243,
93,GalNAcβ1-4GlcNAcβ–Sp8,0.37790000000000007,0.8589764932755728,0.35067568492839657,
94,Galα1-2Galβ–Sp8,8521.8662,4290.352437676256,1751.5290481687991,
95,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,4232.991283333333,1734.0432259527965,707.9201825856713,
96,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,4622.650516666667,565.9185132955254,231.03526559474918,
97,Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,5634.634933333334,966.5427108343575,394.5894093584344,
98,Gala1-3(Fuca1-2)Galb1-4Glcb-Sp0,3912.109666666667,233.30897628933184,95.24799071999368,
99,Galα1-3(Fucα1-2)Galβ–Sp8,4072.9475833333327,209.25992661612173,85.43000730362513,
100,Gala1-3(Gala1-4)Galb1-4GlcNAcb-Sp8,7116.343850000001,468.560198952575,191.28890020179628,
101,Gala1-3GalNAca-Sp8,6255.364533333333,941.6866644535806,384.4419709157917,
102,Galα1-3GalNAcβ–Sp8,6277.8034,1634.2370641577725,667.1744876550931,
103,Galα1-3Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,7428.50825,444.1604242928625,181.3277339092652,
104,Gala1-3Galb1-3GlcNAcb-Sp0,5081.5849499999995,1931.5310965114784,788.544268128602,
105,Galα1-3Galβ1-4GlcNAcβ–Sp8,6654.106433333333,1096.279816455746,447.55436093809584,
106,Galα1-3Galβ1-4Glcβ–Sp0,6793.714283333334,2540.1168198986034,1036.998349302109,
107,Galα1-3Galβ–Sp8,5263.495283333334,481.4107141277555,196.53510105364367,
108,Gala1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,6734.279866666667,240.78050386057015,98.29822907810534,
109,Galα1-4Galβ1-4GlcNAcβ–Sp0,4891.845216666667,2431.4108271441874,992.6193135969418,
110,Galα1-4Galβ1-4GlcNAcβ–Sp8,8254.450683333333,4470.883083405377,1825.23037566405,
111,Galα1-4Galβ1-4Glcβ–Sp0,4172.37,2089.3876637553935,852.9889418444242,
112,Galα1-4GlcNAcb–Sp8,5832.2442,565.0886328658013,230.6964683280249,
113,Gala1-6Glcb-Sp8,3139.2717166666666,1335.8421052913395,545.3552558148372,
114,Galβ1-2Galβ–Sp8,3348.8148333333334,1086.0050558512546,443.3597074863868,
115,Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,1.1273666666666666,1.4297018076041825,0.5836733188275024,
116,Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4GlcNAcb-Sp0,406.28881666666666,52.568349753113544,21.460938919215042,
117,Galβ1-3(Fucα1-4)GlcNAc–Sp0,2.67275,4.498359314572371,1.8364475000663651,
118,Galβ1-3(Fucα1-4)GlcNAc–Sp8,0.06768333333333333,0.0888316253744502,0.03626535919824561,
119,Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,5.765433333333333,11.665688537187448,4.762497402390659,
120,Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcα-Sp8,907.5684166666666,153.35286062512702,62.606043187951165,
121,Galβ1-3(GlcNAcβ1-6)GalNAcα-Sp8,0.5435,0.6245197899186221,0.25495913659512837,
122,Galb1-3(Neu5Aca2-6)GalNAca-Sp8,0.39586666666666676,0.9500652181122445,0.387862501123501,
123,Galb1-3(Neu5Acb2-6)GalNAca-Sp8,1.4468833333333333,3.502471369428545,1.4298779489678288,
124,Galb1-3(Neu5Aca2-6)GlcNAcb1-4Galb1-4Glcb-Sp10,0.3664833333333333,0.7301161617624051,0.2980686748795392,
125,Galβ1-3GalNAcα-Sp8,6.626100000000001,6.754891499350673,2.757672906878793,
126,Galβ1-3GalNAcβ–Sp8,0.1701166666666667,0.24873102272669298,0.10154401481350067,
127,Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp0,0.6681666666666667,0.7304398747786613,0.2982008301650267,
128,Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,8.840066666666665,8.647778319699613,3.5304407153278254,
129,Galβ1-3GalNAcβ1-4Galβ1-4Glcβ–Sp8,3.2122333333333337,3.133159856545252,1.2791071551846016,
