Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,12.025374999999997,10.154351429600688,84.4410376358383,
2,Glca-Sp8,51.721774999999994,15.54495933893584,30.054961066080665,
3,Mana-Sp8,76.213775,19.85607386609535,26.05312998351722,
4,GalNAca-Sp8,20.574625000000005,18.018231033109213,87.57501550142085,
5,GalNAca-Sp15,52.709324999999986,14.46007743648586,27.433622867463896,
6,Fuca-Sp8,13.159699999999997,11.459202214523192,87.0779897301853,
7,Fuca-Sp9,42.4802,13.478284316633141,31.728391854636133,
8,Rhaa-Sp8,8.68885,6.86450093621768,79.00356130233206,
9,Neu5Aca-Sp8,32.918375,21.444352794209017,65.14402000162225,
10,Neu5Aca-Sp11,6.367124999999994,4.847024977842933,76.12580211387302,
11,Neu5Acb-Sp8,20.012474999999995,11.662473468744388,58.27601767769549,
12,Galb-Sp8,59.738125,16.337896880846255,27.349195979696812,
13,Glcb-Sp8,16.879275,12.172311466705903,72.11394723236575,
14,Manb-Sp8,35.59734999999999,4.976810337622491,13.980845028134095,
15,GalNAcb-Sp8,54.0135,23.180850544504697,42.91677181538818,
16,GlcNAcb-Sp0,10.005599999999998,3.346404108890614,33.44531171434612,
17,GlcNAcb-Sp8,17.792375,21.197242230437272,119.13666517503859,
18,GlcN(Gc)b-Sp8,64.83452499999999,23.428830425834445,36.13634930746304,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,16.800800000000002,6.717598412627332,39.98380084655094,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,101.74022500000001,31.669649748655328,31.12795332294117,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,9.161549999999998,4.2531652914819515,46.424079893489115,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,8.903925000000003,8.376551687647689,94.0770692435941,
23,6S(3S)Galb1-4GlcNAcb-Sp0,15.752149999999995,15.532607105591353,98.60626711649748,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,94.70422499999998,13.565389102510277,14.323953448233468,
25,(3S)Galb1-4Glcb-Sp8,20.668999999999997,20.141663497503533,97.44865981665072,
26,(3S)Galb1-4(6S)Glcb-Sp0,15.313950000000004,12.0686473778133,78.80819369145972,
27,(3S)Galb1-4(6S)Glcb-Sp8,2.7223999999999995,4.477068855847542,164.4530140996012,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,2.6929499999999997,4.881346236780722,181.26390154962857,
29,(3S)Galb1-3GalNAca-Sp8,3.5100500000000014,6.015316912959225,171.37410900013455,
