Chart Number,Structure,RFU,StDev,SEM,CV
1,Alpha1-acid glycoprotein (AGP),180.6993166666667,119.73937111602719,48.88339355933616,
2,AGP-A (AGP ConA flowthrough),220.42111666666673,228.91863848708704,93.45564281766836,
3,AGP-B (AGP ConA bound),727.1424166666667,179.30541799368365,73.20113036682974,
4,Ceruloplasmin,141.45020000000002,165.68448561843078,67.64040801010887,
5,Fibrinogen,177.42276666666666,326.12013489020677,133.13798755477134,
6,Transferrin,1207.0907833333333,2748.3045114241154,1121.9906184630174,
7,α-D-Gal–Sp8,140.5027166666667,129.06132844009343,52.6890667006633,
8,α-D-Glc–Sp8,145.89728333333335,298.02615768958543,121.66866939028692,
9,α-D-Man–Sp8,104.35470299145294,204.93677360934043,13.397135995984279,
10,α-GalNAc–Sp8,168.8784666666667,83.33957421839074,34.02323870264426,
11,α-L-Fuc–Sp8,250.52724999999998,583.7382876006841,238.3101579912821,
12,α-L-Fuc–Sp9,243.28785000000002,247.80416978242116,101.16562868349031,
13,α-L-Rhα–Sp8,158.9362,276.75553048863907,112.98497219840642,
14,α-Neu5Ac–Sp8,100.47289999999998,193.94327105181034,79.17700885387119,
15,Neu5Acα1-2–Sp82,148.208,218.25918733886095,89.10394010912201,
16,b-Neu5Ac-Sp8,-13.707966666666684,131.14560422407862,53.53996872633048,
17,β-D-Gal–Sp8,42.50673333333333,118.7992764494576,48.49960151883493,
18,β-D-Glc–Sp8,73.19558333333332,134.20024852342732,54.78702203951477,
19,β-D-Man–Sp8,119.77574999999997,305.00361182156354,124.51720311145701,
20,β-GalNAc–Sp8,87.56721666666668,147.1815951285815,60.086634598987835,
21,β-GlcNAc–Sp0,-22.64175000000002,50.28649175103589,20.529374290785555,
22,β-GlcNAc–Sp8,157.42661666666666,259.67731596951177,106.01282031679759,
23,b-GlcN(Gc)-Sp8,214.15610000000007,248.42732463351925,101.42003058614537,
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",29.669766666666664,114.9456990139895,46.92638511863496,
25,(GlcNAcb1-3(GlcNAcb1-6)GlcNAcb1-4)GlcNAc-Sp8,159.79141666666666,213.50282583461433,87.1621636561852,
26,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,90.32284999999997,119.62610914230635,48.837154552190064,
27,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,93.41181666666664,253.1577367803039,103.35121325825969,
28,[3OSO3]Galb1-4Glcb-Sp8,115.89686666666665,230.7714587666912,94.21205352935355,
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,203.37734999999998,265.4660806146258,108.37607358706305,
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,111.05935,145.25704850087996,59.30094172831068,
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,248.50305000000003,374.6360458931561,152.9445252820223,
32,[3OSO3]Galβ1-3GalNAcα–Sp8,131.447,179.5250425391399,73.29079171205615,
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,165.8904166666667,247.94444011129121,101.22289380545432,
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,119.98191666666666,208.99477148291933,85.32175817378753,
35,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,17.21150000000002,174.49753495090988,71.23832033386715,
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,77.8356,117.11070507368657,47.810245141350194,
37,[3OSO3]Galb1-4GlcNAcb-Sp8,151.29833333333335,151.30329835861033,61.769312896446486,
38,[3OSO3]Galβ–Sp8,56.00176666666666,75.8205506884424,30.95361020058528,
39,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,-36.14223333333334,82.04027539950528,33.49280218103255,
40,[4OSO3]Galb1-4GlcNAcb-Sp8,154.50531666666663,310.5186719456491,126.76871697892035,
41,6-H2PO3Manα–Sp8,50.349866666666664,100.68905220359694,41.106133430545114,
42,[6OSO3]Galβ1-4Glcβ–Sp0,116.51316666666668,204.12654495341525,83.33431301552666,
43,[6OSO3]Galβ1-4Glcβ–Sp8,171.47123333333334,158.49781218702887,64.70646086761698,
44,[6OSO3]Galβ1-4GlcNAcβ–Sp8,246.02431666666666,141.43100131365,57.738964504889985,
45,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,206.79818333333336,366.9916652310699,149.8237199450706,
46,NeuAcα2-3[6OSO3]Galβ1-4GlcNAcβ–Sp8,214.64671666666663,168.46388996580146,68.77509508343078,
47,[6OSO3]GlcNAcβ–Sp8,144.74460000000002,110.54697519919753,45.13061364102346,
48,9NAcNeu5Aca-Sp8,165.35615000000004,238.47811428160657,97.35828246851165,
49,9NAcNeu5Aca2-6Galb1-4GlcNAcb-Sp8,198.39211666666674,351.61337095049396,143.5455575947753,
50,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,165.55670000000003,138.9058380385936,56.70807091470608,
51,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,-57.26831666666666,106.96719376331076,43.66917398958841,
52,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,1475.4215166666665,783.3807244930384,319.81384155662545,
53,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,129.94508333333332,119.91468083734225,48.954963453364726,
54,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp8,50.56531666666668,205.94380428228877,84.07620602986879,
55,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,161.39908333333332,130.3132088571441,53.20014474078942,
56,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,134.59766666666667,109.21522699037287,44.58692971144248,
57,Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,82.15476666666667,147.65214668896175,60.27873646908817,
58,Fucα1-2Galβ1-3GalNAcα–Sp8,86.74966666666666,131.40886793599086,53.647445686659815,
59,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,64.70508333333332,196.9538399088621,80.40606844308633,
60,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp9,155.95058333333336,317.46686984053264,129.6053068913112,
61,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp10,41.748916666666695,124.74612913905452,50.9273939630033,
62,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp8,37.826733333333344,141.570798380424,57.796036418412335,
63,Fucα1-2Galβ1-3GlcNAcβ–Sp0,51.34635,92.07123634071067,37.58792483698943,
64,Fucα1-2Galβ1-3GlcNAcβ–Sp8,243.0486166666667,309.3618096550472,126.29642992648002,
65,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,60.44128333333331,222.60557244642743,90.87834439898361,
66,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,80.40326666666665,202.3873916798936,82.62430666475682,
67,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp0,186.15223333333333,109.41362669462457,44.66792605153177,
68,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,115.10113333333334,103.27735367263561,42.162803080485254,
69,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAc–Sp0,80.43698333333333,198.5781696525015,81.0691982840767,
70,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,145.71356666666665,250.86815158975972,102.41649401834866,
71,Fucα1-2Galβ1-4GlcNAcβ–Sp0,53.19703333333333,75.98597363173461,31.02114383438783,
72,Fucα1-2Galβ1-4GlcNAcβ–Sp8,5.113833333333379,126.60589678324885,51.686640924405644,
73,Fucα1-2Galβ1-4Glcβ–Sp0,305.97299999999996,412.8750355214904,168.5555274268552,
74,Fucα1-2Galβ–Sp8,242.0945,290.0392079067448,118.40801079542152,
75,Fuca1-2GlcNAcb-Sp8,58.47269999999998,146.76574711456345,59.916865358172174,
76,Fucα1-3GlcNAcβ–Sp8,89.50068333333331,301.708116720445,123.17182287019332,
77,Fucα1-4GlcNAcβ–Sp8,159.77421666666666,259.6232503460152,105.99074811843225,
78,Fucb1-3GlcNAcb-Sp8,73.73735,93.05677724778027,37.9902702274828,
79,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,104.76116666666667,178.78583840013354,72.989012886003,
80,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,94.37901666666669,232.15198381203135,94.7756505190562,
81,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,74.77448333333331,106.14090966833506,43.3318449203771,
82,GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ–Sp8,38.052083333333364,102.43527348936823,41.819025285232854,
83,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,69.27656666666668,123.49626013813806,50.41713708007538,
84,GalNAcα1-3(Fucα1-2)Galβ–Sp8,91.81683333333335,176.12101692883408,71.9011040759536,
85,GalNAcα1-3GalNAcb–Sp8,69.35630000000002,58.15700056223669,23.742496058039052,
86,GalNAcα1-3Galb–Sp8,147.0648666666667,280.2447275509794,114.40943093419841,
87,GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,67.96055000000001,85.9379819335025,35.08403421026674,
88,GalNAcb1-3GalNAca–Sp8,110.44101666666667,193.77714515762088,79.10918824156656,
89,GalNAcb1-3(Fuca1-2)Galb-Sp8,120.21883333333335,105.05655714955958,42.88915985832683,
90,GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,29.24681666666667,92.75960963525912,37.86895205768982,
91,GalNAcb1-4(Fuca1-3)GlcNAcb-Sp0,91.09278333333333,186.60072373095895,76.17942646248359,
92,GalNAcβ1-4GlcNAcβ–Sp0,203.63356666666672,273.4762594909157,111.64621541961814,
93,GalNAcβ1-4GlcNAcβ–Sp8,10.032066666666688,95.23545508722403,38.87971173090722,
94,Galα1-2Galβ–Sp8,20.614400000000007,96.47277346513887,39.38484484345047,
95,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,168.0096333333333,205.92966188458303,84.07043242018236,
96,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,113.22234999999996,209.43112179919916,85.49989744445215,
97,Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,174.74886666666666,249.8461830327665,101.99927710204835,
98,Gala1-3(Fuca1-2)Galb1-4Glcb-Sp0,91.75425000000003,161.339479862974,65.866566838388,
99,Galα1-3(Fucα1-2)Galβ–Sp8,101.81226666666663,207.50407612029858,84.7131843403952,
100,Gala1-3(Gala1-4)Galb1-4GlcNAcb-Sp8,153.93093333333334,220.51460367865587,90.02470997412755,
101,Gala1-3GalNAca-Sp8,186.6560833333333,212.38925211994527,86.70754909086605,
102,Galα1-3GalNAcβ–Sp8,280.10996666666665,246.13302676599633,100.48338740391425,
103,Galα1-3Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,21.25230000000002,149.6101870997293,61.078103119443185,
104,Gala1-3Galb1-3GlcNAcb-Sp0,161.12726666666666,236.3131155087645,96.4744254206425,
105,Galα1-3Galβ1-4GlcNAcβ–Sp8,208.64195000000004,193.47394058287793,78.98540549226693,
106,Galα1-3Galβ1-4Glcβ–Sp0,139.6766166666667,240.1527266108417,98.0419400891116,
107,Galα1-3Galβ–Sp8,7.735583333333352,108.23531908408486,44.18688398388838,
108,Gala1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,76.04660000000001,104.35605894505602,42.60318266386525,
109,Galα1-4Galβ1-4GlcNAcβ–Sp0,137.8441,230.7176103768934,94.19007001627436,
110,Galα1-4Galβ1-4GlcNAcβ–Sp8,36.475699999999996,25.382836244675293,10.36249950401287,
111,Galα1-4Galβ1-4Glcβ–Sp0,0.25533333333333985,62.08692468478905,25.346880862723747,
112,Galα1-4GlcNAcb–Sp8,118.6119,164.72137361367527,67.2472191806422,
113,Gala1-6Glcb-Sp8,232.73058333333333,272.96516414831706,111.4375616197382,
114,Galβ1-2Galβ–Sp8,132.1990166666666,188.14471202583837,76.80975704436433,
115,Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,203.99581666666666,609.7858614704655,248.94403549435157,
116,Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4GlcNAcb-Sp0,146.12493333333333,256.1565938886108,104.57549154607139,
117,Galβ1-3(Fucα1-4)GlcNAc–Sp0,64.42371666666664,176.68563951750488,72.13161028253573,
118,Galβ1-3(Fucα1-4)GlcNAc–Sp8,59.23243333333334,131.44160401819,53.6608101362541,
119,Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,190.1659333333333,317.988702467573,129.81834416920867,
