Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,6.0827250000000035,4.001566805119378,65.78575893402012,
2,Glca-Sp8,9.580499999999995,1.8975748241725097,19.80663664915725,
3,Mana-Sp8,26.63019999999999,10.879314422946589,40.85329596828635,
4,GalNAca-Sp8,4.913549999999999,13.552883157345773,275.8267069093787,
5,GalNAca-Sp15,14.193474999999998,6.481796577788705,45.667439283112174,
6,Fuca-Sp8,8.603549999999998,10.840310230646843,125.99810811405577,
7,Fuca-Sp9,15.138650000000002,5.575234534080163,36.82781842555421,
8,Rhaa-Sp8,7.176474999999998,10.65562901518098,148.47998516236706,
9,Neu5Aca-Sp8,22.813074999999998,16.02443616634191,70.24233325118124,
10,Neu5Aca-Sp11,8.28835,0.59982144287553,7.2369222206534465,
11,Neu5Acb-Sp8,13.102250000000002,11.815993726160597,90.18293595497411,
12,Galb-Sp8,5.671825000000002,7.162942329506316,126.28990368190685,
13,Glcb-Sp8,16.380250000000004,2.594739748670951,15.840660238219506,
14,Manb-Sp8,19.23925,3.539691596264649,18.398282657924035,
15,GalNAcb-Sp8,6.527250000000002,0.7326705921944916,11.22479745979534,
16,GlcNAcb-Sp0,10.18175,5.56434866179322,54.65021888961348,
17,GlcNAcb-Sp8,5.255524999999995,4.877468924469599,92.80650219473038,
18,GlcN(Gc)b-Sp8,5.090175,8.520355353456017,167.38825980356307,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,20.939474999999995,9.395311134239618,44.8688953960862,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,3.921624999999999,6.246087580971527,159.27294376620736,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,16.787850000000002,13.307279661022635,79.2673252442846,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,5.221575000000001,2.2543510779157763,43.17377568867201,
23,6S(3S)Galb1-4GlcNAcb-Sp0,6.202325000000004,9.663266346108514,155.80070934864762,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,35.616150000000005,12.548853367406373,35.23360432670676,
25,(3S)Galb1-4Glcb-Sp8,9.105825,6.43790278448658,70.7009280816025,
26,(3S)Galb1-4(6S)Glcb-Sp0,4.75695,8.104486331450417,170.37148449007069,
27,(3S)Galb1-4(6S)Glcb-Sp8,8.925150000000002,5.704074473859303,63.9101244669199,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,15.17,4.817339119610877,31.755696240018967,
29,(3S)Galb1-3GalNAca-Sp8,7.989600000000001,8.30117366681764,103.8997404978677,
30,(3S)Galb1-3GlcNAcb-Sp0,1.7588250000000016,6.779796992720358,385.473085310952,
31,(3S)Galb1-3GlcNAcb-Sp8,7.181625,4.877330595981785,67.91402497320294,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,10.547549999999998,8.609279994091647,81.62350492855354,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,3.320574999999998,2.49429724956086,75.11642560583216,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,13.600174999999997,8.49116357412222,62.4342228987658,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,9.174600000000002,5.909668382687249,64.41336279169934,
36,(3S)Galb1-4GlcNAcb-Sp0,4.159225,2.0488785198656023,49.26106473839723,
37,(3S)Galb1-4GlcNAcb-Sp8,10.430174999999998,12.716021832416772,121.91570929938158,
38,(3S)Galb-Sp8,5.101374999999999,4.561854854752988,89.42402498841957,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,14.940675000000002,1.9553902174502051,13.08769662314591,
40,(4S)Galb1-4GlcNAcb-Sp8,-1.1207499999999992,5.516096494502854,-492.1790314077946,
41,(6P)Mana-Sp8,9.464375,9.871279802664901,104.2993309401297,
42,(6S)Galb1-4Glcb-Sp0,0.7739249999999993,3.240979871762037,418.77182824718676,
43,(6S)Galb1-4Glcb-Sp8,14.363849999999996,12.26809568718796,85.40952242739908,
44,(6S)Galb1-4GlcNAcb-Sp8,6.895874999999998,5.015936198009305,72.73821230821768,
45,(6S)Galb1-4(6S)Glcb-Sp8,5.965200000000003,5.6308642693639905,94.39523015764748,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,15.144725000000001,9.517949841702594,62.846633674118166,
47,(6S)GlcNAcb-Sp8,5.851649999999998,2.8400895226500635,48.53484953218434,
48,"Neu5,9Ac2a-Sp8",22.238424999999996,4.147380105861987,18.649612577608295,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",11.44435,3.227195077772633,28.19902465210023,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,29.865925,6.636242155705772,22.22011257212282,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,15.913725000000003,5.724279733657871,35.97070914357179,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,10.2949,7.1455392691291495,69.4085349943093,
