Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Aca2-8Neu5Acb-Sp17,24.28815,11.773288595941798,5.886644297970899,48.4733855643258
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,34.12842499999999,11.254738295898635,5.6273691479493175,32.9776082426852
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8,26.590325000000004,11.858212821043745,5.9291064105218725,44.59596797347811
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,22.6433,16.189545302241648,8.094772651120824,71.49817077122879
5,Gala-Sp8,46.536550000000005,28.068063531648686,14.034031765824343,60.31401883390299
6,Glca-Sp8,24.466199999999994,12.54442263424933,6.272211317124665,51.272460105162764
7,Mana-Sp8,16.685574999999996,7.21090506125966,3.60545253062983,43.2164013602148
8,GalNAca-Sp8,30.059874999999998,21.365111553710644,10.682555776855322,71.07518429038925
9,Fuca-Sp8,28.32830000000001,9.8213005802015,4.91065029010075,34.66957276010737
10,Fuca-Sp9,33.556975,3.266686475492671,1.6333432377463355,9.73474657799957
11,Rha-Sp8,38.3763,14.183268829387206,7.091634414693603,36.95840617617437
12,Neu5Aca-Sp8,35.00774999999999,7.406329925363882,3.703164962681941,21.156258043901378
13,Neu5Aca-Sp11,34.994324999999996,15.819468906461458,7.909734453230729,45.205812389470175
14,Neu5Acb-Sp8,36.96625,7.9137268778160035,3.9568634389080017,21.407978569143484
15,Galb-Sp8,22.193524999999998,7.426313662185749,3.7131568310928746,33.461622983215825
16,Glcb-Sp8,20.28725,22.750855579882412,11.375427789941206,112.14361522573249
17,Manb-Sp8,11.991799999999998,8.907750127089697,4.4538750635448485,74.28201043287662
18,GalNAcb-Sp8,32.092625,9.565837059862243,4.782918529931122,29.8069636243911
19,GlcNAcb-Sp0,23.356675000000003,4.448474167153625,2.2242370835768126,19.045836649067663
20,GlcNAcb-Sp8,25.766050000000003,17.23258574861397,8.616292874306986,66.88097612406236
21,GlcN(Gc)b-Sp8,17.03824999999999,29.607098563745367,14.803549281872684,173.76842436133632
22,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,41.06170000000001,19.88846599598202,9.94423299799101,48.4355640316451
23,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,16.194349999999996,7.775639848698392,3.887819924349196,48.014522649556135
24,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,22.171299999999995,16.64387111621974,8.32193555810987,75.06944164852644
25,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,34.20755,7.189495213851953,3.5947476069259765,21.017276051199087
26,[3OSO3]Galb1-4Glcb-Sp8,14.814325000000004,5.9830214615331965,2.9915107307665982,40.3867301516147
27,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,27.78585000000001,25.634153724084594,12.817076862042297,92.25614377132456
28,[3OSO3]Galb1-4[6OSO3]Glcb-Sp8,32.49597500000001,12.358659839258447,6.1793299196292235,38.031355696385305
29,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb-Sp8,30.093224999999997,8.721216341151447,4.360608170575723,28.980663724647147
30,[3OSO3]Galb1-3GalNAca-Sp8,20.505850000000002,15.449028192413921,7.724514096206961,75.33961378052565
31,[3OSO3]Galb1-3GlcNAcb-Sp8,19.691125000000003,8.739291501555867,4.369645750777933,44.38188016964935
32,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb-Sp8,39.160125,22.535020631508203,11.267510315754102,57.54583426765927
33,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,31.225625,18.531399929376626,9.265699964688313,59.34677025480395
34,[3OSO3]Galb1-4GlcNAcb-Sp0,16.146050000000002,5.1140314954707495,2.5570157477353748,31.673576481373146
35,[3OSO3]Galb1-4GlcNAcb-Sp8,32.817249999999994,7.43598856306273,3.717994281531365,22.65878025447815
36,[3OSO3]Galb-Sp8,31.518250000000002,4.727066006520264,2.363533003260132,14.997869508999592
37,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,44.0395,25.232040267749554,12.616020133874777,57.29411157653823
38,[4OSO3]Galb1-4GlcNAcb-Sp8,19.366850000000003,8.228330647018675,4.114165323509337,42.486675153773966
39,6-H2PO3Mana-Sp8,9.642600000000005,4.505192598916648,2.252596299458324,46.721761754263845
40,[6OSO3]Galb1-4Glcb-Sp0,17.261949999999995,2.3636769498671626,1.1818384749335813,13.69298920381048
41,[6OSO3]Galb1-4Glcb-Sp8,29.256475000000002,18.849036174364464,9.424518087182232,64.4268872937169
42,[6OSO3]Galb1-4GlcNAcb-Sp8,27.7655,15.762970904200346,7.881485452100173,56.771788385587676
