Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,9.285349999999998,12.93200069117949,139.2731635445028,
2,Glca-Sp8,5.915874999999999,7.061320817134712,119.36223833557527,
3,Mana-Sp8,8.407,2.9699869258971474,35.32754759006955,
4,GalNAca-Sp8,11.160625,5.222180857569622,46.79111481274232,
5,GalNAca-Sp15,3.123125,3.4312229669851937,109.86505397591175,
6,Fuca-Sp8,36.92887499999999,23.927398809924316,64.7931972201274,
7,Fuca-Sp9,34.477075,10.936734023273754,31.72175720612539,
8,Rhaa-Sp8,18.928175000000003,4.034260471160322,21.313520564768243,
9,Neu5Aca-Sp8,7.593875000000001,6.556355572203712,86.33741761885351,
10,Neu5Aca-Sp11,8.090150000000001,4.657289948385576,57.567411585515416,
11,Neu5Acb-Sp8,3.3409250000000004,8.99628890205104,269.2753923554417,
12,Galb-Sp8,1.7544750000000002,2.179111376035347,124.20304512947445,
13,Glcb-Sp8,12.762449999999998,7.226927650345846,56.62649138955176,
14,Manb-Sp8,3.4158500000000007,4.569474218113067,133.77268375698773,
15,GalNAcb-Sp8,-1.9770999999999992,10.675900411987115,-539.9777660202883,
16,GlcNAcb-Sp0,2.330625,7.644304963991171,327.9937769478647,
17,GlcNAcb-Sp8,10.85675,6.519314234130254,60.048488121493584,
18,GlcN(Gc)b-Sp8,8.445974999999999,5.3022818084135555,62.77880065254225,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,12.941524999999999,9.697126231475256,74.93032105161684,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,18.002800000000004,12.773525648256502,70.95299424676439,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,19.273600000000002,5.311263079532012,27.557192634131724,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,15.670724999999997,8.77392752130805,55.98928908080546,
23,6S(3S)Galb1-4GlcNAcb-Sp0,7.558425000000003,4.5566415749431055,60.28559620480595,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,3.526275,2.2558808942775905,63.973481769787966,
25,(3S)Galb1-4Glcb-Sp8,3.5588499999999996,0.9984168818684923,28.054480572895525,
26,(3S)Galb1-4(6S)Glcb-Sp0,0.2694499999999982,8.590521455068952,3188.1690313857894,
27,(3S)Galb1-4(6S)Glcb-Sp8,-0.20317499999999988,11.140477137410526,-5483.19288170815,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,7.707350000000002,7.041976589234963,91.36702743789968,
29,(3S)Galb1-3GalNAca-Sp8,13.119075000000002,9.24131164188829,70.44179289994369,
30,(3S)Galb1-3GlcNAcb-Sp0,-1.6656750000000002,1.3381826117910807,-80.33875826863466,
31,(3S)Galb1-3GlcNAcb-Sp8,10.988474999999996,6.04754239912104,55.03532017974325,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,6.0544499999999974,10.312954088426846,170.33676202507,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,7.942349999999999,9.370689107886708,117.98383485853317,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,12.750975,6.142072116354543,48.16943109334417,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,10.932525000000005,9.420821759759953,86.17242366022441,
36,(3S)Galb1-4GlcNAcb-Sp0,18.31645,10.304553149134305,56.258462470262,
37,(3S)Galb1-4GlcNAcb-Sp8,7.817650000000001,5.027950856628038,64.31537427012002,
38,(3S)Galb-Sp8,5.154425000000001,9.0522455889409,175.6208614722476,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,7.456800000000001,6.215070994499313,83.34769598888681,
40,(4S)Galb1-4GlcNAcb-Sp8,7.802449999999998,5.424776011658608,69.5265719313627,
41,(6P)Mana-Sp8,-2.6263500000000004,5.334416751935803,-203.11141896304002,
42,(6S)Galb1-4Glcb-Sp0,13.161525000000001,7.134322295016298,54.20589403595933,
43,(6S)Galb1-4Glcb-Sp8,-1.0539499999999995,0.38999863674975355,-37.00352357794523,
44,(6S)Galb1-4GlcNAcb-Sp8,12.692699999999999,11.532020876672052,90.8555380389677,
45,(6S)Galb1-4(6S)Glcb-Sp8,6.743450000000001,2.355590556527168,34.93153440045033,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,6.963849999999999,4.613595148760532,66.25063935553655,
47,(6S)GlcNAcb-Sp8,7.842850000000002,2.5062566382289324,31.955942523813814,
48,"Neu5,9Ac2a-Sp8",13.952300000000001,6.251216007039478,44.80419720791179,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",10.239899999999997,5.896688477442241,57.58541077004895,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,5.763125,3.5629247745590513,61.82279188043035,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,15.156275,5.705156688689627,37.64220884544274,
