Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,19.570525000000007,21.037405639380378,107.49535661092571,
2,Glca-Sp8,16.06375,9.756078960490902,60.733508430415704,
3,Mana-Sp8,30.73022500000001,12.339051955309735,40.15282008286542,
4,GalNAca-Sp8,5.91385,7.190748674280494,121.5916648930983,
5,GalNAca-Sp15,34.067425,8.410369560399845,24.687423720459776,
6,Fuca-Sp8,28.906400000000005,14.912461091986096,51.58878688451725,
7,Fuca-Sp9,18.560950000000005,17.369309215682737,93.57985025380022,
8,Rhaa-Sp8,6.627824999999998,6.280132575232789,94.75404940886023,
9,Neu5Aca-Sp8,18.576175000000003,11.72413760080033,63.113841255265555,
10,Neu5Aca-Sp11,10.991425000000003,6.695627937878568,60.91683232955295,
11,Neu5Acb-Sp8,25.865524999999998,8.846887522127023,34.203394371956584,
12,Galb-Sp8,16.424325000000003,11.982070769382902,72.95320063005877,
13,Glcb-Sp8,10.236875,5.066792144526293,49.4954968633132,
14,Manb-Sp8,7.381199999999998,5.2780185417130445,71.50623938808116,
15,GalNAcb-Sp8,34.48547500000001,24.340808508124116,70.58278451470977,
16,GlcNAcb-Sp0,28.607425000000003,10.841222522506387,37.896533933083404,
17,GlcNAcb-Sp8,5.926275000000002,6.621554822132032,111.73215590116945,
18,GlcN(Gc)b-Sp8,26.342974999999996,12.365633947456953,46.94091668635359,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,7.988975000000002,3.925269086635972,49.13357579208811,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,14.36905,7.218662772055958,50.23757849026872,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,4.841849999999999,7.576124010116695,156.47167942246654,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,8.7675,10.286424475005878,117.32448788144714,
23,6S(3S)Galb1-4GlcNAcb-Sp0,29.9585,24.537318788463157,81.90436366461323,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,30.367925,13.169619054570248,43.366871640292345,
25,(3S)Galb1-4Glcb-Sp8,17.044725,13.770143398279004,80.78829900910108,
26,(3S)Galb1-4(6S)Glcb-Sp0,12.505449999999998,4.612132146487862,36.880977065902165,
27,(3S)Galb1-4(6S)Glcb-Sp8,11.637249999999998,5.495953637298392,47.22725418203091,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,6.2954750000000015,5.85595741979909,93.0185159944101,
29,(3S)Galb1-3GalNAca-Sp8,12.424325000000005,7.480811062701244,60.211005931519345,
30,(3S)Galb1-3GlcNAcb-Sp0,11.136124999999998,8.779519857932632,78.83819423661852,
31,(3S)Galb1-3GlcNAcb-Sp8,42.00395,23.41238226017731,55.738525210551174,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,2.8707499999999992,8.837262671400763,307.8381144788214,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,3.800900000000002,3.5680363011979943,93.87345894914341,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,11.571375,5.823611370604445,50.3277386706804,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,6.381200000000003,7.57588089707505,118.72188455267107,
36,(3S)Galb1-4GlcNAcb-Sp0,3.440149999999999,4.797990435935999,139.47038460346207,
37,(3S)Galb1-4GlcNAcb-Sp8,3.467624999999998,4.060783996040669,117.10562693603465,
38,(3S)Galb-Sp8,14.986325,3.2773242606075437,21.868765428532637,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,13.397675,7.789824717486691,58.143108542987434,
40,(4S)Galb1-4GlcNAcb-Sp8,6.535599999999999,5.111798813855387,78.21468287311629,
41,(6P)Mana-Sp8,11.368125,22.000268370995695,193.52591892678606,
42,(6S)Galb1-4Glcb-Sp0,13.7774,9.115998130027597,66.16631679437047,
43,(6S)Galb1-4Glcb-Sp8,1.362025000000001,1.9765315873603764,145.11712981482538,
44,(6S)Galb1-4GlcNAcb-Sp8,12.7746,7.000858360705971,54.8029555579507,
45,(6S)Galb1-4(6S)Glcb-Sp8,36.441649999999996,12.461384521927465,34.19544538166485,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,18.5572,8.955693601651783,48.25994008606784,
47,(6S)GlcNAcb-Sp8,11.809075000000002,7.611153027575178,64.45172909457494,
48,"Neu5,9Ac2a-Sp8",3.744500000000002,5.987379077693341,159.89795907847076,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",7.10895,2.357686852969808,33.16505043599698,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,6.960250000000006,4.771816220615934,68.55811530643196,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,14.486075,21.380908389553984,147.59628394547167,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,16.151649999999997,19.973083695397,123.65971089886796,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,8.128475,7.472296444143975,91.92740882076865,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,3.4063000000000017,5.399683677772247,158.5204966612525,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,3.578800000000001,4.935263156779656,137.9027371403726,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,12.229599999999996,2.0299714530012576,16.598837680719388,
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,6.039625000000003,5.993525782806533,99.23672053822101,
58,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,13.145375,5.1496716486749605,39.174779332464546,
59,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,6.034550000000001,4.865410689414273,80.62590730732651,
60,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,16.671925,10.485001554403,62.890167478578505,
61,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,11.012399999999998,4.863781861884845,44.16641115365266,
62,Fuca1-2Galb1-3GalNAca-Sp8,4.1861999999999995,4.339616853287089,103.66482378498614,
63,Fuca1-2Galb1-3GalNAca-Sp14,14.992600000000001,11.518281563670852,76.82644480390893,
64,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,17.713875,5.707142195749113,32.21848520297853,
65,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,4.600799999999998,5.507275673143665,119.70256636114736,
66,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,2.492075,2.715074864989913,108.94836090366114,
67,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,8.414700000000002,8.126641122054465,96.57671838632945,
68,Fuca1-2Galb1-3GlcNAcb-Sp0,16.713949999999997,9.977437817228756,59.695271418358665,
69,Fuca1-2Galb1-3GlcNAcb-Sp8,6.8359749999999995,3.2776225544084068,47.94667263131312,
70,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,10.001199999999999,9.772839358480558,97.71666758469543,
71,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,9.235525000000003,9.653390715658752,104.52454750172566,
72,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,6.187524999999999,4.545869820232426,73.46830631362987,
73,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,3.1209500000000023,4.7797997702135255,153.1520777395832,
74,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,4.049874999999998,2.9868774356898764,73.75233644717127,
75,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,13.522874999999999,7.483119693182778,55.336751195162115,
76,Fuca1-2Galb1-4GlcNAcb-Sp0,23.706824999999995,8.143236897522169,34.34975749608887,
77,Fuca1-2Galb1-4GlcNAcb-Sp8,21.087975,22.35852508200173,106.02499804747364,
78,Fuca1-2Galb1-4Glcb-Sp0,18.663324999999997,6.145597733540673,32.92873983355417,
79,Fuca1-2Galb-Sp8,16.242199999999997,6.246377554497764,38.457706188187345,
80,Fuca1-3GlcNAcb-Sp8,11.066550000000001,4.81326771088693,43.49384144911404,
81,Fuca1-4GlcNAcb-Sp8,3.7752250000000007,10.961706455771383,290.35902378722807,
82,Fucb1-3GlcNAcb-Sp8,14.060599999999999,5.852096410689073,41.62053120556074,
83,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,4.721,3.0458868746776098,64.51783254983286,
84,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,20.007324999999998,3.159372394822577,15.791078491615332,
