Chart Number,Structure,RFU,StDev,SEM,CV
1,Galα-Sp8,0.0,0.0,0.0,7
2,Glcα-Sp8,0.0,0.0,0.0,7
3,Manα-Sp8,0.0,0.0,0.0,7
4,GalNAcα-Sp8,11.94595,6.688181822937125,3.3440909114685624,55.98702340908112
5,GalNAcα-Sp15,23.410424999999996,25.56541629772206,12.78270814886103,109.20526345729333
6,Fucα-Sp8,8.63835,5.729267964001452,2.864633982000726,66.3236377780647
7,Fucα-Sp9,12.512999999999991,11.522439549273683,5.761219774636841,92.08374929492281
8,Rhaα-Sp8,33.52895000000001,12.902033443221383,6.451016721610691,38.48027881344742
9,Neu5Acα-Sp8,275.26160000000004,138.2619339498281,69.13096697491405,50.229285141780785
10,Neu5Acα-Sp11,3.57015,4.546544641446582,2.273272320723291,127.34884084552701
11,Neu5Acβ-Sp8,142.66857499999998,98.00071399026898,49.00035699513449,68.69117042086458
12,Galβ-Sp8,34.0318,14.888519380605535,7.444259690302768,43.74884484689478
13,Glcβ-Sp8,24.409074999999994,17.150448208404544,8.575224104202272,70.26258966554262
14,Manβ-Sp8,82.38212500000002,26.77287873556302,13.38643936778151,32.49840755572039
15,GalNAcβ-Sp8,1.37625,1.4353070020034062,0.7176535010017031,104.29115364239101
16,GlcNAcβ-Sp0,53.741025,29.165256389109597,14.582628194554799,54.27000394783984
17,GlcNAcβ-Sp8,10.978625000000003,10.728673946446817,5.364336973223408,97.72329364056804
18,GlcN(Gc)β-Sp8,20.356449999999995,16.057691950900033,8.028845975450016,78.8825750604847
19,Galβ1-4GlcNAcβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcα-Sp8,11.742049999999997,12.117896954092318,6.058948477046159,103.20086317203827
20,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,46.696875,5.760799390347916,2.880399695173958,12.336584386745187
21,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,9284.1784,2002.502811463124,1001.251405731562,21.568982468746224
22,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,21.124624999999998,21.237223706717558,10.618611853358779,100.53302109134509
23,[3OSO3]Galβ1-4(Fucα1-3)[6OSO3]Glc-Sp0,3.4808249999999976,6.058981603303199,3.0294908016515993,174.0674007829524
24,[3OSO3]Galβ1-4Glcβ-Sp8,2.0459999999999994,6.210467301258459,3.1052336506292293,303.5419013322806
25,[3OSO3]Galβ1-4[6OSO3]Glcβ-Sp0,23.04045,6.471470479213606,3.235735239606803,28.087430927840412
26,[3OSO3]Galβ1-4[6OSO3]Glcβ-Sp8,75.71552500000001,18.127753614899333,9.063876807449667,23.941924215541434
27,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ-Sp8,499.42365000000007,191.6425385612408,95.8212692806204,38.372739969611125
28,[3OSO3]Galβ1-3GalNAcα-Sp8,13.48525,13.017074718614774,6.508537359307387,96.52824173533878
29,[3OSO3]Galβ1-3GlcNAcβ-Sp0,1.6542999999999957,11.05387071240959,5.526935356204795,668.1902141334474
30,[3OSO3]Galβ1-3GlcNAcβ-Sp8,5.720625,4.424871644371918,2.212435822185959,77.34944423680835
31,[3OSO3]Galβ1-4(Fucα1-3)GlcNAc-Sp0,21.8415,17.08695360150545,8.543476800752725,78.23159399082229
32,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ-Sp8,8.464275,4.771555242179081,2.3857776210895403,56.37287590702192
33,[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,153.39305000000002,73.89589475482825,36.947947377414124,48.174213078642246
34,[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp8,70.66125,41.81541346166504,20.90770673083252,59.17729089375724
35,[3OSO3]Galβ1-4GlcNAcβ-Sp0,41.6353,33.100302994786546,16.550151497393273,79.50057522051371
36,[3OSO3]Galβ1-4GlcNAcβ-Sp8,15.973875000000003,5.1370176038728745,2.5685088019364373,32.15886942819368
37,[3OSO3]Galβ-Sp8,17.383425000000003,16.135088598326114,8.067544299163057,92.81881216346095
38,[4OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,13.723725,4.0246720051659715,2.0123360025829857,29.32638190553929
39,[4OSO3]Galβ1-4GlcNAcβ-Sp8,11.114425,11.398408279631271,5.6992041398156355,102.55508746184594
40,6-H2PO3Manα-Sp8,3.1053999999999924,10.056161737959458,5.028080868979729,323.8282262497418
41,[6OSO3]Galβ1-4Glcβ-Sp0,20.669325,13.059159173130803,6.529579586565402,63.181352913705716
42,[6OSO3]Galβ1-4Glcβ-Sp8,1.8703250000000002,1.3639352193194494,0.6819676096597247,72.92503812543004
43,[6OSO3]Galβ1-4GlcNAcβ-Sp8,8.764174999999998,11.74738811917354,5.87369405958677,134.03872149031187
44,[6OSO3]Galβ1-4[6OSO3]Glcβ-Sp8,0.0,0.0,0.0,7
45,Neu5Acα2-3[6OSO3]Galβ1-4GlcNAcβ-Sp8,0.0,0.0,0.0,7
46,[6OSO3]GlcNAcβ-Sp8,0.0,0.0,0.0,7
47,[9NAc]Neu5Acα-Sp8,0.0,0.0,0.0,7
48,[9NAc]Neu5Acα2-6Galβ1-4GlcNAcβ-Sp8,0.0,0.0,0.0,7
49,Manα1-3(Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,0.0,0.0,0.0,7
50,Manα1-3(Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,0.0,0.0,0.0,7
51,GlcNAcβ1-2Manα1-3(GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,0.0,0.0,0.0,7
52,GlcNAcβ1-2Manα1-3(GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,0.0,0.0,0.0,7
53,Galβ1-4GlcNAcβ1-2Manα1-3(Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,0.0,0.0,0.0,7
54,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-N(LT)AVL,0.0,0.0,0.0,7
55,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,0.0,0.0,0.0,7
56,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,0.0,0.0,0.0,7
57,Fucα1-2Galβ1-3GalNAcβ1-3Galα-Sp9,0.0,0.0,0.0,7
58,Fucα1-2Galβ1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ-Sp9,0.0,0.0,0.0,7
59,Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ-Sp8,0.0,0.0,0.0,7
60,Fucα1-2Galβ1-3GalNAcα-Sp8,0.0,0.0,0.0,7
61,Fucα1-2Galβ1-3GalNAcα-Sp14,0.0,0.0,0.0,7
62,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp0,0.0,0.0,0.0,7
63,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp9,0.0,0.0,0.0,7
64,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ-Sp8,0.0,0.0,0.0,7
65,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ-Sp10,0.0,0.0,0.0,7
66,Fucα1-2Galβ1-3GlcNAcβ-Sp0,0.0,0.0,0.0,7
67,Fucα1-2Galβ1-3GlcNAcβ-Sp8,0.0,0.0,0.0,7
68,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,0.0,0.0,0.0,7
69,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,0.0,0.0,0.0,7
70,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,0.0,0.0,0.0,7
71,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ-Sp8,0.0,0.0,0.0,7
72,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0,0.0,0.0,0.0,7
73,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0,0.0,0.0,0.0,7
74,Fucα1-2Galβ1-4GlcNAcβ-Sp0,0.0,0.0,0.0,7
75,Fucα1-2Galβ1-4GlcNAcβ-Sp8,0.0,0.0,0.0,7
76,Fucα1-2Galβ1-4Glcβ-Sp0,0.0,0.0,0.0,7
77,Fucα1-2Galβ-Sp8,0.0,0.0,0.0,7
78,Fucα1-3GlcNAcβ-Sp8,0.0,0.0,0.0,7
79,Fucα1-4GlcNAcβ-Sp8,0.0,0.0,0.0,7
80,Fucβ1-3GlcNAcβ-Sp8,0.0,0.0,0.0,7
81,GalNAcα1-3(Fucα1-2)Galβ1-3GlcNAcβ-Sp0,0.0,0.0,0.0,7
82,GalNAcα1-3(Fucα1-2)Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,0.0,0.0,0.0,7
83,[3OSO3]Galβ1-4(Fucα1-3)Glc-Sp0,0.0,0.0,0.0,7
84,GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ-Sp0,0.0,0.0,0.0,7
85,GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ-Sp8,0.0,0.0,0.0,7
86,GalNAcα1-3(Fucα1-2)Galβ1-4Glcβ-Sp0,0.0,0.0,0.0,7
